"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2024-03-11,"TNHA-BASE","TNHA","BASE","21390850",-25.681,-26.41,-26.0455,0.728999999999999
"2",2024-03-11,"TNHA-SA","TNHA","SA","21380919",-24.16,-26.11,-25.135,1.95
"3",2024-03-11,"TNHA-SB","TNHA","SB","21398664",-28.17,-28.32,-28.245,0.149999999999999
"4",2024-03-11,"TNHA-SC","TNHA","SC","21398674",-28.02,-28.17,-28.095,0.150000000000002
"5",2024-03-11,"TNHA-SD","TNHA","SD","21398666",-26.54,-27.97,-27.255,1.43
"6",2024-03-12,"SSMH-SA","SSMH","SA","21398670",-26.21,-28.72,-27.465,2.51
"7",2024-03-12,"SSMH-SB","SSMH","SB","21398665",-31.23,-31.94,-31.585,0.710000000000001
"8",2024-03-12,"SSMH-SI","SSMH","SI","21398667",-30.16,-30.16,-30.16,0
"9",2024-03-12,"TNHA-BASE","TNHA","BASE","21390850",-25.037,-34.56,-29.7985,9.523
"10",2024-03-12,"TNHA-SA","TNHA","SA","21380919",-23.38,-34.73,-29.055,11.35
"11",2024-03-12,"TNHA-SB","TNHA","SB","21398664",-25.96,-35.14,-30.55,9.18
"12",2024-03-12,"TNHA-SC","TNHA","SC","21398674",-27.46,-33.72,-30.59,6.26
"13",2024-03-12,"TNHA-SD","TNHA","SD","21398666",-27.03,-34.75,-30.89,7.72
"14",2024-03-13,"SSMH-SA","SSMH","SA","21398670",-25.57,-35.33,-30.45,9.76
"15",2024-03-13,"SSMH-SB","SSMH","SB","21398665",-28.51,-34.02,-31.265,5.51
"16",2024-03-13,"SSMH-SI","SSMH","SI","21398667",-27.97,-36.96,-32.465,8.99
"17",2024-03-13,"TNHA-BASE","TNHA","BASE","21390850",-23.193,-33.038,-28.1155,9.845
"18",2024-03-13,"TNHA-SA","TNHA","SA","21380919",-20.32,-33.04,-26.68,12.72
"19",2024-03-13,"TNHA-SB","TNHA","SB","21398664",-21.71,-33.87,-27.79,12.16
"20",2024-03-13,"TNHA-SC","TNHA","SC","21398674",-27.44,-33.38,-30.41,5.94
"21",2024-03-13,"TNHA-SD","TNHA","SD","21398666",-23.9,-33.51,-28.705,9.61
"22",2024-03-14,"SSMH-SA","SSMH","SA","21398670",-23.94,-33.62,-28.78,9.68
"23",2024-03-14,"SSMH-SB","SSMH","SB","21398665",-24.41,-34.54,-29.475,10.13
"24",2024-03-14,"SSMH-SI","SSMH","SI","21398667",-23.77,-37.35,-30.56,13.58
"25",2024-03-14,"TNHA-BASE","TNHA","BASE","21390850",-22.056,-33.08,-27.568,11.024
"26",2024-03-14,"TNHA-SA","TNHA","SA","21380919",-18.92,-33.23,-26.075,14.31
"27",2024-03-14,"TNHA-SB","TNHA","SB","21398664",-24.65,-34.77,-29.71,10.12
"28",2024-03-14,"TNHA-SC","TNHA","SC","21398674",-26.26,-34.15,-30.205,7.89
"29",2024-03-14,"TNHA-SD","TNHA","SD","21398666",-25.89,-34.17,-30.03,8.28
"30",2024-03-15,"SSMH-SA","SSMH","SA","21398670",-21.92,-33.83,-27.875,11.91
"31",2024-03-15,"SSMH-SB","SSMH","SB","21398665",-26.94,-33.36,-30.15,6.42
"32",2024-03-15,"SSMH-SI","SSMH","SI","21398667",-26.34,-36.04,-31.19,9.7
