"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2023-06-01,"21398660","BUECI","21398660","21398660",-0.24,-7.94,-4.09,7.7
"2",2023-06-01,"BEO-BASE","BEO","BASE","21397541",3.51,-7.943,-2.2165,11.453
"3",2023-06-01,"BUECI-SC","BUECI","SC","21398668",-1.46,-7.79,-4.625,6.33
"4",2023-06-01,"BUECI-SE","BUECI","SE","21187245",-1.38,-7.1,-4.24,5.72
"5",2023-06-01,"BUECI-__","BUECI","__","21397542",-0.544,-6.356,-3.45,5.812
"6",2023-06-01,"BUECI-__","BUECI","__","21398659",0.53,-6.14,-2.805,6.67
"7",2023-06-01,"BUECI-__","BUECI","__","21398661",2.31,-5.49,-1.59,7.8
"8",2023-06-01,"SSMH-SB","SSMH","SB","21398665",0.38,-7.72,-3.67,8.1
"9",2023-06-01,"TNHA-SA","TNHA","SA","21380919",0.94,-7.94,-3.5,8.88
"10",2023-06-01,"TNHA-SB","TNHA","SB","21398664",0.02,-7.85,-3.915,7.87
"11",2023-06-01,"TNHA-SC","TNHA","SC","21398674",0.02,-6.37,-3.175,6.39
"12",2023-06-02,"21398660","BUECI","21398660","21398660",-1.29,-4.87,-3.08,3.58
"13",2023-06-02,"BEO-BASE","BEO","BASE","21397541",4.797,-4.984,-0.0935000000000001,9.781
"14",2023-06-02,"BUECI-SC","BUECI","SC","21398668",0.3,-4.46,-2.08,4.76
"15",2023-06-02,"BUECI-SE","BUECI","SE","21187245",-1.65,-4.85,-3.25,3.2
"16",2023-06-02,"BUECI-__","BUECI","__","21397542",-0.351,-5.069,-2.71,4.718
"17",2023-06-02,"BUECI-__","BUECI","__","21398659",0.64,-5.13,-2.245,5.77
"18",2023-06-02,"BUECI-__","BUECI","__","21398661",0.36,-4.87,-2.255,5.23
"19",2023-06-02,"SSMH-SB","SSMH","SB","21398665",1.09,-4.66,-1.785,5.75
"20",2023-06-02,"TNHA-SA","TNHA","SA","21380919",-0.17,-4.46,-2.315,4.29
"21",2023-06-02,"TNHA-SB","TNHA","SB","21398664",0.45,-4.55,-2.05,5
"22",2023-06-02,"TNHA-SC","TNHA","SC","21398674",-0.39,-4.68,-2.535,4.29
"23",2023-06-03,"21398660","BUECI","21398660","21398660",2.29,-4.06,-0.885,6.35
"24",2023-06-03,"BEO-BASE","BEO","BASE","21397541",2.33,-6.185,-1.9275,8.515
"25",2023-06-03,"BUECI-SC","BUECI","SC","21398668",3.86,-3.74,0.0599999999999998,7.6
"26",2023-06-03,"BUECI-SE","BUECI","SE","21187245",2.31,-3.89,-0.79,6.2
"27",2023-06-03,"BUECI-__","BUECI","__","21397542",2.137,-4.19,-1.0265,6.327
"28",2023-06-03,"BUECI-__","BUECI","__","21398659",2.23,-4.55,-1.16,6.78
"29",2023-06-03,"BUECI-__","BUECI","__","21398661",2.66,-4.14,-0.74,6.8
"30",2023-06-03,"SSMH-SB","SSMH","SB","21398665",4.74,-5.64,-0.45,10.38
"31",2023-06-03,"TNHA-SA","TNHA","SA","21380919",4.14,-3.54,0.3,7.68
"32",2023-06-03,"TNHA-SB","TNHA","SB","21398664",3.6,-3.37,0.115,6.97
"33",2023-06-03,"TNHA-SC","TNHA","SC","21398674",4.35,-3.39,0.48,7.74
"34",2023-06-04,"21398660","BUECI","21398660","21398660",2.44,-2.73,-0.145,5.17
"35",2023-06-04,"BEO-BASE","BEO","BASE","21397541",2.459,-3.096,-0.3185,5.555
"36",2023-06-04,"BUECI-SC","BUECI","SC","21398668",2.91,-2.62,0.145,5.53
"37",2023-06-04,"BUECI-SE","BUECI","SE","21187245",2.42,-2.71,-0.145,5.13
"38",2023-06-04,"BUECI-__","BUECI","__","21397542",2.995,-2.324,0.3355,5.319
"39",2023-06-04,"BUECI-__","BUECI","__","21398659",3.79,-2.77,0.51,6.56
"40",2023-06-04,"BUECI-__","BUECI","__","21398661",3.02,-2.51,0.255,5.53
"41",2023-06-04,"SSMH-SB","SSMH","SB","21398665",3.73,-3.97,-0.12,7.7
