"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2022-12-01,"21398660","BUECI","21398660","21398660",-2.34,-2.34,-2.34,0
"2",2022-12-01,"BEO-BASE","BEO","BASE","21397541",-2.646,-8.265,-5.4555,5.619
"3",2022-12-01,"BUECI-SC","BUECI","SC","21398668",-2.19,-2.19,-2.19,0
"4",2022-12-01,"BUECI-SE","BUECI","SE","21187245",-2.62,-2.62,-2.62,0
"5",2022-12-01,"BUECI-__","BUECI","__","21397542",-2.346,-2.346,-2.346,0
"6",2022-12-01,"BUECI-__","BUECI","__","21398659",-2.21,-2.21,-2.21,0
"7",2022-12-01,"BUECI-__","BUECI","__","21398661",-2.04,-2.04,-2.04,0
"8",2022-12-01,"SSMH-SA","SSMH","SA","21398670",-2.45,-7.9,-5.175,5.45
"9",2022-12-01,"SSMH-SB","SSMH","SB","21398665",-2.53,-7.75,-5.14,5.22
"10",2022-12-01,"TNHA-BASE","TNHA","BASE","21218018",-2.474,-7.429,-4.9515,4.955
"11",2022-12-01,"TNHA-SA","TNHA","SA","21380919",-2.47,-7.38,-4.925,4.91
"12",2022-12-01,"TNHA-SB","TNHA","SB","21398664",-2.38,-2.38,-2.38,0
"13",2022-12-01,"TNHA-SC","TNHA","SC","21398674",-2.3,-7.3,-4.8,5
"14",2022-12-02,"BEO-BASE","BEO","BASE","21397541",0.185,-6.271,-3.043,6.456
"15",2022-12-02,"SSMH-SA","SSMH","SA","21398670",0.28,-6.05,-2.885,6.33
"16",2022-12-02,"SSMH-SB","SSMH","SB","21398665",0.04,-6.24,-3.1,6.28
"17",2022-12-02,"TNHA-BASE","TNHA","BASE","21218018",0.057,-6.142,-3.0425,6.199
"18",2022-12-02,"TNHA-SA","TNHA","SA","21380919",0.15,-6.03,-2.94,6.18
"19",2022-12-02,"TNHA-SC","TNHA","SC","21398674",0.08,-6.03,-2.975,6.11
"20",2022-12-03,"BEO-BASE","BEO","BASE","21397541",0.228,-14.936,-7.354,15.164
"21",2022-12-03,"SSMH-SA","SSMH","SA","21398670",0.28,-12.98,-6.35,13.26
"22",2022-12-03,"SSMH-SB","SSMH","SB","21398665",0.1,-14.1,-7,14.2
"23",2022-12-03,"TNHA-BASE","TNHA","BASE","21218018",0.121,-11.59,-5.7345,11.711
"24",2022-12-03,"TNHA-SA","TNHA","SA","21380919",0.13,-10.9,-5.385,11.03
"25",2022-12-03,"TNHA-SC","TNHA","SC","21398674",0.13,-12.29,-6.08,12.42
"26",2022-12-04,"BEO-BASE","BEO","BASE","21397541",-6.614,-17.981,-12.2975,11.367
"27",2022-12-04,"SSMH-SA","SSMH","SA","21398670",-6.59,-16.43,-11.51,9.84
"28",2022-12-04,"SSMH-SB","SSMH","SB","21398665",-6.46,-15.85,-11.155,9.39
