"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2023-09-01,"SSMH-SA","SSMH","SA","21398599","3.5cm",8,5,6.5,3
"2",2023-09-01,"SSMH-SA","SSMH","SA","21398599","10cm",7.5,5.5,6.5,2
"3",2023-09-01,"SSMH-SA","SSMH","SA","21398599","20cm",5.5,4.5,5,1
"4",2023-09-01,"SSMH-SA","SSMH","SA","21398599","30cm",5,4,4.5,1
"5",2023-09-01,"SSMH-SA","SSMH","SA","21398599","40cm",4.5,3.5,4,1
"6",2023-09-01,"SSMH-SA","SSMH","SA","21398599","50cm",3.5,3,3.25,0.5
"7",2023-09-01,"SSMH-SA","SSMH","SA","21398599","55cm",4,3,3.5,1
"8",2023-09-01,"SSMH-SA","SSMH","SA","21398599","65cm",2,1.5,1.75,0.5
"9",2023-09-01,"SSMH-SA","SSMH","SA","21398599","75cm",0.5,0,0.25,0.5
"10",2023-09-01,"SSMH-SA","SSMH","SA","21398599","85cm",0,-0.5,-0.25,0.5
"11",2023-09-01,"SSMH-SA","SSMH","SA","21398599","90cm",0.5,0,0.25,0.5
"12",2023-09-01,"SSMH-SB","SSMH","SB","21393044","3.5cm",8.5,4.5,6.5,4
"13",2023-09-01,"SSMH-SB","SSMH","SB","21393044","10cm",7,4.5,5.75,2.5
"14",2023-09-01,"SSMH-SB","SSMH","SB","21393044","20cm",5.5,4.5,5,1
"15",2023-09-01,"SSMH-SB","SSMH","SB","21393044","30cm",5,4,4.5,1
"16",2023-09-01,"SSMH-SB","SSMH","SB","21393044","40cm",5,4,4.5,1
"17",2023-09-01,"SSMH-SB","SSMH","SB","21393044","50cm",4,3,3.5,1
"18",2023-09-01,"SSMH-SB","SSMH","SB","21393044","55cm",4,3,3.5,1
"19",2023-09-01,"SSMH-SB","SSMH","SB","21393044","65cm",1,1,1,0
"20",2023-09-01,"SSMH-SB","SSMH","SB","21393044","75cm",0,-0.5,-0.25,0.5
"21",2023-09-01,"SSMH-SB","SSMH","SB","21393044","85cm",-1,-2,-1.5,1
"22",2023-09-01,"SSMH-SB","SSMH","SB","21393044","90cm",-2,-2,-2,0
"23",2023-09-01,"SSMH-SD","SSMH","SD","21393049","3.5cm",6.5,4.5,5.5,2
"24",2023-09-01,"SSMH-SD","SSMH","SD","21393049","10cm",4.5,3,3.75,1.5
"25",2023-09-01,"SSMH-SD","SSMH","SD","21393049","20cm",4.5,3.5,4,1
"26",2023-09-01,"SSMH-SD","SSMH","SD","21393049","30cm",4.5,4,4.25,0.5
"27",2023-09-01,"SSMH-SD","SSMH","SD","21393049","40cm",2.5,2,2.25,0.5
"28",2023-09-01,"SSMH-SD","SSMH","SD","21393049","50cm",4,3,3.5,1
"29",2023-09-01,"SSMH-SD","SSMH","SD","21393049","55cm",4,3.5,3.75,0.5
"30",2023-09-01,"SSMH-SD","SSMH","SD","21393049","65cm",3.5,3,3.25,0.5
"31",2023-09-01,"SSMH-SD","SSMH","SD","21393049","75cm",-1,-1,-1,0
"32",2023-09-01,"SSMH-SD","SSMH","SD","21393049","85cm",-1.5,-2,-1.75,0.5
"33",2023-09-01,"SSMH-SD","SSMH","SD","21393049","90cm",-1.5,-2,-1.75,0.5
"34",2023-09-01,"SSMH-SE","SSMH","SE","21398594","3.5cm",13,3,8,10
"35",2023-09-01,"SSMH-SE","SSMH","SE","21398594","10cm",3.5,2,2.75,1.5
"36",2023-09-01,"SSMH-SE","SSMH","SE","21398594","20cm",2,1.5,1.75,0.5
"37",2023-09-01,"SSMH-SE","SSMH","SE","21398594","30cm",1,0,0.5,1
"38",2023-09-01,"SSMH-SE","SSMH","SE","21398594","40cm",-1.5,-1.5,-1.5,0
"39",2023-09-01,"SSMH-SE","SSMH","SE","21398594","50cm",-0.5,-0.5,-0.5,0
"40",2023-09-01,"SSMH-SE","SSMH","SE","21398594","55cm",0,-0.5,-0.25,0.5
"41",2023-09-01,"SSMH-SE","SSMH","SE","21398594","65cm",-1,-1,-1,0
"42",2023-09-01,"SSMH-SE","SSMH","SE","21398594","75cm",-1,-1.5,-1.25,0.5
"43",2023-09-01,"SSMH-SE","SSMH","SE","21398594","85cm",-1.5,-2,-1.75,0.5
"44",2023-09-01,"SSMH-SE","SSMH","SE","21398594","90cm",-2.5,-3,-2.75,0.5
"45",2023-09-01,"SSMH-SF","SSMH","SF","21393043","3.5cm",8.3,4,6.15,4.3
"46",2023-09-01,"SSMH-SF","SSMH","SF","21393043","10cm",4.5,3.5,4,1
"47",2023-09-01,"SSMH-SF","SSMH","SF","21393043","20cm",2.8,2.1,2.45,0.7
"48",2023-09-01,"SSMH-SF","SSMH","SF","21393043","30cm",1.2,0.7,0.95,0.5
"49",2023-09-01,"SSMH-SF","SSMH","SF","21393043","40cm",0.2,0,0.1,0.2
"50",2023-09-01,"SSMH-SF","SSMH","SF","21393043","50cm",-0.3,-0.6,-0.45,0.3
"51",2023-09-01,"SSMH-SF","SSMH","SF","21393043","55cm",-0.6,-0.7,-0.65,0.1
"52",2023-09-01,"SSMH-SF","SSMH","SF","21393043","65cm",-0.5,-0.6,-0.55,0.1
"53",2023-09-01,"SSMH-SF","SSMH","SF","21393043","75cm",-1.2,-1.5,-1.35,0.3
"54",2023-09-01,"SSMH-SF","SSMH","SF","21393043","85cm",-1.2,-1.2,-1.2,0
"55",2023-09-01,"SSMH-SF","SSMH","SF","21393043","90cm",-1.6,-1.7,-1.65,0.0999999999999999
"56",2023-09-01,"SSMH-SG","SSMH","SG","21398586","3.5cm",6,3,4.5,3
"57",2023-09-01,"SSMH-SG","SSMH","SG","21398586","10cm",4,3,3.5,1
"58",2023-09-01,"SSMH-SG","SSMH","SG","21398586","20cm",2.5,1.5,2,1
"59",2023-09-01,"SSMH-SG","SSMH","SG","21398586","30cm",1.5,0.5,1,1
"60",2023-09-01,"SSMH-SG","SSMH","SG","21398586","40cm",-0.5,-0.5,-0.5,0
"61",2023-09-01,"SSMH-SG","SSMH","SG","21398586","50cm",0.5,0.5,0.5,0
"62",2023-09-01,"SSMH-SG","SSMH","SG","21398586","55cm",0,-0.5,-0.25,0.5
"63",2023-09-01,"SSMH-SG","SSMH","SG","21398586","65cm",-3,-3,-3,0
"64",2023-09-01,"SSMH-SG","SSMH","SG","21398586","75cm",0,-0.5,-0.25,0.5
"65",2023-09-01,"SSMH-SG","SSMH","SG","21398586","85cm",-1.5,-1.5,-1.5,0
"66",2023-09-01,"SSMH-SG","SSMH","SG","21398586","90cm",-0.5,-1.5,-1,1
"67",2023-09-01,"SSMH-SH","SSMH","SH","21398580","3.5cm",8.5,4,6.25,4.5
"68",2023-09-01,"SSMH-SH","SSMH","SH","21398580","10cm",4.5,3,3.75,1.5
"69",2023-09-01,"SSMH-SH","SSMH","SH","21398580","20cm",2.5,1.5,2,1
"70",2023-09-01,"SSMH-SH","SSMH","SH","21398580","30cm",1,1,1,0
"71",2023-09-01,"SSMH-SH","SSMH","SH","21398580","40cm",0.5,0.5,0.5,0
"72",2023-09-01,"SSMH-SH","SSMH","SH","21398580","50cm",-1,-1,-1,0
"73",2023-09-01,"SSMH-SH","SSMH","SH","21398580","55cm",-1,-1.5,-1.25,0.5
"74",2023-09-01,"SSMH-SH","SSMH","SH","21398580","65cm",-0.5,-0.5,-0.5,0
"75",2023-09-01,"SSMH-SH","SSMH","SH","21398580","75cm",-2.5,-2.5,-2.5,0
