"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2023-03-01,"BEO-BASE","BEO","BASE","21393048","3.5cm",-23.5,-24.5,-24,1
"2",2023-03-01,"BEO-BASE","BEO","BASE","21393048","10cm",-21,-21.5,-21.25,0.5
"3",2023-03-01,"BEO-BASE","BEO","BASE","21393048","20cm",-19.5,-20,-19.75,0.5
"4",2023-03-01,"BEO-BASE","BEO","BASE","21393048","30cm",-18,-18.5,-18.25,0.5
"5",2023-03-01,"BEO-BASE","BEO","BASE","21393048","40cm",-17.5,-18,-17.75,0.5
"6",2023-03-01,"BEO-BASE","BEO","BASE","21393048","50cm",-16,-16.5,-16.25,0.5
"7",2023-03-01,"BEO-BASE","BEO","BASE","21393048","55cm",-15,-15.5,-15.25,0.5
"8",2023-03-01,"BEO-BASE","BEO","BASE","21393048","65cm",-14,-14.5,-14.25,0.5
"9",2023-03-01,"BEO-BASE","BEO","BASE","21393048","75cm",-15,-15.5,-15.25,0.5
"10",2023-03-01,"BEO-BASE","BEO","BASE","21393048","85cm",-13.5,-13.5,-13.5,0
"11",2023-03-01,"BEO-BASE","BEO","BASE","21393048","90cm",-13,-13.5,-13.25,0.5
"12",2023-03-01,"BEO-BASE","BEO","BASE","21398591","3.5cm",-20.5,-21,-20.75,0.5
"13",2023-03-01,"BEO-BASE","BEO","BASE","21398591","10cm",-18.5,-18.5,-18.5,0
"14",2023-03-01,"BEO-BASE","BEO","BASE","21398591","20cm",-18.5,-18.5,-18.5,0
"15",2023-03-01,"BEO-BASE","BEO","BASE","21398591","30cm",-16.5,-17,-16.75,0.5
"16",2023-03-01,"BEO-BASE","BEO","BASE","21398591","40cm",-14.5,-14.5,-14.5,0
"17",2023-03-01,"BEO-BASE","BEO","BASE","21398591","50cm",-14.5,-15.5,-15,1
"18",2023-03-01,"BEO-BASE","BEO","BASE","21398591","55cm",-14.5,-15,-14.75,0.5
"19",2023-03-01,"BEO-BASE","BEO","BASE","21398591","65cm",-14.5,-14.5,-14.5,0
"20",2023-03-01,"BEO-BASE","BEO","BASE","21398591","75cm",-13.5,-13.5,-13.5,0
"21",2023-03-01,"BEO-BASE","BEO","BASE","21398591","85cm",-13,-13.5,-13.25,0.5
"22",2023-03-01,"BEO-BASE","BEO","BASE","21398591","90cm",-13.5,-13.5,-13.5,0
"23",2023-03-02,"BEO-BASE","BEO","BASE","21393048","3.5cm",-23.5,-26,-24.75,2.5
"24",2023-03-02,"BEO-BASE","BEO","BASE","21393048","10cm",-21,-22.5,-21.75,1.5
"25",2023-03-02,"BEO-BASE","BEO","BASE","21393048","20cm",-19.5,-21,-20.25,1.5
"26",2023-03-02,"BEO-BASE","BEO","BASE","21393048","30cm",-18.5,-19,-18.75,0.5
"27",2023-03-02,"BEO-BASE","BEO","BASE","21393048","40cm",-18,-18.5,-18.25,0.5
"28",2023-03-02,"BEO-BASE","BEO","BASE","21393048","50cm",-16.5,-17,-16.75,0.5
"29",2023-03-02,"BEO-BASE","BEO","BASE","21393048","55cm",-15.5,-16,-15.75,0.5
"30",2023-03-02,"BEO-BASE","BEO","BASE","21393048","65cm",-14.5,-14.5,-14.5,0
"31",2023-03-02,"BEO-BASE","BEO","BASE","21393048","75cm",-15.5,-16,-15.75,0.5
"32",2023-03-02,"BEO-BASE","BEO","BASE","21393048","85cm",-13.5,-14,-13.75,0.5
"33",2023-03-02,"BEO-BASE","BEO","BASE","21393048","90cm",-13,-13.5,-13.25,0.5
"34",2023-03-02,"BEO-BASE","BEO","BASE","21398591","3.5cm",-20.5,-22,-21.25,1.5
"35",2023-03-02,"BEO-BASE","BEO","BASE","21398591","10cm",-18.5,-19,-18.75,0.5
"36",2023-03-02,"BEO-BASE","BEO","BASE","21398591","20cm",-18.5,-19,-18.75,0.5
"37",2023-03-02,"BEO-BASE","BEO","BASE","21398591","30cm",-17,-17,-17,0
"38",2023-03-02,"BEO-BASE","BEO","BASE","21398591","40cm",-15,-15,-15,0
"39",2023-03-02,"BEO-BASE","BEO","BASE","21398591","50cm",-15.5,-16,-15.75,0.5
"40",2023-03-02,"BEO-BASE","BEO","BASE","21398591","55cm",-15,-15.5,-15.25,0.5
"41",2023-03-02,"BEO-BASE","BEO","BASE","21398591","65cm",-15,-15,-15,0
"42",2023-03-02,"BEO-BASE","BEO","BASE","21398591","75cm",-13.5,-14,-13.75,0.5
"43",2023-03-02,"BEO-BASE","BEO","BASE","21398591","85cm",-13,-14,-13.5,1
"44",2023-03-02,"BEO-BASE","BEO","BASE","21398591","90cm",-13.5,-14,-13.75,0.5
"45",2023-03-03,"BEO-BASE","BEO","BASE","21393048","3.5cm",-25,-27,-26,2
"46",2023-03-03,"BEO-BASE","BEO","BASE","21393048","10cm",-22.5,-23.5,-23,1
"47",2023-03-03,"BEO-BASE","BEO","BASE","21393048","20cm",-20.5,-22,-21.25,1.5
"48",2023-03-03,"BEO-BASE","BEO","BASE","21393048","30cm",-19,-20,-19.5,1
"49",2023-03-03,"BEO-BASE","BEO","BASE","21393048","40cm",-18.5,-19.5,-19,1
"50",2023-03-03,"BEO-BASE","BEO","BASE","21393048","50cm",-17,-18,-17.5,1
"51",2023-03-03,"BEO-BASE","BEO","BASE","21393048","55cm",-16,-16.5,-16.25,0.5
"52",2023-03-03,"BEO-BASE","BEO","BASE","21393048","65cm",-14.5,-15,-14.75,0.5
"53",2023-03-03,"BEO-BASE","BEO","BASE","21393048","75cm",-16,-16,-16,0
"54",2023-03-03,"BEO-BASE","BEO","BASE","21393048","85cm",-14,-14.5,-14.25,0.5
"55",2023-03-03,"BEO-BASE","BEO","BASE","21393048","90cm",-13.5,-14,-13.75,0.5
"56",2023-03-03,"SSMH-SB","SSMH","SB","21393044","3.5cm",-16.5,-16.5,-16.5,0
"57",2023-03-03,"SSMH-SB","SSMH","SB","21393044","10cm",-16,-16,-16,0
"58",2023-03-03,"SSMH-SB","SSMH","SB","21393044","20cm",-16,-16,-16,0
"59",2023-03-03,"SSMH-SB","SSMH","SB","21393044","30cm",-16,-16,-16,0
"60",2023-03-03,"SSMH-SB","SSMH","SB","21393044","40cm",-15,-15,-15,0
"61",2023-03-03,"SSMH-SB","SSMH","SB","21393044","50cm",-16,-16,-16,0
"62",2023-03-03,"SSMH-SB","SSMH","SB","21393044","55cm",-15.5,-16,-15.75,0.5
"63",2023-03-03,"SSMH-SB","SSMH","SB","21393044","65cm",-12.5,-12.5,-12.5,0
"64",2023-03-03,"SSMH-SB","SSMH","SB","21393044","75cm",-10.5,-10.5,-10.5,0
"65",2023-03-03,"SSMH-SB","SSMH","SB","21393044","85cm",-11,-11,-11,0
"66",2023-03-03,"SSMH-SB","SSMH","SB","21393044","90cm",-11,-11,-11,0
"67",2023-03-03,"SSMH-SD","SSMH","SD","21393049","3.5cm",-20,-20,-20,0
"68",2023-03-03,"SSMH-SD","SSMH","SD","21393049","10cm",-21.5,-21.5,-21.5,0
"69",2023-03-03,"SSMH-SD","SSMH","SD","21393049","20cm",-20.5,-20.5,-20.5,0
"70",2023-03-03,"SSMH-SD","SSMH","SD","21393049","30cm",-19.5,-19.5,-19.5,0
"71",2023-03-03,"SSMH-SD","SSMH","SD","21393049","40cm",-21.5,-21.5,-21.5,0
"72",2023-03-03,"SSMH-SD","SSMH","SD","21393049","50cm",-19,-19,-19,0
"73",2023-03-03,"SSMH-SD","SSMH","SD","21393049","55cm",-19,-19,-19,0
"74",2023-03-03,"SSMH-SD","SSMH","SD","21393049","65cm",-19,-19,-19,0
"75",2023-03-03,"SSMH-SD","SSMH","SD","21393049","75cm",-16.5,-17,-16.75,0.5
"76",2023-03-03,"SSMH-SD","SSMH","SD","21393049","85cm",-14.5,-14.5,-14.5,0
"77",2023-03-03,"SSMH-SD","SSMH","SD","21393049","90cm",-14,-14,-14,0
"78",2023-03-04,"BEO-BASE","BEO","BASE","21393048","3.5cm",-25.5,-28,-26.75,2.5
"79",2023-03-04,"BEO-BASE","BEO","BASE","21393048","10cm",-23,-24.5,-23.75,1.5
"80",2023-03-04,"BEO-BASE","BEO","BASE","21393048","20cm",-21.5,-22.5,-22,1
"81",2023-03-04,"BEO-BASE","BEO","BASE","21393048","30cm",-20,-20.5,-20.25,0.5
"82",2023-03-04,"BEO-BASE","BEO","BASE","21393048","40cm",-19.5,-20,-19.75,0.5
"83",2023-03-04,"BEO-BASE","BEO","BASE","21393048","50cm",-18,-18.5,-18.25,0.5
"84",2023-03-04,"BEO-BASE","BEO","BASE","21393048","55cm",-16.5,-17,-16.75,0.5
"85",2023-03-04,"BEO-BASE","BEO","BASE","21393048","65cm",-15,-15.5,-15.25,0.5
"86",2023-03-04,"BEO-BASE","BEO","BASE","21393048","75cm",-16,-16.5,-16.25,0.5
"87",2023-03-04,"BEO-BASE","BEO","BASE","21393048","85cm",-14.5,-14.5,-14.5,0
"88",2023-03-04,"BEO-BASE","BEO","BASE","21393048","90cm",-14,-14.5,-14.25,0.5
"89",2023-03-04,"SSMH-SB","SSMH","SB","21393044","3.5cm",-16.5,-16.5,-16.5,0
"90",2023-03-04,"SSMH-SB","SSMH","SB","21393044","10cm",-16,-16,-16,0
"91",2023-03-04,"SSMH-SB","SSMH","SB","21393044","20cm",-16,-16,-16,0
"92",2023-03-04,"SSMH-SB","SSMH","SB","21393044","30cm",-16,-16.5,-16.25,0.5
"93",2023-03-04,"SSMH-SB","SSMH","SB","21393044","40cm",-15,-15.5,-15.25,0.5
"94",2023-03-04,"SSMH-SB","SSMH","SB","21393044","50cm",-16,-16,-16,0
"95",2023-03-04,"SSMH-SB","SSMH","SB","21393044","55cm",-15.5,-16,-15.75,0.5
"96",2023-03-04,"SSMH-SB","SSMH","SB","21393044","65cm",-12.5,-12.5,-12.5,0
"97",2023-03-04,"SSMH-SB","SSMH","SB","21393044","75cm",-10.5,-10.5,-10.5,0
"98",2023-03-04,"SSMH-SB","SSMH","SB","21393044","85cm",-10.5,-11.5,-11,1
