"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2024-06-01,"BEO-BASE","BEO","BASE","21398591","3.5cm",12.5,-1.5,5.5,14
"2",2024-06-01,"BEO-BASE","BEO","BASE","21398591","10cm",4.5,-0.5,2,5
"3",2024-06-01,"BEO-BASE","BEO","BASE","21398591","20cm",-0.5,-1,-0.75,0.5
"4",2024-06-01,"BEO-BASE","BEO","BASE","21398591","30cm",-1.5,-2,-1.75,0.5
"5",2024-06-01,"BEO-BASE","BEO","BASE","21398591","40cm",-1.5,-2,-1.75,0.5
"6",2024-06-01,"BEO-BASE","BEO","BASE","21398591","50cm",-3.5,-4,-3.75,0.5
"7",2024-06-01,"BEO-BASE","BEO","BASE","21398591","55cm",-4,-4.5,-4.25,0.5
"8",2024-06-01,"BEO-BASE","BEO","BASE","21398591","65cm",-4.5,-5,-4.75,0.5
"9",2024-06-01,"BEO-BASE","BEO","BASE","21398591","75cm",-4.5,-5,-4.75,0.5
"10",2024-06-01,"BEO-BASE","BEO","BASE","21398591","85cm",-5,-5.5,-5.25,0.5
"11",2024-06-01,"BEO-BASE","BEO","BASE","21398591","90cm",-5.5,-5.5,-5.5,0
"12",2024-06-01,"SSMH-SA","SSMH","SA","21398599","3.5cm",0,0,0,0
"13",2024-06-01,"SSMH-SA","SSMH","SA","21398599","10cm",0,-0.5,-0.25,0.5
"14",2024-06-01,"SSMH-SA","SSMH","SA","21398599","20cm",-0.5,-0.5,-0.5,0
"15",2024-06-01,"SSMH-SA","SSMH","SA","21398599","30cm",-1,-1,-1,0
"16",2024-06-01,"SSMH-SA","SSMH","SA","21398599","40cm",-1,-1.5,-1.25,0.5
"17",2024-06-01,"SSMH-SA","SSMH","SA","21398599","50cm",-1.5,-2,-1.75,0.5
"18",2024-06-01,"SSMH-SA","SSMH","SA","21398599","55cm",-1,-2,-1.5,1
"19",2024-06-01,"SSMH-SA","SSMH","SA","21398599","65cm",-3,-3,-3,0
"20",2024-06-01,"SSMH-SA","SSMH","SA","21398599","75cm",-4,-4,-4,0
"21",2024-06-01,"SSMH-SA","SSMH","SA","21398599","85cm",-4.5,-4.5,-4.5,0
"22",2024-06-01,"SSMH-SA","SSMH","SA","21398599","90cm",-4,-4,-4,0
"23",2024-06-01,"SSMH-SB","SSMH","SB","21393044","3.5cm",-1,-1,-1,0
"24",2024-06-01,"SSMH-SB","SSMH","SB","21393044","10cm",-0.5,-1,-0.75,0.5
"25",2024-06-01,"SSMH-SB","SSMH","SB","21393044","20cm",-1,-1,-1,0
"26",2024-06-01,"SSMH-SB","SSMH","SB","21393044","30cm",-1.5,-1.5,-1.5,0
"27",2024-06-01,"SSMH-SB","SSMH","SB","21393044","40cm",-1,-1,-1,0
"28",2024-06-01,"SSMH-SB","SSMH","SB","21393044","50cm",-1.5,-2.5,-2,1
"29",2024-06-01,"SSMH-SB","SSMH","SB","21393044","55cm",-2,-2,-2,0
"30",2024-06-01,"SSMH-SB","SSMH","SB","21393044","65cm",-4,-4,-4,0
"31",2024-06-01,"SSMH-SB","SSMH","SB","21393044","75cm",-5,-5.5,-5.25,0.5
"32",2024-06-01,"SSMH-SB","SSMH","SB","21393044","85cm",-6,-6.5,-6.25,0.5
"33",2024-06-01,"SSMH-SB","SSMH","SB","21393044","90cm",-6.5,-7,-6.75,0.5
"34",2024-06-01,"SSMH-SD","SSMH","SD","21393049","3.5cm",3.5,0.5,2,3
"35",2024-06-01,"SSMH-SD","SSMH","SD","21393049","10cm",0,-1,-0.5,1
"36",2024-06-01,"SSMH-SD","SSMH","SD","21393049","20cm",0,-0.5,-0.25,0.5
"37",2024-06-01,"SSMH-SD","SSMH","SD","21393049","30cm",0,0,0,0
"38",2024-06-01,"SSMH-SD","SSMH","SD","21393049","40cm",-2,-2.5,-2.25,0.5
"39",2024-06-01,"SSMH-SD","SSMH","SD","21393049","50cm",-0.5,-0.5,-0.5,0
"40",2024-06-01,"SSMH-SD","SSMH","SD","21393049","55cm",-0.5,-0.5,-0.5,0
"41",2024-06-01,"SSMH-SD","SSMH","SD","21393049","65cm",-1,-1,-1,0
"42",2024-06-01,"SSMH-SD","SSMH","SD","21393049","75cm",-4.5,-4.5,-4.5,0
"43",2024-06-01,"SSMH-SD","SSMH","SD","21393049","85cm",-6.5,-6.5,-6.5,0
"44",2024-06-01,"SSMH-SD","SSMH","SD","21393049","90cm",-6.5,-6.5,-6.5,0
"45",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","3.5cm",1.5,-0.8,0.35,2.3
"46",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","10cm",2.2,0.2,1.2,2
"47",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","20cm",1.1,-0.1,0.5,1.2
"48",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","30cm",-0.6,-0.7,-0.65,0.1
"49",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","40cm",-1.6,-1.7,-1.65,0.0999999999999999
"50",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","50cm",-2.2,-2.5,-2.35,0.3
"51",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","55cm",-2.2,-2.2,-2.2,0
"52",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","65cm",-3.2,-3.2,-3.2,0
"53",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","75cm",-3.2,-3.2,-3.2,0
"54",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","85cm",-3.7,-4,-3.85,0.3
"55",2024-06-01,"TNHA-BASE","TNHA","BASE","21206939","90cm",-4,-4,-4,0
"56",2024-06-01,"TNHA-SA","TNHA","SA","21398593","3.5cm",16.5,3.5,10,13
"57",2024-06-01,"TNHA-SA","TNHA","SA","21398593","10cm",12.5,2.5,7.5,10
"58",2024-06-01,"TNHA-SA","TNHA","SA","21398593","20cm",8.5,2.5,5.5,6
"59",2024-06-01,"TNHA-SA","TNHA","SA","21398593","30cm",5.5,1.5,3.5,4
"60",2024-06-01,"TNHA-SA","TNHA","SA","21398593","40cm",2.5,0,1.25,2.5
"61",2024-06-01,"TNHA-SA","TNHA","SA","21398593","50cm",1,0,0.5,1
"62",2024-06-01,"TNHA-SA","TNHA","SA","21398593","55cm",-1,-1.5,-1.25,0.5
"63",2024-06-01,"TNHA-SA","TNHA","SA","21398593","65cm",-2,-2.5,-2.25,0.5
"64",2024-06-01,"TNHA-SA","TNHA","SA","21398593","75cm",-2.5,-3,-2.75,0.5
"65",2024-06-01,"TNHA-SA","TNHA","SA","21398593","85cm",-4,-4.5,-4.25,0.5
"66",2024-06-01,"TNHA-SA","TNHA","SA","21398593","90cm",-5,-5.5,-5.25,0.5
"67",2024-06-01,"TNHA-SD","TNHA","SD","21398601","3.5cm",-0.5,-1,-0.75,0.5
"68",2024-06-01,"TNHA-SD","TNHA","SD","21398601","10cm",0,0,0,0
"69",2024-06-01,"TNHA-SD","TNHA","SD","21398601","20cm",-1,-1,-1,0
"70",2024-06-01,"TNHA-SD","TNHA","SD","21398601","30cm",-3.5,-3.5,-3.5,0
"71",2024-06-01,"TNHA-SD","TNHA","SD","21398601","40cm",-2.5,-2.5,-2.5,0
"72",2024-06-01,"TNHA-SD","TNHA","SD","21398601","50cm",-2.5,-3,-2.75,0.5
"73",2024-06-01,"TNHA-SD","TNHA","SD","21398601","55cm",-3.5,-3.5,-3.5,0
"74",2024-06-01,"TNHA-SD","TNHA","SD","21398601","65cm",-4,-4,-4,0
"75",2024-06-01,"TNHA-SD","TNHA","SD","21398601","75cm",-4,-4.5,-4.25,0.5
"76",2024-06-01,"TNHA-SD","TNHA","SD","21398601","85cm",-4,-4.5,-4.25,0.5
"77",2024-06-01,"TNHA-SD","TNHA","SD","21398601","90cm",-5,-5.5,-5.25,0.5
"78",2024-06-01,"TNHA-SE","TNHA","SE","21398577","3.5cm",-4.5,-5,-4.75,0.5
"79",2024-06-01,"TNHA-SE","TNHA","SE","21398577","10cm",-4,-4.5,-4.25,0.5
"80",2024-06-01,"TNHA-SE","TNHA","SE","21398577","20cm",-4.5,-4.5,-4.5,0
"81",2024-06-01,"TNHA-SE","TNHA","SE","21398577","30cm",-5,-5,-5,0
"82",2024-06-01,"TNHA-SE","TNHA","SE","21398577","40cm",-6,-6,-6,0
"83",2024-06-01,"TNHA-SE","TNHA","SE","21398577","50cm",-7.5,-8,-7.75,0.5
"84",2024-06-01,"TNHA-SE","TNHA","SE","21398577","55cm",-5.5,-6,-5.75,0.5
"85",2024-06-01,"TNHA-SE","TNHA","SE","21398577","65cm",-6.5,-7,-6.75,0.5
"86",2024-06-01,"TNHA-SE","TNHA","SE","21398577","75cm",-6.5,-7,-6.75,0.5
"87",2024-06-01,"TNHA-SE","TNHA","SE","21398577","85cm",-8,-8.5,-8.25,0.5
"88",2024-06-01,"TNHA-SE","TNHA","SE","21398577","90cm",-7,-7,-7,0
"89",2024-06-02,"BEO-BASE","BEO","BASE","21398591","3.5cm",6.5,-3,1.75,9.5
"90",2024-06-02,"BEO-BASE","BEO","BASE","21398591","10cm",4,-2,1,6
"91",2024-06-02,"BEO-BASE","BEO","BASE","21398591","20cm",-0.5,-1,-0.75,0.5
"92",2024-06-02,"BEO-BASE","BEO","BASE","21398591","30cm",-1.5,-1.5,-1.5,0
"93",2024-06-02,"BEO-BASE","BEO","BASE","21398591","40cm",-1.5,-2,-1.75,0.5
"94",2024-06-02,"BEO-BASE","BEO","BASE","21398591","50cm",-3.5,-3.5,-3.5,0
"95",2024-06-02,"BEO-BASE","BEO","BASE","21398591","55cm",-3.5,-4,-3.75,0.5
"96",2024-06-02,"BEO-BASE","BEO","BASE","21398591","65cm",-4,-5,-4.5,1
"97",2024-06-02,"BEO-BASE","BEO","BASE","21398591","75cm",-4,-5,-4.5,1
"98",2024-06-02,"BEO-BASE","BEO","BASE","21398591","85cm",-5,-5,-5,0
"99",2024-06-02,"BEO-BASE","BEO","BASE","21398591","90cm",-5,-5.5,-5.25,0.5
"100",2024-06-02,"SSMH-SA","SSMH","SA","21398599","3.5cm",0,0,0,0
"101",2024-06-02,"SSMH-SA","SSMH","SA","21398599","10cm",0,-0.5,-0.25,0.5
"102",2024-06-02,"SSMH-SA","SSMH","SA","21398599","20cm",-0.5,-0.5,-0.5,0
"103",2024-06-02,"SSMH-SA","SSMH","SA","21398599","30cm",-1,-1,-1,0
"104",2024-06-02,"SSMH-SA","SSMH","SA","21398599","40cm",-1,-1.5,-1.25,0.5
"105",2024-06-02,"SSMH-SA","SSMH","SA","21398599","50cm",-1.5,-2,-1.75,0.5
"106",2024-06-02,"SSMH-SA","SSMH","SA","21398599","55cm",-1,-1.5,-1.25,0.5
"107",2024-06-02,"SSMH-SA","SSMH","SA","21398599","65cm",-3,-3,-3,0
"108",2024-06-02,"SSMH-SA","SSMH","SA","21398599","75cm",-4,-4,-4,0
"109",2024-06-02,"SSMH-SA","SSMH","SA","21398599","85cm",-4.5,-4.5,-4.5,0
"110",2024-06-02,"SSMH-SA","SSMH","SA","21398599","90cm",-4,-4,-4,0
"111",2024-06-02,"SSMH-SB","SSMH","SB","21393044","3.5cm",-1,-1,-1,0
