"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2023-12-01,"BEO-BASE","BEO","BASE","21398576","3.5cm",-5.5,-6,-5.75,0.5
"2",2023-12-01,"BEO-BASE","BEO","BASE","21398576","10cm",-3,-3.5,-3.25,0.5
"3",2023-12-01,"BEO-BASE","BEO","BASE","21398576","20cm",-2.5,-2.5,-2.5,0
"4",2023-12-01,"BEO-BASE","BEO","BASE","21398576","30cm",-2,-2.5,-2.25,0.5
"5",2023-12-01,"BEO-BASE","BEO","BASE","21398576","40cm",-0.5,-0.5,-0.5,0
"6",2023-12-01,"BEO-BASE","BEO","BASE","21398576","50cm",-1,-1,-1,0
"7",2023-12-01,"BEO-BASE","BEO","BASE","21398576","55cm",-1,-1,-1,0
"8",2023-12-01,"BEO-BASE","BEO","BASE","21398576","65cm",-0.5,-1,-0.75,0.5
"9",2023-12-01,"BEO-BASE","BEO","BASE","21398576","75cm",-0.5,-0.5,-0.5,0
"10",2023-12-01,"BEO-BASE","BEO","BASE","21398576","85cm",0,0,0,0
"11",2023-12-01,"BEO-BASE","BEO","BASE","21398576","90cm",-1.5,-1.5,-1.5,0
"12",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","3.5cm",-3.7,-4.2,-3.95,0.5
"13",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","10cm",-3.2,-3.6,-3.4,0.4
"14",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","20cm",-3.3,-3.5,-3.4,0.2
"15",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","30cm",-3,-3.1,-3.05,0.1
"16",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","40cm",-2.8,-2.8,-2.8,0
"17",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","50cm",-2.5,-2.5,-2.5,0
"18",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","55cm",-2,-2,-2,0
"19",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","65cm",-2.2,-2.5,-2.35,0.3
"20",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","75cm",-1.6,-1.7,-1.65,0.0999999999999999
"21",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","85cm",-1.7,-1.7,-1.7,0
"22",2023-12-01,"TNHA-BASE","TNHA","BASE","21206939","90cm",-1.6,-1.7,-1.65,0.0999999999999999
"23",2023-12-01,"TNHA-SE","TNHA","SE","21398577","3.5cm",-7.5,-8,-7.75,0.5
"24",2023-12-01,"TNHA-SE","TNHA","SE","21398577","10cm",-6.5,-6.5,-6.5,0
"25",2023-12-01,"TNHA-SE","TNHA","SE","21398577","20cm",-6,-6.5,-6.25,0.5
"26",2023-12-01,"TNHA-SE","TNHA","SE","21398577","30cm",-6,-6.5,-6.25,0.5
"27",2023-12-01,"TNHA-SE","TNHA","SE","21398577","40cm",-6.5,-6.5,-6.5,0
"28",2023-12-01,"TNHA-SE","TNHA","SE","21398577","50cm",-7.5,-8,-7.75,0.5
"29",2023-12-01,"TNHA-SE","TNHA","SE","21398577","55cm",-5,-6,-5.5,1
"30",2023-12-01,"TNHA-SE","TNHA","SE","21398577","65cm",-6,-6,-6,0
"31",2023-12-01,"TNHA-SE","TNHA","SE","21398577","75cm",-5,-5.5,-5.25,0.5
"32",2023-12-01,"TNHA-SE","TNHA","SE","21398577","85cm",-6,-6.5,-6.25,0.5
