"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2023-09-01,"SSMH-BASE","SSMH","BASE","21390413",657,1,329,656
"2",2023-09-01,"SSMH-SA","SSMH","SA","21398622",298,298,298,0
"3",2023-09-01,"SSMH-SB","SSMH","SB","21362319",358,1,179.5,357
"4",2023-09-01,"SSMH-SI","SSMH","SI","21398619",389,1,195,388
"5",2023-09-02,"SSMH-BASE","SSMH","BASE","21390413",778,1,389.5,777
"6",2023-09-02,"SSMH-SB","SSMH","SB","21362319",428,1,214.5,427
"7",2023-09-02,"SSMH-SI","SSMH","SI","21398619",383,1,192,382
"8",2023-09-03,"SSMH-BASE","SSMH","BASE","21390413",147,1,74,146
"9",2023-09-03,"SSMH-SB","SSMH","SB","21362319",464,1,232.5,463
"10",2023-09-03,"SSMH-SI","SSMH","SI","21398619",402,1,201.5,401
"11",2023-09-04,"SSMH-BASE","SSMH","BASE","21390413",642,1,321.5,641
"12",2023-09-04,"SSMH-SB","SSMH","SB","21362319",351,1,176,350
"13",2023-09-04,"SSMH-SI","SSMH","SI","21398619",352,1,176.5,351
"14",2023-09-05,"SSMH-BASE","SSMH","BASE","21390413",807,1,404,806
"15",2023-09-05,"SSMH-SB","SSMH","SB","21362319",361,1,181,360
"16",2023-09-05,"SSMH-SI","SSMH","SI","21398619",486,1,243.5,485
"17",2023-09-06,"SSMH-BASE","SSMH","BASE","21390413",237,1,119,236
"18",2023-09-06,"SSMH-SB","SSMH","SB","21362319",296,1,148.5,295
"19",2023-09-06,"SSMH-SI","SSMH","SI","21398619",197,1,99,196
"20",2023-09-07,"SSMH-BASE","SSMH","BASE","21390413",578,1,289.5,577
"21",2023-09-07,"SSMH-SB","SSMH","SB","21362319",252,1,126.5,251
"22",2023-09-07,"SSMH-SI","SSMH","SI","21398619",257,1,129,256
"23",2023-09-08,"SSMH-BASE","SSMH","BASE","21390413",192,1,96.5,191
"24",2023-09-08,"SSMH-SB","SSMH","SB","21362319",262,1,131.5,261
"25",2023-09-08,"SSMH-SI","SSMH","SI","21398619",172,1,86.5,171
"26",2023-09-09,"SSMH-BASE","SSMH","BASE","21390413",171,1,86,170
"27",2023-09-09,"SSMH-SB","SSMH","SB","21362319",129,1,65,128
"28",2023-09-09,"SSMH-SI","SSMH","SI","21398619",168,1,84.5,167
"29",2023-09-10,"SSMH-BASE","SSMH","BASE","21390413",129,1,65,128
"30",2023-09-10,"SSMH-SB","SSMH","SB","21362319",113,1,57,112
"31",2023-09-10,"SSMH-SI","SSMH","SI","21398619",111,1,56,110
"32",2023-09-11,"SSMH-BASE","SSMH","BASE","21390413",331,1,166,330
"33",2023-09-11,"SSMH-SB","SSMH","SB","21362319",133,1,67,132
"34",2023-09-11,"SSMH-SI","SSMH","SI","21398619",217,1,109,216
"35",2023-09-12,"SSMH-BASE","SSMH","BASE","21390413",122,1,61.5,121
"36",2023-09-12,"SSMH-SB","SSMH","SB","21362319",93,1,47,92
"37",2023-09-12,"SSMH-SI","SSMH","SI","21398619",108,1,54.5,107
"38",2023-09-13,"SSMH-BASE","SSMH","BASE","21390413",263,1,132,262
"39",2023-09-13,"SSMH-SB","SSMH","SB","21362319",199,1,100,198
"40",2023-09-13,"SSMH-SI","SSMH","SI","21398619",222,1,111.5,221
"41",2023-09-14,"SSMH-BASE","SSMH","BASE","21390413",581,1,291,580
"42",2023-09-14,"SSMH-SB","SSMH","SB","21362319",256,1,128.5,255
"43",2023-09-14,"SSMH-SI","SSMH","SI","21398619",342,1,171.5,341
"44",2023-09-15,"BEO-BASE","BEO","BASE","21390415",84,1,42.5,83
"45",2023-09-15,"SSMH-BASE","SSMH","BASE","21390413",84,1,42.5,83
"46",2023-09-15,"SSMH-SB","SSMH","SB","21362319",279,1,140,278
"47",2023-09-15,"SSMH-SI","SSMH","SI","21398619",264,1,132.5,263
"48",2023-09-15,"TNHA-BASE","TNHA","BASE","21176526",72,1,36.5,71
"49",2023-09-15,"TNHA-SA","TNHA","SA","21398620",46,1,23.5,45
"50",2023-09-15,"TNHA-SB","TNHA","SB","21362318",77,1,39,76
"51",2023-09-15,"TNHA-SC","TNHA","SC","21362317",44,1,22.5,43
"52",2023-09-15,"TNHA-SD","TNHA","SD","21362315",46,1,23.5,45
"53",2023-09-16,"BEO-BASE","BEO","BASE","21390415",118,1,59.5,117
"54",2023-09-16,"SSMH-BASE","SSMH","BASE","21390413",94,1,47.5,93
"55",2023-09-16,"SSMH-SB","SSMH","SB","21362319",74,1,37.5,73
"56",2023-09-16,"SSMH-SI","SSMH","SI","21398619",87,1,44,86
"57",2023-09-16,"TNHA-BASE","TNHA","BASE","21176526",76,1,38.5,75
"58",2023-09-16,"TNHA-SA","TNHA","SA","21398620",43,1,22,42
"59",2023-09-16,"TNHA-SB","TNHA","SB","21362318",76,1,38.5,75
"60",2023-09-16,"TNHA-SC","TNHA","SC","21362317",47,1,24,46
"61",2023-09-16,"TNHA-SD","TNHA","SD","21362315",46,1,23.5,45
"62",2023-09-17,"BEO-BASE","BEO","BASE","21390415",104,1,52.5,103
"63",2023-09-17,"SSMH-BASE","SSMH","BASE","21390413",103,1,52,102
"64",2023-09-17,"SSMH-SB","SSMH","SB","21362319",84,1,42.5,83
"65",2023-09-17,"SSMH-SI","SSMH","SI","21398619",106,1,53.5,105
"66",2023-09-17,"TNHA-BASE","TNHA","BASE","21176526",76,1,38.5,75
"67",2023-09-17,"TNHA-SA","TNHA","SA","21398620",44,1,22.5,43
"68",2023-09-17,"TNHA-SB","TNHA","SB","21362318",77,1,39,76
"69",2023-09-17,"TNHA-SC","TNHA","SC","21362317",47,1,24,46
"70",2023-09-17,"TNHA-SD","TNHA","SD","21362315",46,1,23.5,45
"71",2023-09-18,"BEO-BASE","BEO","BASE","21390415",104,1,52.5,103
"72",2023-09-18,"SSMH-BASE","SSMH","BASE","21390413",71,1,36,70
"73",2023-09-18,"SSMH-SB","SSMH","SB","21362319",53,1,27,52
"74",2023-09-18,"SSMH-SI","SSMH","SI","21398619",63,1,32,62
"75",2023-09-18,"TNHA-BASE","TNHA","BASE","21176526",53,53,53,0
"76",2023-09-18,"TNHA-SA","TNHA","SA","21398620",28,28,28,0
"77",2023-09-18,"TNHA-SB","TNHA","SB","21362318",51,51,51,0
"78",2023-09-18,"TNHA-SC","TNHA","SC","21362317",31,31,31,0
"79",2023-09-18,"TNHA-SD","TNHA","SD","21362315",29,29,29,0
