"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2023-03-01,"BEO-BASE","BEO","BASE","21390415",183,1,92,182
"2",2023-03-02,"BEO-BASE","BEO","BASE","21390415",162,1,81.5,161
"3",2023-03-03,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"4",2023-03-03,"SSMH-SB","SSMH","SB","21362319",53,32,42.5,21
"5",2023-03-04,"BEO-BASE","BEO","BASE","21390415",113,1,57,112
"6",2023-03-04,"SSMH-SB","SSMH","SB","21362319",51,1,26,50
"7",2023-03-05,"BEO-BASE","BEO","BASE","21390415",88,1,44.5,87
"8",2023-03-05,"SSMH-SB","SSMH","SB","21362319",32,1,16.5,31
"9",2023-03-05,"TNHA-BASE","TNHA","BASE","21176526",51,1,26,50
"10",2023-03-05,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"11",2023-03-05,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"12",2023-03-05,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"13",2023-03-05,"TNHA-SD","TNHA","SD","21362315",34,1,17.5,33
"14",2023-03-06,"BEO-BASE","BEO","BASE","21390415",194,1,97.5,193
"15",2023-03-06,"SSMH-SB","SSMH","SB","21362319",22,1,11.5,21
"16",2023-03-06,"TNHA-BASE","TNHA","BASE","21176526",17,1,9,16
"17",2023-03-06,"TNHA-SA","TNHA","SA","21398620",23,1,12,22
"18",2023-03-06,"TNHA-SB","TNHA","SB","21362318",41,1,21,40
"19",2023-03-06,"TNHA-SC","TNHA","SC","21362317",27,1,14,26
"20",2023-03-06,"TNHA-SD","TNHA","SD","21362315",29,1,15,28
"21",2023-03-07,"BEO-BASE","BEO","BASE","21390415",126,1,63.5,125
"22",2023-03-07,"SSMH-SB","SSMH","SB","21362319",14,1,7.5,13
"23",2023-03-07,"TNHA-BASE","TNHA","BASE","21176526",94,1,47.5,93
"24",2023-03-07,"TNHA-SA","TNHA","SA","21398620",47,1,24,46
"25",2023-03-07,"TNHA-SB","TNHA","SB","21362318",76,1,38.5,75
