"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2024-06-01,"SSMH-SA","SSMH","SA","21398622",698,13,355.5,685
"2",2024-06-01,"SSMH-SB","SSMH","SB","21362319",587,9,298,578
"3",2024-06-01,"SSMH-SI","SSMH","SI","21398619",491,17,254,474
"4",2024-06-01,"TNHA-BASE","TNHA","BASE","21176526",648,14,331,634
"5",2024-06-01,"TNHA-SA","TNHA","SA","21398620",799,7,403,792
"6",2024-06-01,"TNHA-SB","TNHA","SB","21362318",568,18,293,550
"7",2024-06-01,"TNHA-SD","TNHA","SD","21362315",373,9,191,364
"8",2024-06-02,"SSMH-SA","SSMH","SA","21398622",372,2,187,370
"9",2024-06-02,"SSMH-SB","SSMH","SB","21362319",318,1,159.5,317
"10",2024-06-02,"SSMH-SI","SSMH","SI","21398619",278,2,140,276
"11",2024-06-02,"TNHA-BASE","TNHA","BASE","21176526",371,2,186.5,369
"12",2024-06-02,"TNHA-SA","TNHA","SA","21398620",342,1,171.5,341
"13",2024-06-02,"TNHA-SB","TNHA","SB","21362318",389,2,195.5,387
"14",2024-06-02,"TNHA-SD","TNHA","SD","21362315",202,1,101.5,201
"15",2024-06-03,"SSMH-SA","SSMH","SA","21398622",242,9,125.5,233
"16",2024-06-03,"SSMH-SB","SSMH","SB","21362319",167,7,87,160
"17",2024-06-03,"SSMH-SI","SSMH","SI","21398619",232,9,120.5,223
"18",2024-06-03,"TNHA-BASE","TNHA","BASE","21176526",358,11,184.5,347
"19",2024-06-03,"TNHA-SA","TNHA","SA","21398620",151,4,77.5,147
"20",2024-06-03,"TNHA-SB","TNHA","SB","21362318",278,12,145,266
"21",2024-06-03,"TNHA-SD","TNHA","SD","21362315",169,6,87.5,163
"22",2024-06-04,"SSMH-SA","SSMH","SA","21398622",233,13,123,220
"23",2024-06-04,"SSMH-SB","SSMH","SB","21362319",174,8,91,166
"24",2024-06-04,"SSMH-SI","SSMH","SI","21398619",214,13,113.5,201
"25",2024-06-04,"TNHA-BASE","TNHA","BASE","21176526",243,11,127,232
"26",2024-06-04,"TNHA-SA","TNHA","SA","21398620",159,8,83.5,151
"27",2024-06-04,"TNHA-SB","TNHA","SB","21362318",277,14,145.5,263
"28",2024-06-04,"TNHA-SD","TNHA","SD","21362315",153,8,80.5,145
"29",2024-06-05,"SSMH-SA","SSMH","SA","21398622",424,9,216.5,415
"30",2024-06-05,"SSMH-SB","SSMH","SB","21362319",279,6,142.5,273
"31",2024-06-05,"SSMH-SI","SSMH","SI","21398619",343,8,175.5,335
"32",2024-06-05,"TNHA-BASE","TNHA","BASE","21176526",446,8,227,438
"33",2024-06-05,"TNHA-SA","TNHA","SA","21398620",359,4,181.5,355
"34",2024-06-05,"TNHA-SB","TNHA","SB","21362318",451,9,230,442
"35",2024-06-05,"TNHA-SD","TNHA","SD","21362315",331,6,168.5,325
"36",2024-06-06,"SSMH-SA","SSMH","SA","21398622",516,9,262.5,507
"37",2024-06-06,"SSMH-SB","SSMH","SB","21362319",432,7,219.5,425
"38",2024-06-06,"SSMH-SI","SSMH","SI","21398619",278,9,143.5,269
"39",2024-06-06,"TNHA-BASE","TNHA","BASE","21176526",494,12,253,482
"40",2024-06-06,"TNHA-SA","TNHA","SA","21398620",563,4,283.5,559
"41",2024-06-06,"TNHA-SB","TNHA","SB","21362318",482,12,247,470
"42",2024-06-06,"TNHA-SC","TNHA","SC","21362317",189,181,185,8
"43",2024-06-06,"TNHA-SD","TNHA","SD","21362315",209,6,107.5,203
"44",2024-06-07,"SSMH-SA","SSMH","SA","21398622",539,9,274,530
"45",2024-06-07,"SSMH-SB","SSMH","SB","21362319",394,7,200.5,387
"46",2024-06-07,"SSMH-SI","SSMH","SI","21398619",272,9,140.5,263
"47",2024-06-07,"TNHA-BASE","TNHA","BASE","21176526",539,12,275.5,527
"48",2024-06-07,"TNHA-SA","TNHA","SA","21398620",403,4,203.5,399
"49",2024-06-07,"TNHA-SB","TNHA","SB","21362318",407,11,209,396
"50",2024-06-07,"TNHA-SC","TNHA","SC","21362317",187,7,97,180
"51",2024-06-07,"TNHA-SD","TNHA","SD","21362315",362,6,184,356
"52",2024-06-08,"SSMH-BASE","SSMH","BASE","21390413",858,391,624.5,467
"53",2024-06-08,"SSMH-SA","SSMH","SA","21398622",696,21,358.5,675
"54",2024-06-08,"SSMH-SB","SSMH","SB","21362319",561,14,287.5,547
"55",2024-06-08,"SSMH-SI","SSMH","SI","21398619",594,22,308,572
"56",2024-06-08,"TNHA-BASE","TNHA","BASE","21176526",666,24,345,642
"57",2024-06-08,"TNHA-SA","TNHA","SA","21398620",784,12,398,772
"58",2024-06-08,"TNHA-SB","TNHA","SB","21362318",588,29,308.5,559
"59",2024-06-08,"TNHA-SC","TNHA","SC","21362317",186,24,105,162
"60",2024-06-08,"TNHA-SD","TNHA","SD","21362315",758,16,387,742
"61",2024-06-09,"SSMH-BASE","SSMH","BASE","21390413",564,9,286.5,555
"62",2024-06-09,"SSMH-SA","SSMH","SA","21398622",642,13,327.5,629
"63",2024-06-09,"SSMH-SB","SSMH","SB","21362319",492,9,250.5,483
"64",2024-06-09,"SSMH-SI","SSMH","SI","21398619",413,17,215,396
"65",2024-06-09,"TNHA-BASE","TNHA","BASE","21176526",608,12,310,596
"66",2024-06-09,"TNHA-SA","TNHA","SA","21398620",777,6,391.5,771
"67",2024-06-09,"TNHA-SB","TNHA","SB","21362318",558,22,290,536
"68",2024-06-09,"TNHA-SC","TNHA","SC","21362317",411,17,214,394
"69",2024-06-09,"TNHA-SD","TNHA","SD","21362315",251,8,129.5,243
"70",2024-06-10,"SSMH-BASE","SSMH","BASE","21390413",849,9,429,840
"71",2024-06-10,"SSMH-SA","SSMH","SA","21398622",699,9,354,690
"72",2024-06-10,"SSMH-SB","SSMH","SB","21362319",573,12,292.5,561
"73",2024-06-10,"SSMH-SI","SSMH","SI","21398619",606,31,318.5,575
"74",2024-06-10,"TNHA-BASE","TNHA","BASE","21176526",672,11,341.5,661
"75",2024-06-10,"TNHA-SA","TNHA","SA","21398620",794,9,401.5,785
"76",2024-06-10,"TNHA-SB","TNHA","SB","21362318",589,24,306.5,565
"77",2024-06-10,"TNHA-SC","TNHA","SC","21362317",248,33,140.5,215
"78",2024-06-10,"TNHA-SD","TNHA","SD","21362315",757,14,385.5,743
"79",2024-06-11,"SSMH-BASE","SSMH","BASE","21390413",912,12,462,900
"80",2024-06-11,"SSMH-SA","SSMH","SA","21398622",681,11,346,670
"81",2024-06-11,"SSMH-SB","SSMH","SB","21362319",567,12,289.5,555
"82",2024-06-11,"SSMH-SI","SSMH","SI","21398619",541,39,290,502
"83",2024-06-11,"TNHA-BASE","TNHA","BASE","21176526",659,12,335.5,647
"84",2024-06-11,"TNHA-SA","TNHA","SA","21398620",801,9,405,792
"85",2024-06-11,"TNHA-SB","TNHA","SB","21362318",577,32,304.5,545
"86",2024-06-11,"TNHA-SC","TNHA","SC","21362317",244,37,140.5,207
"87",2024-06-11,"TNHA-SD","TNHA","SD","21362315",681,16,348.5,665
"88",2024-06-12,"SSMH-BASE","SSMH","BASE","21390413",878,12,445,866
"89",2024-06-12,"SSMH-SA","SSMH","SA","21398622",716,14,365,702
"90",2024-06-12,"SSMH-SB","SSMH","SB","21362319",589,13,301,576
"91",2024-06-12,"SSMH-SI","SSMH","SI","21398619",621,21,321,600
"92",2024-06-12,"TNHA-BASE","TNHA","BASE","21176526",688,19,353.5,669
"93",2024-06-12,"TNHA-SA","TNHA","SA","21398620",823,7,415,816
"94",2024-06-12,"TNHA-SB","TNHA","SB","21362318",602,26,314,576
