"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2022-12-01,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"2",2022-12-01,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"3",2022-12-01,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"4",2022-12-01,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"5",2022-12-01,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"6",2022-12-01,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"7",2022-12-01,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"8",2022-12-01,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"9",2022-12-01,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"10",2022-12-02,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"11",2022-12-02,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"12",2022-12-02,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"13",2022-12-02,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"14",2022-12-02,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"15",2022-12-02,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"16",2022-12-02,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"17",2022-12-02,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"18",2022-12-02,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"19",2022-12-03,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"20",2022-12-03,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"21",2022-12-03,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"22",2022-12-03,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"23",2022-12-03,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"24",2022-12-03,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"25",2022-12-03,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"26",2022-12-03,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"27",2022-12-03,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"28",2022-12-04,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"29",2022-12-04,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"30",2022-12-04,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"31",2022-12-04,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"32",2022-12-04,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"33",2022-12-04,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"34",2022-12-04,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"35",2022-12-04,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"36",2022-12-04,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"37",2022-12-05,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"38",2022-12-05,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"39",2022-12-05,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"40",2022-12-05,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"41",2022-12-05,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"42",2022-12-05,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"43",2022-12-05,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"44",2022-12-05,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"45",2022-12-05,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"46",2022-12-06,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"47",2022-12-06,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"48",2022-12-06,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"49",2022-12-06,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"50",2022-12-06,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"51",2022-12-06,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"52",2022-12-06,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"53",2022-12-06,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"54",2022-12-06,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"55",2022-12-07,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"56",2022-12-07,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"57",2022-12-07,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"58",2022-12-07,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"59",2022-12-07,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"60",2022-12-07,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"61",2022-12-07,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"62",2022-12-07,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"63",2022-12-07,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"64",2022-12-08,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"65",2022-12-08,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"66",2022-12-08,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"67",2022-12-08,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"68",2022-12-08,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"69",2022-12-08,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"70",2022-12-08,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"71",2022-12-08,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"72",2022-12-08,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"73",2022-12-09,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"74",2022-12-09,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"75",2022-12-09,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"76",2022-12-09,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"77",2022-12-09,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"78",2022-12-09,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"79",2022-12-09,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"80",2022-12-09,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"81",2022-12-09,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"82",2022-12-10,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"83",2022-12-10,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"84",2022-12-10,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"85",2022-12-10,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
"86",2022-12-10,"TNHA-BASE","TNHA","BASE","21176526",1,1,1,0
"87",2022-12-10,"TNHA-SA","TNHA","SA","21398620",1,1,1,0
"88",2022-12-10,"TNHA-SB","TNHA","SB","21362318",1,1,1,0
"89",2022-12-10,"TNHA-SC","TNHA","SC","21362317",1,1,1,0
"90",2022-12-10,"TNHA-SD","TNHA","SD","21362315",1,1,1,0
"91",2022-12-11,"BEO-BASE","BEO","BASE","21390415",1,1,1,0
"92",2022-12-11,"SSMH-BASE","SSMH","BASE","21390413",1,1,1,0
"93",2022-12-11,"SSMH-SA","SSMH","SA","21398622",1,1,1,0
"94",2022-12-11,"SSMH-SB","SSMH","SB","21362319",1,1,1,0
