"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2023-09-01,"SSMH-SA","SSMH","SA","21398599","0-15cm",0.173,0.166,0.1695,0.00699999999999998
"2",2023-09-01,"SSMH-SA","SSMH","SA","21398599","15-30cm",0.174,0.171,0.1725,0.00299999999999997
"3",2023-09-01,"SSMH-SA","SSMH","SA","21398599","30-45cm",0.077,0.075,0.076,0.002
"4",2023-09-01,"SSMH-SA","SSMH","SA","21398599","45-60cm",0.187,0.185,0.186,0.002
"5",2023-09-01,"SSMH-SA","SSMH","SA","21398599","60-75cm",0.121,0.121,0.121,0
"6",2023-09-01,"SSMH-SA","SSMH","SA","21398599","75-90cm",0.305,0.297,0.301,0.00800000000000001
"7",2023-09-01,"SSMH-SB","SSMH","SB","21393044","0-15cm",0.383,0.379,0.381,0.004
"8",2023-09-01,"SSMH-SB","SSMH","SB","21393044","15-30cm",0.407,0.404,0.4055,0.00299999999999995
"9",2023-09-01,"SSMH-SB","SSMH","SB","21393044","30-45cm",0.379,0.376,0.3775,0.003
"10",2023-09-01,"SSMH-SB","SSMH","SB","21393044","45-60cm",0.432,0.43,0.431,0.002
"11",2023-09-01,"SSMH-SB","SSMH","SB","21393044","60-75cm",0.272,0.267,0.2695,0.005
"12",2023-09-01,"SSMH-SB","SSMH","SB","21393044","75-90cm",0.116,0.116,0.116,0
"13",2023-09-01,"SSMH-SD","SSMH","SD","21393049","0-15cm",0.523,0.514,0.5185,0.00900000000000001
"14",2023-09-01,"SSMH-SD","SSMH","SD","21393049","15-30cm",0.545,0.541,0.543,0.004
"15",2023-09-01,"SSMH-SD","SSMH","SD","21393049","30-45cm",0.558,0.555,0.5565,0.003
"16",2023-09-01,"SSMH-SD","SSMH","SD","21393049","45-60cm",0.575,0.572,0.5735,0.003
"17",2023-09-01,"SSMH-SD","SSMH","SD","21393049","60-75cm",0.579,0.577,0.578,0.002
"18",2023-09-01,"SSMH-SD","SSMH","SD","21393049","75-90cm",0.125,0.123,0.124,0.002
"19",2023-09-01,"SSMH-SE","SSMH","SE","21398594","0-15cm",0.134,0.126,0.13,0.00800000000000001
"20",2023-09-01,"SSMH-SE","SSMH","SE","21398594","15-30cm",0.4,0.379,0.3895,0.021
"21",2023-09-01,"SSMH-SE","SSMH","SE","21398594","30-45cm",0.293,0.289,0.291,0.004
"22",2023-09-01,"SSMH-SE","SSMH","SE","21398594","45-60cm",0.113,0.113,0.113,0
"23",2023-09-01,"SSMH-SE","SSMH","SE","21398594","60-75cm",0.08,0.079,0.0795,0.001
"24",2023-09-01,"SSMH-SE","SSMH","SE","21398594","75-90cm",0.177,0.176,0.1765,0.001
"25",2023-09-01,"SSMH-SF","SSMH","SF","21393043","0-15cm",0.017,0.012,0.0145,0.005
"26",2023-09-01,"SSMH-SF","SSMH","SF","21393043","15-30cm",0.227,0.226,0.2265,0.001
"27",2023-09-01,"SSMH-SF","SSMH","SF","21393043","30-45cm",0.386,0.38,0.383,0.006
"28",2023-09-01,"SSMH-SF","SSMH","SF","21393043","45-60cm",0.15,0.148,0.149,0.002
"29",2023-09-01,"SSMH-SF","SSMH","SF","21393043","60-75cm",0.096,0.095,0.0955,0.001
"30",2023-09-01,"SSMH-SF","SSMH","SF","21393043","75-90cm",0.156,0.155,0.1555,0.001
"31",2023-09-01,"SSMH-SG","SSMH","SG","21398586","0-15cm",0.534,0.531,0.5325,0.003
"32",2023-09-01,"SSMH-SG","SSMH","SG","21398586","15-30cm",0.496,0.495,0.4955,0.001
"33",2023-09-01,"SSMH-SG","SSMH","SG","21398586","30-45cm",0.405,0.402,0.4035,0.003
"34",2023-09-01,"SSMH-SG","SSMH","SG","21398586","45-60cm",0.123,0.123,0.123,0
"35",2023-09-01,"SSMH-SG","SSMH","SG","21398586","60-75cm",0.096,0.096,0.096,0
"36",2023-09-01,"SSMH-SG","SSMH","SG","21398586","75-90cm",0.064,0.063,0.0635,0.001
"37",2023-09-01,"SSMH-SH","SSMH","SH","21398580","0-15cm",0,0,0,0
"38",2023-09-01,"SSMH-SH","SSMH","SH","21398580","15-30cm",0.082,0.08,0.081,0.002
"39",2023-09-01,"SSMH-SH","SSMH","SH","21398580","30-45cm",0.385,0.384,0.3845,0.001
"40",2023-09-01,"SSMH-SH","SSMH","SH","21398580","45-60cm",0.04,0.04,0.04,0
"41",2023-09-01,"SSMH-SH","SSMH","SH","21398580","60-75cm",0.07,0.07,0.07,0
"42",2023-09-01,"SSMH-SH","SSMH","SH","21398580","75-90cm",0.101,0.1,0.1005,0.001
"43",2023-09-01,"SSMH-SI","SSMH","SI","21398581","0-15cm",0.258,0.245,0.2515,0.013
"44",2023-09-01,"SSMH-SI","SSMH","SI","21398581","15-30cm",0.472,0.471,0.4715,0.001
"45",2023-09-01,"SSMH-SI","SSMH","SI","21398581","30-45cm",0.464,0.463,0.4635,0.001
"46",2023-09-01,"SSMH-SI","SSMH","SI","21398581","45-60cm",0.325,0.324,0.3245,0.001
"47",2023-09-01,"SSMH-SI","SSMH","SI","21398581","60-75cm",0.177,0.177,0.177,0
"48",2023-09-01,"SSMH-SI","SSMH","SI","21398581","75-90cm",0.182,0.182,0.182,0
"49",2023-09-02,"SSMH-SA","SSMH","SA","21398599","0-15cm",0.169,0.162,0.1655,0.00700000000000001
"50",2023-09-02,"SSMH-SA","SSMH","SA","21398599","15-30cm",0.174,0.17,0.172,0.00399999999999998
"51",2023-09-02,"SSMH-SA","SSMH","SA","21398599","30-45cm",0.077,0.075,0.076,0.002
"52",2023-09-02,"SSMH-SA","SSMH","SA","21398599","45-60cm",0.187,0.186,0.1865,0.001
"53",2023-09-02,"SSMH-SA","SSMH","SA","21398599","60-75cm",0.123,0.121,0.122,0.002
"54",2023-09-02,"SSMH-SA","SSMH","SA","21398599","75-90cm",0.311,0.305,0.308,0.006
"55",2023-09-02,"SSMH-SB","SSMH","SB","21393044","0-15cm",0.381,0.378,0.3795,0.003
"56",2023-09-02,"SSMH-SB","SSMH","SB","21393044","15-30cm",0.407,0.403,0.405,0.00399999999999995
"57",2023-09-02,"SSMH-SB","SSMH","SB","21393044","30-45cm",0.381,0.378,0.3795,0.003
"58",2023-09-02,"SSMH-SB","SSMH","SB","21393044","45-60cm",0.432,0.432,0.432,0
"59",2023-09-02,"SSMH-SB","SSMH","SB","21393044","60-75cm",0.273,0.272,0.2725,0.001
"60",2023-09-02,"SSMH-SB","SSMH","SB","21393044","75-90cm",0.116,0.116,0.116,0
"61",2023-09-02,"SSMH-SD","SSMH","SD","21393049","0-15cm",0.516,0.507,0.5115,0.00900000000000001
"62",2023-09-02,"SSMH-SD","SSMH","SD","21393049","15-30cm",0.541,0.537,0.539,0.004
"63",2023-09-02,"SSMH-SD","SSMH","SD","21393049","30-45cm",0.557,0.552,0.5545,0.005
"64",2023-09-02,"SSMH-SD","SSMH","SD","21393049","45-60cm",0.577,0.575,0.576,0.002
"65",2023-09-02,"SSMH-SD","SSMH","SD","21393049","60-75cm",0.58,0.572,0.576,0.00800000000000001
"66",2023-09-02,"SSMH-SD","SSMH","SD","21393049","75-90cm",0.125,0.125,0.125,0
"67",2023-09-02,"SSMH-SE","SSMH","SE","21398594","0-15cm",0.126,0.119,0.1225,0.00700000000000001
"68",2023-09-02,"SSMH-SE","SSMH","SE","21398594","15-30cm",0.379,0.366,0.3725,0.013
"69",2023-09-02,"SSMH-SE","SSMH","SE","21398594","30-45cm",0.297,0.293,0.295,0.004
"70",2023-09-02,"SSMH-SE","SSMH","SE","21398594","45-60cm",0.113,0.113,0.113,0
"71",2023-09-02,"SSMH-SE","SSMH","SE","21398594","60-75cm",0.08,0.08,0.08,0
"72",2023-09-02,"SSMH-SE","SSMH","SE","21398594","75-90cm",0.177,0.177,0.177,0
"73",2023-09-02,"SSMH-SF","SSMH","SF","21393043","0-15cm",0.013,0.009,0.011,0.004
"74",2023-09-02,"SSMH-SF","SSMH","SF","21393043","15-30cm",0.227,0.225,0.226,0.002
"75",2023-09-02,"SSMH-SF","SSMH","SF","21393043","30-45cm",0.38,0.377,0.3785,0.003
"76",2023-09-02,"SSMH-SF","SSMH","SF","21393043","45-60cm",0.151,0.15,0.1505,0.001
"77",2023-09-02,"SSMH-SF","SSMH","SF","21393043","60-75cm",0.096,0.096,0.096,0
"78",2023-09-02,"SSMH-SF","SSMH","SF","21393043","75-90cm",0.158,0.156,0.157,0.002
"79",2023-09-02,"SSMH-SG","SSMH","SG","21398586","0-15cm",0.534,0.532,0.533,0.002
"80",2023-09-02,"SSMH-SG","SSMH","SG","21398586","15-30cm",0.497,0.496,0.4965,0.001
