"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2024-03-01,"BEO-BASE","BEO","BASE","21393045","0-15cm",0.001,0.001,0.001,0
"2",2024-03-01,"BEO-BASE","BEO","BASE","21393045","15-30cm",0,0,0,0
"3",2024-03-01,"BEO-BASE","BEO","BASE","21393045","30-45cm",0,0,0,0
"4",2024-03-01,"BEO-BASE","BEO","BASE","21393045","45-60cm",0,0,0,0
"5",2024-03-01,"BEO-BASE","BEO","BASE","21393045","60-75cm",0,0,0,0
"6",2024-03-01,"BEO-BASE","BEO","BASE","21393045","75-90cm",0,0,0,0
"7",2024-03-01,"BEO-BASE","BEO","BASE","21398576","0-15cm",0,0,0,0
"8",2024-03-01,"BEO-BASE","BEO","BASE","21398576","15-30cm",0,0,0,0
"9",2024-03-01,"BEO-BASE","BEO","BASE","21398576","30-45cm",0,0,0,0
"10",2024-03-01,"BEO-BASE","BEO","BASE","21398576","45-60cm",0.083,0.081,0.082,0.002
"11",2024-03-01,"BEO-BASE","BEO","BASE","21398576","60-75cm",0,0,0,0
"12",2024-03-01,"BEO-BASE","BEO","BASE","21398576","75-90cm",0,0,0,0
"13",2024-03-01,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"14",2024-03-01,"BEO-BASE","BEO","BASE","21393048","15-30cm",0,0,0,0
"15",2024-03-01,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
"16",2024-03-01,"BEO-BASE","BEO","BASE","21393048","45-60cm",0,0,0,0
"17",2024-03-01,"BEO-BASE","BEO","BASE","21393048","60-75cm",0.108,0.106,0.107,0.002
"18",2024-03-01,"BEO-BASE","BEO","BASE","21393048","75-90cm",0.07,0.069,0.0695,0.001
"19",2024-03-02,"BEO-BASE","BEO","BASE","21393045","0-15cm",0.001,0,5e-04,0.001
"20",2024-03-02,"BEO-BASE","BEO","BASE","21393045","15-30cm",0.001,0,5e-04,0.001
"21",2024-03-02,"BEO-BASE","BEO","BASE","21393045","30-45cm",0.071,0,0.0355,0.071
"22",2024-03-02,"BEO-BASE","BEO","BASE","21393045","45-60cm",0.075,0,0.0375,0.075
"23",2024-03-02,"BEO-BASE","BEO","BASE","21393045","60-75cm",0.017,0,0.0085,0.017
"24",2024-03-02,"BEO-BASE","BEO","BASE","21393045","75-90cm",0.001,0,5e-04,0.001
"25",2024-03-02,"BEO-BASE","BEO","BASE","21398576","0-15cm",0,0,0,0
"26",2024-03-02,"BEO-BASE","BEO","BASE","21398576","15-30cm",0,0,0,0
"27",2024-03-02,"BEO-BASE","BEO","BASE","21398576","30-45cm",0,0,0,0
"28",2024-03-02,"BEO-BASE","BEO","BASE","21398576","45-60cm",0.081,0.081,0.081,0
"29",2024-03-02,"BEO-BASE","BEO","BASE","21398576","60-75cm",0,0,0,0
"30",2024-03-02,"BEO-BASE","BEO","BASE","21398576","75-90cm",0,0,0,0
"31",2024-03-02,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"32",2024-03-02,"BEO-BASE","BEO","BASE","21393048","15-30cm",0,0,0,0
"33",2024-03-02,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
"34",2024-03-02,"BEO-BASE","BEO","BASE","21393048","45-60cm",0,0,0,0
"35",2024-03-02,"BEO-BASE","BEO","BASE","21393048","60-75cm",0.106,0.106,0.106,0
"36",2024-03-02,"BEO-BASE","BEO","BASE","21393048","75-90cm",0.07,0.069,0.0695,0.001
"37",2024-03-03,"BEO-BASE","BEO","BASE","21393045","0-15cm",0.001,0,5e-04,0.001
"38",2024-03-03,"BEO-BASE","BEO","BASE","21393045","15-30cm",0.001,0,5e-04,0.001
"39",2024-03-03,"BEO-BASE","BEO","BASE","21393045","30-45cm",0.072,0,0.036,0.072
"40",2024-03-03,"BEO-BASE","BEO","BASE","21393045","45-60cm",0.075,0,0.0375,0.075
"41",2024-03-03,"BEO-BASE","BEO","BASE","21393045","60-75cm",0.017,0,0.0085,0.017
"42",2024-03-03,"BEO-BASE","BEO","BASE","21393045","75-90cm",0.001,0,5e-04,0.001
"43",2024-03-03,"BEO-BASE","BEO","BASE","21398576","0-15cm",0,0,0,0
"44",2024-03-03,"BEO-BASE","BEO","BASE","21398576","15-30cm",0,0,0,0
"45",2024-03-03,"BEO-BASE","BEO","BASE","21398576","30-45cm",0,0,0,0
"46",2024-03-03,"BEO-BASE","BEO","BASE","21398576","45-60cm",0.081,0.081,0.081,0
"47",2024-03-03,"BEO-BASE","BEO","BASE","21398576","60-75cm",0,0,0,0
"48",2024-03-03,"BEO-BASE","BEO","BASE","21398576","75-90cm",0,0,0,0
"49",2024-03-03,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"50",2024-03-03,"BEO-BASE","BEO","BASE","21393048","15-30cm",0,0,0,0
"51",2024-03-03,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
"52",2024-03-03,"BEO-BASE","BEO","BASE","21393048","45-60cm",0,0,0,0
"53",2024-03-03,"BEO-BASE","BEO","BASE","21393048","60-75cm",0.108,0.106,0.107,0.002
"54",2024-03-03,"BEO-BASE","BEO","BASE","21393048","75-90cm",0.07,0.07,0.07,0
"55",2024-03-04,"BEO-BASE","BEO","BASE","21393045","0-15cm",0.001,0,5e-04,0.001
"56",2024-03-04,"BEO-BASE","BEO","BASE","21393045","15-30cm",0.001,0,5e-04,0.001
"57",2024-03-04,"BEO-BASE","BEO","BASE","21393045","30-45cm",0.073,0.072,0.0725,0.001
"58",2024-03-04,"BEO-BASE","BEO","BASE","21393045","45-60cm",0.075,0.075,0.075,0
"59",2024-03-04,"BEO-BASE","BEO","BASE","21393045","60-75cm",0.017,0.016,0.0165,0.001
"60",2024-03-04,"BEO-BASE","BEO","BASE","21393045","75-90cm",0.001,0,5e-04,0.001
"61",2024-03-04,"BEO-BASE","BEO","BASE","21398576","0-15cm",0,0,0,0
"62",2024-03-04,"BEO-BASE","BEO","BASE","21398576","15-30cm",0,0,0,0
"63",2024-03-04,"BEO-BASE","BEO","BASE","21398576","30-45cm",0,0,0,0
"64",2024-03-04,"BEO-BASE","BEO","BASE","21398576","45-60cm",0.081,0.081,0.081,0
"65",2024-03-04,"BEO-BASE","BEO","BASE","21398576","60-75cm",0,0,0,0
"66",2024-03-04,"BEO-BASE","BEO","BASE","21398576","75-90cm",0,0,0,0
"67",2024-03-04,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"68",2024-03-04,"BEO-BASE","BEO","BASE","21393048","15-30cm",0,0,0,0
"69",2024-03-04,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
