"","Date","fullname","site","station","sensor","depth","max","min","avg","amp"
"1",2022-12-01,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"2",2022-12-01,"BEO-BASE","BEO","BASE","21393048","15-30cm",0.018,0.016,0.017,0.002
"3",2022-12-01,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
"4",2022-12-01,"BEO-BASE","BEO","BASE","21393048","45-60cm",0.088,0.085,0.0865,0.00299999999999999
"5",2022-12-01,"BEO-BASE","BEO","BASE","21393048","60-75cm",0.04,0.04,0.04,0
"6",2022-12-01,"BEO-BASE","BEO","BASE","21393048","75-90cm",0.03,0.03,0.03,0
"7",2022-12-01,"BUECI-SB","BUECI","SB","21398583","0-15cm",0.004,0.004,0.004,0
"8",2022-12-01,"BUECI-SB","BUECI","SB","21398583","15-30cm",0.031,0.031,0.031,0
"9",2022-12-01,"BUECI-SB","BUECI","SB","21398583","30-45cm",0.031,0.031,0.031,0
"10",2022-12-01,"BUECI-SB","BUECI","SB","21398583","45-60cm",0.009,0.009,0.009,0
"11",2022-12-01,"BUECI-SB","BUECI","SB","21398583","60-75cm",0.016,0.016,0.016,0
"12",2022-12-01,"BUECI-SB","BUECI","SB","21398583","75-90cm",0.051,0.051,0.051,0
"13",2022-12-01,"BUECI-SC","BUECI","SC","21393042","0-15cm",0.018,0.018,0.018,0
"14",2022-12-01,"BUECI-SC","BUECI","SC","21393042","15-30cm",0,0,0,0
"15",2022-12-01,"BUECI-SC","BUECI","SC","21393042","30-45cm",0,0,0,0
"16",2022-12-01,"BUECI-SC","BUECI","SC","21393042","45-60cm",0,0,0,0
"17",2022-12-01,"BUECI-SC","BUECI","SC","21393042","60-75cm",0.005,0.005,0.005,0
"18",2022-12-01,"BUECI-SC","BUECI","SC","21393042","75-90cm",0.011,0.011,0.011,0
"19",2022-12-01,"BUECI-SD","BUECI","SD","21398584","0-15cm",0.018,0.018,0.018,0
"20",2022-12-01,"BUECI-SD","BUECI","SD","21398584","15-30cm",0,0,0,0
"21",2022-12-01,"BUECI-SD","BUECI","SD","21398584","30-45cm",0,0,0,0
"22",2022-12-01,"BUECI-SD","BUECI","SD","21398584","45-60cm",0,0,0,0
"23",2022-12-01,"BUECI-SD","BUECI","SD","21398584","60-75cm",0,0,0,0
"24",2022-12-01,"BUECI-SD","BUECI","SD","21398584","75-90cm",0,0,0,0
"25",2022-12-01,"BUECI-SE","BUECI","SE","21398579","0-15cm",0.009,0.008,0.0085,0.000999999999999999
"26",2022-12-01,"BUECI-SE","BUECI","SE","21398579","15-30cm",0,0,0,0
"27",2022-12-01,"BUECI-SE","BUECI","SE","21398579","30-45cm",0.013,0.013,0.013,0
"28",2022-12-01,"BUECI-SE","BUECI","SE","21398579","45-60cm",0.009,0.009,0.009,0
"29",2022-12-01,"BUECI-SE","BUECI","SE","21398579","60-75cm",0.06,0.06,0.06,0
"30",2022-12-01,"BUECI-SE","BUECI","SE","21398579","75-90cm",0.088,0.088,0.088,0
"31",2022-12-01,"BUECI-SF01","BUECI","SF01","21398578","0-15cm",0.206,0.204,0.205,0.002
"32",2022-12-01,"BUECI-SF01","BUECI","SF01","21398578","15-30cm",0.21,0.208,0.209,0.002
"33",2022-12-01,"BUECI-SF01","BUECI","SF01","21398578","30-45cm",0.194,0.192,0.193,0.002
"34",2022-12-01,"BUECI-SF01","BUECI","SF01","21398578","45-60cm",0.25,0.25,0.25,0
"35",2022-12-01,"BUECI-SF01","BUECI","SF01","21398578","60-75cm",0.26,0.258,0.259,0.002
"36",2022-12-01,"BUECI-SF01","BUECI","SF01","21398578","75-90cm",0.272,0.272,0.272,0
"37",2022-12-01,"BUECI-SF02","BUECI","SF02","21398598","0-15cm",0.109,0.109,0.109,0
"38",2022-12-01,"BUECI-SF02","BUECI","SF02","21398598","15-30cm",0.183,0.183,0.183,0
"39",2022-12-01,"BUECI-SF02","BUECI","SF02","21398598","30-45cm",0.195,0.194,0.1945,0.001
"40",2022-12-01,"BUECI-SF02","BUECI","SF02","21398598","45-60cm",0.297,0.297,0.297,0
"41",2022-12-01,"BUECI-SF02","BUECI","SF02","21398598","60-75cm",0.253,0.253,0.253,0
"42",2022-12-01,"BUECI-SF02","BUECI","SF02","21398598","75-90cm",0.312,0.312,0.312,0
"43",2022-12-01,"SSMH-SA","SSMH","SA","21398599","0-15cm",0.073,0.072,0.0725,0.001
"44",2022-12-01,"SSMH-SA","SSMH","SA","21398599","15-30cm",0.089,0.088,0.0885,0.001
"45",2022-12-01,"SSMH-SA","SSMH","SA","21398599","30-45cm",0.024,0.024,0.024,0
"46",2022-12-01,"SSMH-SA","SSMH","SA","21398599","45-60cm",0.05,0.05,0.05,0
"47",2022-12-01,"SSMH-SA","SSMH","SA","21398599","60-75cm",0.037,0.037,0.037,0
"48",2022-12-01,"SSMH-SA","SSMH","SA","21398599","75-90cm",0.051,0.051,0.051,0
"49",2022-12-01,"SSMH-SB","SSMH","SB","21393044","0-15cm",0.132,0.131,0.1315,0.001
"50",2022-12-01,"SSMH-SB","SSMH","SB","21393044","15-30cm",0.137,0.136,0.1365,0.001
"51",2022-12-01,"SSMH-SB","SSMH","SB","21393044","30-45cm",0.101,0.099,0.1,0.002
"52",2022-12-01,"SSMH-SB","SSMH","SB","21393044","45-60cm",0.135,0.133,0.134,0.002
"53",2022-12-01,"SSMH-SB","SSMH","SB","21393044","60-75cm",0.086,0.086,0.086,0
"54",2022-12-01,"SSMH-SB","SSMH","SB","21393044","75-90cm",0.065,0.065,0.065,0
"55",2022-12-01,"SSMH-SD","SSMH","SD","21393049","0-15cm",0.105,0.104,0.1045,0.001
"56",2022-12-01,"SSMH-SD","SSMH","SD","21393049","15-30cm",0.046,0.045,0.0455,0.001
"57",2022-12-01,"SSMH-SD","SSMH","SD","21393049","30-45cm",0.043,0.042,0.0425,0.000999999999999994
"58",2022-12-01,"SSMH-SD","SSMH","SD","21393049","45-60cm",0.08,0.08,0.08,0
"59",2022-12-01,"SSMH-SD","SSMH","SD","21393049","60-75cm",0.066,0.066,0.066,0
"60",2022-12-01,"SSMH-SD","SSMH","SD","21393049","75-90cm",0.012,0.011,0.0115,0.001
"61",2022-12-01,"TNHA-SC","TNHA","SC","21393047","0-15cm",0.027,0.026,0.0265,0.001
"62",2022-12-01,"TNHA-SC","TNHA","SC","21393047","15-30cm",0,0,0,0
"63",2022-12-01,"TNHA-SC","TNHA","SC","21393047","30-45cm",0.034,0.034,0.034,0
"64",2022-12-01,"TNHA-SC","TNHA","SC","21393047","45-60cm",0.106,0.106,0.106,0
"65",2022-12-01,"TNHA-SC","TNHA","SC","21393047","60-75cm",0.041,0.041,0.041,0
"66",2022-12-01,"TNHA-SC","TNHA","SC","21393047","75-90cm",0,0,0,0
"67",2022-12-02,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"68",2022-12-02,"BEO-BASE","BEO","BASE","21393048","15-30cm",0.024,0.018,0.021,0.006
"69",2022-12-02,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
"70",2022-12-02,"BEO-BASE","BEO","BASE","21393048","45-60cm",0.09,0.088,0.089,0.002
"71",2022-12-02,"BEO-BASE","BEO","BASE","21393048","60-75cm",0.041,0.04,0.0405,0.001
"72",2022-12-02,"BEO-BASE","BEO","BASE","21393048","75-90cm",0.032,0.03,0.031,0.002
"73",2022-12-02,"SSMH-SA","SSMH","SA","21398599","0-15cm",0.074,0.073,0.0735,0.001
"74",2022-12-02,"SSMH-SA","SSMH","SA","21398599","15-30cm",0.089,0.089,0.089,0
"75",2022-12-02,"SSMH-SA","SSMH","SA","21398599","30-45cm",0.025,0.024,0.0245,0.001
"76",2022-12-02,"SSMH-SA","SSMH","SA","21398599","45-60cm",0.051,0.05,0.0505,0.000999999999999994
"77",2022-12-02,"SSMH-SA","SSMH","SA","21398599","60-75cm",0.037,0.037,0.037,0
"78",2022-12-02,"SSMH-SA","SSMH","SA","21398599","75-90cm",0.051,0.051,0.051,0
"79",2022-12-02,"SSMH-SB","SSMH","SB","21393044","0-15cm",0.132,0.132,0.132,0
"80",2022-12-02,"SSMH-SB","SSMH","SB","21393044","15-30cm",0.136,0.136,0.136,0
"81",2022-12-02,"SSMH-SB","SSMH","SB","21393044","30-45cm",0.099,0.098,0.0985,0.001
"82",2022-12-02,"SSMH-SB","SSMH","SB","21393044","45-60cm",0.133,0.131,0.132,0.002
"83",2022-12-02,"SSMH-SB","SSMH","SB","21393044","60-75cm",0.086,0.085,0.0855,0.000999999999999987
"84",2022-12-02,"SSMH-SB","SSMH","SB","21393044","75-90cm",0.065,0.065,0.065,0
"85",2022-12-02,"SSMH-SD","SSMH","SD","21393049","0-15cm",0.106,0.105,0.1055,0.001
"86",2022-12-02,"SSMH-SD","SSMH","SD","21393049","15-30cm",0.047,0.046,0.0465,0.001
"87",2022-12-02,"SSMH-SD","SSMH","SD","21393049","30-45cm",0.044,0.043,0.0435,0.001
"88",2022-12-02,"SSMH-SD","SSMH","SD","21393049","45-60cm",0.08,0.08,0.08,0
"89",2022-12-02,"SSMH-SD","SSMH","SD","21393049","60-75cm",0.068,0.066,0.067,0.002
"90",2022-12-02,"SSMH-SD","SSMH","SD","21393049","75-90cm",0.011,0.011,0.011,0
"91",2022-12-02,"TNHA-SC","TNHA","SC","21393047","0-15cm",0.029,0.027,0.028,0.002
"92",2022-12-02,"TNHA-SC","TNHA","SC","21393047","15-30cm",0,0,0,0
"93",2022-12-02,"TNHA-SC","TNHA","SC","21393047","30-45cm",0.035,0.034,0.0345,0.001
"94",2022-12-02,"TNHA-SC","TNHA","SC","21393047","45-60cm",0.106,0.106,0.106,0
"95",2022-12-02,"TNHA-SC","TNHA","SC","21393047","60-75cm",0.041,0.041,0.041,0
"96",2022-12-02,"TNHA-SC","TNHA","SC","21393047","75-90cm",0,0,0,0
"97",2022-12-03,"BEO-BASE","BEO","BASE","21393048","0-15cm",0,0,0,0
"98",2022-12-03,"BEO-BASE","BEO","BASE","21393048","15-30cm",0.027,0.021,0.024,0.006
"99",2022-12-03,"BEO-BASE","BEO","BASE","21393048","30-45cm",0,0,0,0
"100",2022-12-03,"BEO-BASE","BEO","BASE","21393048","45-60cm",0.091,0.09,0.0905,0.001
"101",2022-12-03,"BEO-BASE","BEO","BASE","21393048","60-75cm",0.043,0.041,0.042,0.00199999999999999
"102",2022-12-03,"BEO-BASE","BEO","BASE","21393048","75-90cm",0.032,0.032,0.032,0
"103",2022-12-03,"SSMH-SA","SSMH","SA","21398599","0-15cm",0.075,0.074,0.0745,0.001
"104",2022-12-03,"SSMH-SA","SSMH","SA","21398599","15-30cm",0.09,0.089,0.0895,0.001
"105",2022-12-03,"SSMH-SA","SSMH","SA","21398599","30-45cm",0.025,0.025,0.025,0
"106",2022-12-03,"SSMH-SA","SSMH","SA","21398599","45-60cm",0.051,0.05,0.0505,0.000999999999999994
"107",2022-12-03,"SSMH-SA","SSMH","SA","21398599","60-75cm",0.037,0.037,0.037,0
"108",2022-12-03,"SSMH-SA","SSMH","SA","21398599","75-90cm",0.051,0.051,0.051,0
"109",2022-12-03,"SSMH-SB","SSMH","SB","21393044","0-15cm",0.132,0.132,0.132,0
"110",2022-12-03,"SSMH-SB","SSMH","SB","21393044","15-30cm",0.136,0.136,0.136,0
"111",2022-12-03,"SSMH-SB","SSMH","SB","21393044","30-45cm",0.098,0.098,0.098,0
"112",2022-12-03,"SSMH-SB","SSMH","SB","21393044","45-60cm",0.131,0.131,0.131,0
"113",2022-12-03,"SSMH-SB","SSMH","SB","21393044","60-75cm",0.085,0.085,0.085,0
"114",2022-12-03,"SSMH-SB","SSMH","SB","21393044","75-90cm",0.065,0.064,0.0645,0.001
"115",2022-12-03,"SSMH-SD","SSMH","SD","21393049","0-15cm",0.107,0.106,0.1065,0.001
"116",2022-12-03,"SSMH-SD","SSMH","SD","21393049","15-30cm",0.048,0.047,0.0475,0.001
"117",2022-12-03,"SSMH-SD","SSMH","SD","21393049","30-45cm",0.045,0.044,0.0445,0.001
"118",2022-12-03,"SSMH-SD","SSMH","SD","21393049","45-60cm",0.081,0.08,0.0805,0.001
"119",2022-12-03,"SSMH-SD","SSMH","SD","21393049","60-75cm",0.069,0.068,0.0685,0.001
"120",2022-12-03,"SSMH-SD","SSMH","SD","21393049","75-90cm",0.011,0.011,0.011,0
"121",2022-12-03,"TNHA-SC","TNHA","SC","21393047","0-15cm",0.03,0.029,0.0295,0.000999999999999997
"122",2022-12-03,"TNHA-SC","TNHA","SC","21393047","15-30cm",0,0,0,0
"123",2022-12-03,"TNHA-SC","TNHA","SC","21393047","30-45cm",0.036,0.035,0.0355,0.000999999999999994
"124",2022-12-03,"TNHA-SC","TNHA","SC","21393047","45-60cm",0.108,0.106,0.107,0.002
"125",2022-12-03,"TNHA-SC","TNHA","SC","21393047","60-75cm",0.041,0.041,0.041,0
"126",2022-12-03,"TNHA-SC","TNHA","SC","21393047","75-90cm",0,0,0,0
