"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2022-09-01,"BEO-BASE","BEO","BASE","21350855",154,132,143,22
"2",2022-09-01,"SSMH-BASE","SSMH","BASE","21350820",292,253,272.5,39
"3",2022-09-01,"SSMH-SA","SSMH","SA","21206911",312,299,305.5,13
"4",2022-09-01,"SSMH-SB","SSMH","SB","21206912",338,77,207.5,261
"5",2022-09-01,"TNHA-BASE","TNHA","BASE","21167037",226,209,217.5,17
"6",2022-09-01,"TNHA-SA","TNHA","SA","21398709",153,125,139,28
"7",2022-09-01,"TNHA-SB","TNHA","SB","21398715",313,277,295,36
"8",2022-09-01,"TNHA-SC","TNHA","SC","21206909",126,114,120,12
"9",2022-09-01,"TNHA-SD","TNHA","SD","21398712",316,263,289.5,53
"10",2022-09-02,"BEO-BASE","BEO","BASE","21350855",133,66,99.5,67
"11",2022-09-02,"SSMH-BASE","SSMH","BASE","21350820",284,3,143.5,281
"12",2022-09-02,"SSMH-SA","SSMH","SA","21206911",358,1,179.5,357
"13",2022-09-02,"SSMH-SB","SSMH","SB","21206912",212,129,170.5,83
"14",2022-09-02,"TNHA-BASE","TNHA","BASE","21167037",358,0,179,358
"15",2022-09-02,"TNHA-SA","TNHA","SA","21398709",145,48,96.5,97
"16",2022-09-02,"TNHA-SB","TNHA","SB","21398715",292,268,280,24
"17",2022-09-02,"TNHA-SC","TNHA","SC","21206909",125,100,112.5,25
"18",2022-09-02,"TNHA-SD","TNHA","SD","21398712",270,219,244.5,51
"19",2022-09-03,"BEO-BASE","BEO","BASE","21350855",206,70,138,136
"20",2022-09-03,"SSMH-BASE","SSMH","BASE","21350820",344,15,179.5,329
"21",2022-09-03,"SSMH-SA","SSMH","SA","21206911",357,310,333.5,47
"22",2022-09-03,"SSMH-SB","SSMH","SB","21206912",161,91,126,70
"23",2022-09-03,"TNHA-BASE","TNHA","BASE","21167037",344,212,278,132
"24",2022-09-03,"TNHA-SA","TNHA","SA","21398709",129,86,107.5,43
"25",2022-09-03,"TNHA-SB","TNHA","SB","21398715",293,274,283.5,19
"26",2022-09-03,"TNHA-SC","TNHA","SC","21206909",330,13,171.5,317
"27",2022-09-03,"TNHA-SD","TNHA","SD","21398712",357,3,180,354
"28",2022-09-04,"BEO-BASE","BEO","BASE","21350855",358,0,179,358
"29",2022-09-04,"SSMH-BASE","SSMH","BASE","21350820",350,1,175.5,349
"30",2022-09-04,"SSMH-SA","SSMH","SA","21206911",350,6,178,344
"31",2022-09-04,"SSMH-SB","SSMH","SB","21206912",350,8,179,342
"32",2022-09-04,"TNHA-BASE","TNHA","BASE","21167037",347,4,175.5,343
"33",2022-09-04,"TNHA-SA","TNHA","SA","21398709",354,111,232.5,243
"34",2022-09-04,"TNHA-SB","TNHA","SB","21398715",323,253,288,70
"35",2022-09-04,"TNHA-SC","TNHA","SC","21206909",317,112,214.5,205
"36",2022-09-04,"TNHA-SD","TNHA","SD","21398712",358,3,180.5,355
"37",2022-09-05,"BEO-BASE","BEO","BASE","21350855",355,0,177.5,355
"38",2022-09-05,"SSMH-BASE","SSMH","BASE","21350820",352,6,179,346
"39",2022-09-05,"SSMH-SA","SSMH","SA","21206911",350,10,180,340
"40",2022-09-05,"SSMH-SB","SSMH","SB","21206912",358,3,180.5,355
"41",2022-09-05,"TNHA-BASE","TNHA","BASE","21167037",358,8,183,350
"42",2022-09-05,"TNHA-SA","TNHA","SA","21398709",333,101,217,232
"43",2022-09-05,"TNHA-SB","TNHA","SB","21398715",267,223,245,44
"44",2022-09-05,"TNHA-SC","TNHA","SC","21206909",331,59,195,272
"45",2022-09-05,"TNHA-SD","TNHA","SD","21398712",358,6,182,352
"46",2022-09-06,"BEO-BASE","BEO","BASE","21350855",213,170,191.5,43
"47",2022-09-06,"SSMH-BASE","SSMH","BASE","21350820",357,3,180,354
"48",2022-09-06,"SSMH-SA","SSMH","SA","21206911",319,306,312.5,13
"49",2022-09-06,"SSMH-SB","SSMH","SB","21206912",131,105,118,26
"50",2022-09-06,"TNHA-BASE","TNHA","BASE","21167037",313,223,268,90
"51",2022-09-06,"TNHA-SA","TNHA","SA","21398709",129,107,118,22
"52",2022-09-06,"TNHA-SB","TNHA","SB","21398715",270,241,255.5,29
"53",2022-09-06,"TNHA-SC","TNHA","SC","21206909",312,132,222,180
"54",2022-09-06,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"55",2022-09-07,"BEO-BASE","BEO","BASE","21350855",225,133,179,92
"56",2022-09-07,"SSMH-BASE","SSMH","BASE","21350820",305,7,156,298
"57",2022-09-07,"SSMH-SA","SSMH","SA","21206911",331,298,314.5,33
"58",2022-09-07,"SSMH-SB","SSMH","SB","21206912",194,88,141,106
"59",2022-09-07,"TNHA-BASE","TNHA","BASE","21167037",312,208,260,104
"60",2022-09-07,"TNHA-SA","TNHA","SA","21398709",132,98,115,34
"61",2022-09-07,"TNHA-SB","TNHA","SB","21398715",272,0,136,272
"62",2022-09-07,"TNHA-SC","TNHA","SC","21206909",358,104,231,254
"63",2022-09-07,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"64",2022-09-08,"BEO-BASE","BEO","BASE","21350855",184,145,164.5,39
"65",2022-09-08,"SSMH-BASE","SSMH","BASE","21350820",358,3,180.5,355
"66",2022-09-08,"SSMH-SA","SSMH","SA","21206911",316,305,310.5,11
"67",2022-09-08,"SSMH-SB","SSMH","SB","21206912",191,100,145.5,91
"68",2022-09-08,"TNHA-BASE","TNHA","BASE","21167037",234,209,221.5,25
"69",2022-09-08,"TNHA-SA","TNHA","SA","21398709",140,87,113.5,53
"70",2022-09-08,"TNHA-SB","TNHA","SB","21398715",272,28,150,244
"71",2022-09-08,"TNHA-SC","TNHA","SC","21206909",320,25,172.5,295
"72",2022-09-08,"TNHA-SD","TNHA","SD","21398712",358,3,180.5,355
"73",2022-09-09,"BEO-BASE","BEO","BASE","21350855",154,124,139,30
"74",2022-09-09,"SSMH-BASE","SSMH","BASE","21350820",292,195,243.5,97
"75",2022-09-09,"SSMH-SA","SSMH","SA","21206911",310,289,299.5,21
"76",2022-09-09,"SSMH-SB","SSMH","SB","21206912",258,175,216.5,83
"77",2022-09-09,"TNHA-BASE","TNHA","BASE","21167037",354,0,177,354
"78",2022-09-09,"TNHA-SA","TNHA","SA","21398709",136,118,127,18
"79",2022-09-09,"TNHA-SB","TNHA","SB","21398715",247,28,137.5,219
"80",2022-09-09,"TNHA-SC","TNHA","SC","21206909",125,118,121.5,7
"81",2022-09-09,"TNHA-SD","TNHA","SD","21398712",305,254,279.5,51
"82",2022-09-10,"BEO-BASE","BEO","BASE","21350855",150,129,139.5,21
"83",2022-09-10,"SSMH-BASE","SSMH","BASE","21350820",289,230,259.5,59
"84",2022-09-10,"SSMH-SA","SSMH","SA","21206911",312,298,305,14
"85",2022-09-10,"SSMH-SB","SSMH","SB","21206912",354,87,220.5,267
"86",2022-09-10,"TNHA-BASE","TNHA","BASE","21167037",329,208,268.5,121
"87",2022-09-10,"TNHA-SA","TNHA","SA","21398709",143,119,131,24
"88",2022-09-10,"TNHA-SB","TNHA","SB","21398715",236,149,192.5,87
"89",2022-09-10,"TNHA-SC","TNHA","SC","21206909",125,115,120,10
"90",2022-09-10,"TNHA-SD","TNHA","SD","21398712",314,257,285.5,57
"91",2022-09-11,"BEO-BASE","BEO","BASE","21350855",175,145,160,30
"92",2022-09-11,"SSMH-BASE","SSMH","BASE","21350820",284,267,275.5,17
"93",2022-09-11,"SSMH-SA","SSMH","SA","21206911",314,309,311.5,5
"94",2022-09-11,"SSMH-SB","SSMH","SB","21206912",243,60,151.5,183
"95",2022-09-11,"TNHA-BASE","TNHA","BASE","21167037",230,213,221.5,17
"96",2022-09-11,"TNHA-SA","TNHA","SA","21398709",145,118,131.5,27
"97",2022-09-11,"TNHA-SB","TNHA","SB","21398715",300,216,258,84
"98",2022-09-11,"TNHA-SC","TNHA","SC","21206909",292,104,198,188
"99",2022-09-11,"TNHA-SD","TNHA","SD","21398712",352,296,324,56
"100",2022-09-12,"BEO-BASE","BEO","BASE","21350855",157,135,146,22
"101",2022-09-12,"SSMH-BASE","SSMH","BASE","21350820",288,271,279.5,17
"102",2022-09-12,"SSMH-SA","SSMH","SA","21206911",313,305,309,8
"103",2022-09-12,"SSMH-SB","SSMH","SB","21206912",321,46,183.5,275
"104",2022-09-12,"TNHA-BASE","TNHA","BASE","21167037",218,209,213.5,9
"105",2022-09-12,"TNHA-SA","TNHA","SA","21398709",146,126,136,20
"106",2022-09-12,"TNHA-SB","TNHA","SB","21398715",319,225,272,94
"107",2022-09-12,"TNHA-SC","TNHA","SC","21206909",124,115,119.5,9
"108",2022-09-12,"TNHA-SD","TNHA","SD","21398712",314,288,301,26
"109",2022-09-13,"BEO-BASE","BEO","BASE","21350855",157,147,152,10
"110",2022-09-13,"SSMH-BASE","SSMH","BASE","21350820",282,271,276.5,11
"111",2022-09-13,"SSMH-SA","SSMH","SA","21206911",316,305,310.5,11
"112",2022-09-13,"SSMH-SB","SSMH","SB","21206912",358,1,179.5,357
"113",2022-09-13,"TNHA-BASE","TNHA","BASE","21167037",219,212,215.5,7
"114",2022-09-13,"TNHA-SA","TNHA","SA","21398709",173,129,151,44
"115",2022-09-13,"TNHA-SB","TNHA","SB","21398715",344,227,285.5,117
"116",2022-09-13,"TNHA-SC","TNHA","SC","21206909",122,112,117,10
"117",2022-09-13,"TNHA-SD","TNHA","SD","21398712",321,298,309.5,23
"118",2022-09-14,"BEO-BASE","BEO","BASE","21350855",153,143,148,10
"119",2022-09-14,"SSMH-BASE","SSMH","BASE","21350820",289,274,281.5,15
"120",2022-09-14,"SSMH-SA","SSMH","SA","21206911",314,306,310,8
"121",2022-09-14,"SSMH-SB","SSMH","SB","21206912",357,11,184,346
"122",2022-09-14,"TNHA-BASE","TNHA","BASE","21167037",216,212,214,4
"123",2022-09-14,"TNHA-SA","TNHA","SA","21398709",150,124,137,26
"124",2022-09-14,"TNHA-SB","TNHA","SB","21398715",334,199,266.5,135
"125",2022-09-14,"TNHA-SC","TNHA","SC","21206909",124,114,119,10
"126",2022-09-14,"TNHA-SD","TNHA","SD","21398712",310,292,301,18
"127",2022-09-15,"BEO-BASE","BEO","BASE","21350855",177,147,162,30
"128",2022-09-15,"SSMH-BASE","SSMH","BASE","21350820",299,260,279.5,39
"129",2022-09-15,"SSMH-SA","SSMH","SA","21206911",313,302,307.5,11
"130",2022-09-15,"SSMH-SB","SSMH","SB","21206912",358,22,190,336
"131",2022-09-15,"TNHA-BASE","TNHA","BASE","21167037",227,213,220,14
"132",2022-09-15,"TNHA-SA","TNHA","SA","21398709",153,131,142,22
"133",2022-09-15,"TNHA-SB","TNHA","SB","21398715",345,291,318,54
"134",2022-09-15,"TNHA-SC","TNHA","SC","21206909",299,111,205,188
"135",2022-09-15,"TNHA-SD","TNHA","SD","21398712",352,299,325.5,53
"136",2022-09-16,"BEO-BASE","BEO","BASE","21350855",180,166,173,14
"137",2022-09-16,"SSMH-BASE","SSMH","BASE","21350820",288,260,274,28
"138",2022-09-16,"SSMH-SA","SSMH","SA","21206911",312,303,307.5,9
"139",2022-09-16,"SSMH-SB","SSMH","SB","21206912",118,83,100.5,35
"140",2022-09-16,"TNHA-BASE","TNHA","BASE","21167037",230,223,226.5,7
"141",2022-09-16,"TNHA-SA","TNHA","SA","21398709",174,121,147.5,53
