"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2023-03-05,"BEO-BASE","BEO","BASE","21350855",194,167,180.5,27
"2",2023-03-05,"SSMH-SB","SSMH","SB","21206912",102,95,98.5,7
"3",2023-03-05,"TNHA-BASE","TNHA","BASE","21167037",232,218,225,14
"4",2023-03-05,"TNHA-SA","TNHA","SA","21398709",143,114,128.5,29
"5",2023-03-05,"TNHA-SB","TNHA","SB","21181033",358,358,358,0
"6",2023-03-05,"TNHA-SC","TNHA","SC","21206909",285,275,280,10
"7",2023-03-05,"TNHA-SD","TNHA","SD","21398712",357,354,355.5,3
"8",2023-03-06,"BEO-BASE","BEO","BASE","21350855",198,190,194,8
"9",2023-03-06,"SSMH-SB","SSMH","SB","21206912",112,95,103.5,17
"10",2023-03-06,"TNHA-BASE","TNHA","BASE","21167037",300,234,267,66
"11",2023-03-06,"TNHA-SA","TNHA","SA","21398709",104,101,102.5,3
"12",2023-03-06,"TNHA-SB","TNHA","SB","21181033",358,211,284.5,147
"13",2023-03-06,"TNHA-SC","TNHA","SC","21206909",288,281,284.5,7
"14",2023-03-06,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"15",2023-03-07,"BEO-BASE","BEO","BASE","21350855",236,201,218.5,35
"16",2023-03-07,"SSMH-SB","SSMH","SB","21206912",112,58,85,54
"17",2023-03-07,"TNHA-BASE","TNHA","BASE","21167037",314,257,285.5,57
"18",2023-03-07,"TNHA-SA","TNHA","SA","21398709",114,102,108,12
"19",2023-03-07,"TNHA-SB","TNHA","SB","21181033",225,212,218.5,13
"20",2023-03-07,"TNHA-SC","TNHA","SC","21206909",292,110,201,182
"21",2023-03-07,"TNHA-SD","TNHA","SD","21398712",45,6,25.5,39
"22",2023-03-08,"BEO-BASE","BEO","BASE","21350855",329,234,281.5,95
"23",2023-03-08,"SSMH-SB","SSMH","SB","21206912",327,60,193.5,267
"24",2023-03-08,"TNHA-BASE","TNHA","BASE","21167037",321,254,287.5,67
"25",2023-03-08,"TNHA-SA","TNHA","SA","21398709",288,104,196,184
"26",2023-03-08,"TNHA-SB","TNHA","SB","21181033",271,194,232.5,77
"27",2023-03-08,"TNHA-SC","TNHA","SC","21206909",300,110,205,190
"28",2023-03-08,"TNHA-SD","TNHA","SD","21398712",84,8,46,76
"29",2023-03-09,"BEO-BASE","BEO","BASE","21350855",358,1,179.5,357
"30",2023-03-09,"SSMH-SB","SSMH","SB","21206912",27,14,20.5,13
"31",2023-03-09,"TNHA-BASE","TNHA","BASE","21167037",344,317,330.5,27
"32",2023-03-09,"TNHA-SA","TNHA","SA","21398709",313,307,310,6
"33",2023-03-09,"TNHA-SB","TNHA","SB","21181033",358,312,335,46
"34",2023-03-09,"TNHA-SC","TNHA","SC","21206909",296,295,295.5,1
"35",2023-03-09,"TNHA-SD","TNHA","SD","21398712",79,73,76,6
"36",2023-03-10,"BEO-BASE","BEO","BASE","21350855",281,212,246.5,69
"37",2023-03-10,"SSMH-SB","SSMH","SB","21206912",58,28,43,30
"38",2023-03-10,"TNHA-BASE","TNHA","BASE","21167037",336,295,315.5,41
"39",2023-03-10,"TNHA-SA","TNHA","SA","21398709",312,104,208,208
"40",2023-03-10,"TNHA-SB","TNHA","SB","21181033",358,350,354,8
"41",2023-03-10,"TNHA-SC","TNHA","SC","21206909",344,107,225.5,237
"42",2023-03-10,"TNHA-SD","TNHA","SD","21398712",73,35,54,38
"43",2023-03-11,"BEO-BASE","BEO","BASE","21350855",355,3,179,352
"44",2023-03-11,"SSMH-SB","SSMH","SB","21206912",46,14,30,32
"45",2023-03-11,"TNHA-BASE","TNHA","BASE","21167037",340,77,208.5,263
"46",2023-03-11,"TNHA-SA","TNHA","SA","21398709",309,118,213.5,191
"47",2023-03-11,"TNHA-SB","TNHA","SB","21181033",358,327,342.5,31
"48",2023-03-11,"TNHA-SC","TNHA","SC","21206909",309,108,208.5,201
"49",2023-03-11,"TNHA-SD","TNHA","SD","21398712",77,59,68,18
"50",2023-03-12,"BEO-BASE","BEO","BASE","21350855",341,329,335,12
"51",2023-03-12,"SSMH-SB","SSMH","SB","21206912",28,8,18,20
