"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2023-06-01,"BEO-BASE","BEO","BASE","21350855",351,288,319.5,63
"2",2023-06-01,"SSMH-SA","SSMH","SA","21206911",95,60,77.5,35
"3",2023-06-01,"SSMH-SB","SSMH","SB","21206912",358,1,179.5,357
"4",2023-06-01,"TNHA-BASE","TNHA","BASE","21167037",341,0,170.5,341
"5",2023-06-01,"TNHA-SA","TNHA","SA","21398709",323,35,179,288
"6",2023-06-01,"TNHA-SB","TNHA","SB","21181033",175,157,166,18
"7",2023-06-01,"TNHA-SC","TNHA","SC","21206909",330,42,186,288
"8",2023-06-01,"TNHA-SD","TNHA","SD","21398712",352,1,176.5,351
"9",2023-06-02,"BEO-BASE","BEO","BASE","21350855",293,110,201.5,183
"10",2023-06-02,"SSMH-SA","SSMH","SA","21206911",354,299,326.5,55
"11",2023-06-02,"SSMH-SB","SSMH","SB","21206912",358,11,184.5,347
"12",2023-06-02,"TNHA-BASE","TNHA","BASE","21167037",326,25,175.5,301
"13",2023-06-02,"TNHA-SA","TNHA","SA","21398709",129,104,116.5,25
"14",2023-06-02,"TNHA-SB","TNHA","SB","21181033",159,154,156.5,5
"15",2023-06-02,"TNHA-SC","TNHA","SC","21206909",286,70,178,216
"16",2023-06-02,"TNHA-SD","TNHA","SD","21398712",354,32,193,322
"17",2023-06-03,"BEO-BASE","BEO","BASE","21350855",313,159,236,154
"18",2023-06-03,"SSMH-SA","SSMH","SA","21206911",309,7,158,302
"19",2023-06-03,"SSMH-SB","SSMH","SB","21206912",358,6,182,352
"20",2023-06-03,"TNHA-BASE","TNHA","BASE","21167037",348,41,194.5,307
"21",2023-06-03,"TNHA-SA","TNHA","SA","21398709",320,107,213.5,213
"22",2023-06-03,"TNHA-SB","TNHA","SB","21181033",163,153,158,10
"23",2023-06-03,"TNHA-SC","TNHA","SC","21206909",338,58,198,280
"24",2023-06-03,"TNHA-SD","TNHA","SD","21398712",358,8,183,350
"25",2023-06-04,"BEO-BASE","BEO","BASE","21350855",330,173,251.5,157
"26",2023-06-04,"SSMH-SA","SSMH","SA","21206911",351,20,185.5,331
"27",2023-06-04,"SSMH-SB","SSMH","SB","21206912",358,1,179.5,357
"28",2023-06-04,"TNHA-BASE","TNHA","BASE","21167037",358,44,201,314
"29",2023-06-04,"TNHA-SA","TNHA","SA","21398709",317,112,214.5,205
"30",2023-06-04,"TNHA-SB","TNHA","SB","21181033",171,150,160.5,21
"31",2023-06-04,"TNHA-SC","TNHA","SC","21206909",357,17,187,340
"32",2023-06-04,"TNHA-SD","TNHA","SD","21398712",350,6,178,344
"33",2023-06-05,"BEO-BASE","BEO","BASE","21350855",331,17,174,314
"34",2023-06-05,"SSMH-SA","SSMH","SA","21206911",108,79,93.5,29
"35",2023-06-05,"SSMH-SB","SSMH","SB","21206912",358,1,179.5,357
"36",2023-06-05,"TNHA-BASE","TNHA","BASE","21167037",340,20,180,320
"37",2023-06-05,"TNHA-SA","TNHA","SA","21398709",316,107,211.5,209
"38",2023-06-05,"TNHA-SB","TNHA","SB","21181033",160,142,151,18
"39",2023-06-05,"TNHA-SC","TNHA","SC","21206909",306,4,155,302
"40",2023-06-05,"TNHA-SD","TNHA","SD","21398712",355,15,185,340
"41",2023-06-06,"BEO-BASE","BEO","BASE","21350855",327,88,207.5,239
"42",2023-06-06,"SSMH-SA","SSMH","SA","21206911",329,321,325,8
"43",2023-06-06,"SSMH-SB","SSMH","SB","21206912",358,1,179.5,357
"44",2023-06-06,"TNHA-BASE","TNHA","BASE","21167037",298,48,173,250
"45",2023-06-06,"TNHA-SA","TNHA","SA","21398709",340,69,204.5,271
"46",2023-06-06,"TNHA-SB","TNHA","SB","21181033",154,152,153,2
"47",2023-06-06,"TNHA-SC","TNHA","SC","21206909",357,84,220.5,273
"48",2023-06-06,"TNHA-SD","TNHA","SD","21398712",354,90,222,264
"49",2023-06-07,"BEO-BASE","BEO","BASE","21350855",168,135,151.5,33
"50",2023-06-07,"SSMH-SA","SSMH","SA","21206911",321,299,310,22
"51",2023-06-07,"SSMH-SB","SSMH","SB","21206912",270,86,178,184
