"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2022-12-01,"BEO-BASE","BEO","BASE","21350855",331,38,184.5,293
"2",2022-12-01,"SSMH-BASE","SSMH","BASE","21350820",350,22,186,328
"3",2022-12-01,"SSMH-SA","SSMH","SA","21206911",358,60,209,298
"4",2022-12-01,"SSMH-SB","SSMH","SB","21206912",348,3,175.5,345
"5",2022-12-01,"TNHA-BASE","TNHA","BASE","21167037",352,1,176.5,351
"6",2022-12-01,"TNHA-SA","TNHA","SA","21398709",355,20,187.5,335
"7",2022-12-01,"TNHA-SB","TNHA","SB","21181033",298,8,153,290
"8",2022-12-01,"TNHA-SC","TNHA","SC","21206909",354,18,186,336
"9",2022-12-01,"TNHA-SD","TNHA","SD","21398712",357,4,180.5,353
"10",2022-12-02,"BEO-BASE","BEO","BASE","21350855",331,236,283.5,95
"11",2022-12-02,"SSMH-BASE","SSMH","BASE","21350820",321,150,235.5,171
"12",2022-12-02,"SSMH-SA","SSMH","SA","21206911",358,6,182,352
"13",2022-12-02,"SSMH-SB","SSMH","SB","21206912",347,29,188,318
"14",2022-12-02,"TNHA-BASE","TNHA","BASE","21167037",330,188,259,142
"15",2022-12-02,"TNHA-SA","TNHA","SA","21398709",312,110,211,202
"16",2022-12-02,"TNHA-SB","TNHA","SB","21181033",288,222,255,66
"17",2022-12-02,"TNHA-SC","TNHA","SC","21206909",337,10,173.5,327
"18",2022-12-02,"TNHA-SD","TNHA","SD","21398712",241,15,128,226
"19",2022-12-03,"BEO-BASE","BEO","BASE","21350855",331,331,331,0
"20",2022-12-03,"SSMH-BASE","SSMH","BASE","21350820",330,28,179,302
"21",2022-12-03,"SSMH-SA","SSMH","SA","21206911",354,55,204.5,299
"22",2022-12-03,"SSMH-SB","SSMH","SB","21206912",355,6,180.5,349
"23",2022-12-03,"TNHA-BASE","TNHA","BASE","21167037",352,8,180,344
"24",2022-12-03,"TNHA-SA","TNHA","SA","21398709",327,56,191.5,271
"25",2022-12-03,"TNHA-SB","TNHA","SB","21181033",357,3,180,354
"26",2022-12-03,"TNHA-SC","TNHA","SC","21206909",355,6,180.5,349
"27",2022-12-03,"TNHA-SD","TNHA","SD","21398712",250,18,134,232
"28",2022-12-04,"BEO-BASE","BEO","BASE","21350855",331,331,331,0
"29",2022-12-04,"SSMH-BASE","SSMH","BASE","21350820",77,42,59.5,35
"30",2022-12-04,"SSMH-SA","SSMH","SA","21206911",307,296,301.5,11
"31",2022-12-04,"SSMH-SB","SSMH","SB","21206912",136,13,74.5,123
"32",2022-12-04,"TNHA-BASE","TNHA","BASE","21167037",312,226,269,86
"33",2022-12-04,"TNHA-SA","TNHA","SA","21398709",119,107,113,12
"34",2022-12-04,"TNHA-SB","TNHA","SB","21181033",220,198,209,22
"35",2022-12-04,"TNHA-SC","TNHA","SC","21206909",305,74,189.5,231
"36",2022-12-04,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"37",2022-12-05,"BEO-BASE","BEO","BASE","21350855",331,246,288.5,85
"38",2022-12-05,"SSMH-BASE","SSMH","BASE","21350820",351,39,195,312
"39",2022-12-05,"SSMH-SA","SSMH","SA","21206911",347,14,180.5,333
"40",2022-12-05,"SSMH-SB","SSMH","SB","21206912",333,18,175.5,315
"41",2022-12-05,"TNHA-BASE","TNHA","BASE","21167037",326,230,278,96
"42",2022-12-05,"TNHA-SA","TNHA","SA","21398709",296,104,200,192
"43",2022-12-05,"TNHA-SB","TNHA","SB","21181033",263,208,235.5,55
"44",2022-12-05,"TNHA-SC","TNHA","SC","21206909",291,105,198,186
"45",2022-12-05,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"46",2022-12-06,"BEO-BASE","BEO","BASE","21350855",289,152,220.5,137
"47",2022-12-06,"SSMH-BASE","SSMH","BASE","21350820",341,46,193.5,295
"48",2022-12-06,"SSMH-SA","SSMH","SA","21206911",355,6,180.5,349
"49",2022-12-06,"SSMH-SB","SSMH","SB","21206912",358,49,203.5,309
"50",2022-12-06,"TNHA-BASE","TNHA","BASE","21167037",331,216,273.5,115
"51",2022-12-06,"TNHA-SA","TNHA","SA","21398709",298,102,200,196
"52",2022-12-06,"TNHA-SB","TNHA","SB","21181033",265,65,165,200
"53",2022-12-06,"TNHA-SC","TNHA","SC","21206909",291,97,194,194
"54",2022-12-06,"TNHA-SD","TNHA","SD","21398712",358,7,182.5,351
"55",2022-12-07,"BEO-BASE","BEO","BASE","21350855",191,156,173.5,35
"56",2022-12-07,"SSMH-BASE","SSMH","BASE","21350820",340,41,190.5,299
"57",2022-12-07,"SSMH-SA","SSMH","SA","21206911",307,295,301,12
"58",2022-12-07,"SSMH-SB","SSMH","SB","21206912",117,79,98,38
"59",2022-12-07,"TNHA-BASE","TNHA","BASE","21167037",234,219,226.5,15
"60",2022-12-07,"TNHA-SA","TNHA","SA","21398709",136,102,119,34
"61",2022-12-07,"TNHA-SB","TNHA","SB","21181033",211,66,138.5,145
"62",2022-12-07,"TNHA-SC","TNHA","SC","21206909",295,104,199.5,191
"63",2022-12-07,"TNHA-SD","TNHA","SD","21398712",358,3,180.5,355
"64",2022-12-08,"BEO-BASE","BEO","BASE","21350855",173,105,139,68
"65",2022-12-08,"SSMH-BASE","SSMH","BASE","21350820",326,161,243.5,165
"66",2022-12-08,"SSMH-SA","SSMH","SA","21206911",329,49,189,280
"67",2022-12-08,"SSMH-SB","SSMH","SB","21206912",250,73,161.5,177
"68",2022-12-08,"TNHA-BASE","TNHA","BASE","21167037",233,13,123,220
"69",2022-12-08,"TNHA-SA","TNHA","SA","21398709",184,104,144,80
"70",2022-12-08,"TNHA-SB","TNHA","SB","21181033",265,69,167,196
"71",2022-12-08,"TNHA-SC","TNHA","SC","21206909",111,94,102.5,17
"72",2022-12-08,"TNHA-SD","TNHA","SD","21398712",343,3,173,340
"73",2022-12-09,"BEO-BASE","BEO","BASE","21350855",355,135,245,220
"74",2022-12-09,"SSMH-BASE","SSMH","BASE","21350820",358,8,183,350
"75",2022-12-09,"SSMH-SA","SSMH","SA","21206911",358,42,200,316
"76",2022-12-09,"SSMH-SB","SSMH","SB","21206912",355,14,184.5,341
"77",2022-12-09,"TNHA-BASE","TNHA","BASE","21167037",358,3,180.5,355
"78",2022-12-09,"TNHA-SA","TNHA","SA","21398709",323,110,216.5,213
"79",2022-12-09,"TNHA-SB","TNHA","SB","21181033",350,4,177,346
"80",2022-12-09,"TNHA-SC","TNHA","SC","21206909",334,21,177.5,313
"81",2022-12-09,"TNHA-SD","TNHA","SD","21398712",354,8,181,346
"82",2022-12-10,"BEO-BASE","BEO","BASE","21350855",314,191,252.5,123
"83",2022-12-10,"SSMH-BASE","SSMH","BASE","21350820",338,8,173,330
"84",2022-12-10,"SSMH-SA","SSMH","SA","21206911",352,21,186.5,331
"85",2022-12-10,"SSMH-SB","SSMH","SB","21206912",343,14,178.5,329
"86",2022-12-10,"TNHA-BASE","TNHA","BASE","21167037",340,102,221,238
"87",2022-12-10,"TNHA-SA","TNHA","SA","21398709",310,111,210.5,199
"88",2022-12-10,"TNHA-SB","TNHA","SB","21181033",281,216,248.5,65
"89",2022-12-10,"TNHA-SC","TNHA","SC","21206909",341,48,194.5,293
"90",2022-12-10,"TNHA-SD","TNHA","SD","21398712",314,17,165.5,297
"91",2022-12-11,"BEO-BASE","BEO","BASE","21350855",190,170,180,20
"92",2022-12-11,"SSMH-BASE","SSMH","BASE","21350820",314,20,167,294
"93",2022-12-11,"SSMH-SA","SSMH","SA","21206911",299,299,299,0
"94",2022-12-11,"SSMH-SB","SSMH","SB","21206912",159,86,122.5,73
"95",2022-12-11,"TNHA-BASE","TNHA","BASE","21167037",310,222,266,88
"96",2022-12-11,"TNHA-SA","TNHA","SA","21398709",152,114,133,38
"97",2022-12-11,"TNHA-SB","TNHA","SB","21181033",213,59,136,154
"98",2022-12-11,"TNHA-SC","TNHA","SC","21206909",291,261,276,30
"99",2022-12-11,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"100",2022-12-12,"BEO-BASE","BEO","BASE","21350855",352,173,262.5,179
"101",2022-12-12,"SSMH-BASE","SSMH","BASE","21350820",337,7,172,330
"102",2022-12-12,"SSMH-SA","SSMH","SA","21206911",321,86,203.5,235
"103",2022-12-12,"SSMH-SB","SSMH","SB","21206912",119,11,65,108
"104",2022-12-12,"TNHA-BASE","TNHA","BASE","21167037",330,226,278,104
"105",2022-12-12,"TNHA-SA","TNHA","SA","21398709",327,105,216,222
"106",2022-12-12,"TNHA-SB","TNHA","SB","21181033",340,150,245,190
"107",2022-12-12,"TNHA-SC","TNHA","SC","21206909",310,44,177,266
"108",2022-12-12,"TNHA-SD","TNHA","SD","21398712",358,1,179.5,357
"109",2022-12-13,"BEO-BASE","BEO","BASE","21350855",357,1,179,356
"110",2022-12-13,"SSMH-BASE","SSMH","BASE","21350820",313,21,167,292
"111",2022-12-13,"SSMH-SA","SSMH","SA","21206911",98,65,81.5,33
"112",2022-12-13,"SSMH-SB","SSMH","SB","21206912",357,11,184,346
"113",2022-12-13,"TNHA-BASE","TNHA","BASE","21167037",358,199,278.5,159
"114",2022-12-13,"TNHA-SA","TNHA","SA","21398709",336,81,208.5,255
"115",2022-12-13,"TNHA-SB","TNHA","SB","21181033",358,230,294,128
"116",2022-12-13,"TNHA-SC","TNHA","SC","21206909",314,84,199,230
"117",2022-12-13,"TNHA-SD","TNHA","SD","21398712",350,24,187,326
"118",2022-12-14,"BEO-BASE","BEO","BASE","21350855",358,0,179,358
"119",2022-12-14,"SSMH-BASE","SSMH","BASE","21350820",261,13,137,248
"120",2022-12-14,"SSMH-SA","SSMH","SA","21206911",88,79,83.5,9
"121",2022-12-14,"SSMH-SB","SSMH","SB","21206912",358,3,180.5,355
"122",2022-12-14,"TNHA-BASE","TNHA","BASE","21167037",351,11,181,340
"123",2022-12-14,"TNHA-SA","TNHA","SA","21398709",331,102,216.5,229
"124",2022-12-14,"TNHA-SB","TNHA","SB","21181033",358,357,357.5,1
"125",2022-12-14,"TNHA-SC","TNHA","SC","21206909",333,107,220,226
"126",2022-12-14,"TNHA-SD","TNHA","SD","21398712",358,11,184.5,347
"127",2022-12-15,"BEO-BASE","BEO","BASE","21350855",358,0,179,358
