"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2023-09-01,"SSMH-BASE","SSMH","BASE","21350901",1.5,0,0.75,1.5
"2",2023-09-01,"SSMH-SA","SSMH","SA","21206911",3,0,1.5,3
"3",2023-09-01,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"4",2023-09-01,"SSMH-SI","SSMH","SI","21398711",3.4,0,1.7,3.4
"5",2023-09-02,"SSMH-BASE","SSMH","BASE","21350901",1.5,0,0.75,1.5
"6",2023-09-02,"SSMH-SA","SSMH","SA","21206911",3.7,0.3,2,3.4
"7",2023-09-02,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"8",2023-09-02,"SSMH-SI","SSMH","SI","21398711",5.4,1,3.2,4.4
"9",2023-09-03,"SSMH-BASE","SSMH","BASE","21350901",2,0.5,1.25,1.5
"10",2023-09-03,"SSMH-SA","SSMH","SA","21206911",5,2.3,3.65,2.7
"11",2023-09-03,"SSMH-SB","SSMH","SB","21206912",1.3,0.3,0.8,1
"12",2023-09-03,"SSMH-SI","SSMH","SI","21398711",6.4,3.4,4.9,3
"13",2023-09-04,"SSMH-BASE","SSMH","BASE","21350901",1,0,0.5,1
"14",2023-09-04,"SSMH-SA","SSMH","SA","21206911",3.4,0,1.7,3.4
"15",2023-09-04,"SSMH-SB","SSMH","SB","21206912",4,0,2,4
"16",2023-09-04,"SSMH-SI","SSMH","SI","21398711",8.7,0,4.35,8.7
"17",2023-09-05,"SSMH-BASE","SSMH","BASE","21350901",1.5,0,0.75,1.5
"18",2023-09-05,"SSMH-SA","SSMH","SA","21206911",2,0,1,2
"19",2023-09-05,"SSMH-SB","SSMH","SB","21206912",2,0,1,2
"20",2023-09-05,"SSMH-SI","SSMH","SI","21398711",4,0,2,4
"21",2023-09-06,"SSMH-BASE","SSMH","BASE","21350901",3,0.5,1.75,2.5
"22",2023-09-06,"SSMH-SA","SSMH","SA","21206911",1.3,0.3,0.8,1
"23",2023-09-06,"SSMH-SB","SSMH","SB","21206912",1.3,0.3,0.8,1
"24",2023-09-06,"SSMH-SI","SSMH","SI","21398711",3.7,2,2.85,1.7
"25",2023-09-07,"SSMH-BASE","SSMH","BASE","21350901",1.5,0,0.75,1.5
"26",2023-09-07,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"27",2023-09-07,"SSMH-SB","SSMH","SB","21206912",1.3,0,0.65,1.3
"28",2023-09-07,"SSMH-SI","SSMH","SI","21398711",3.7,0.7,2.2,3
"29",2023-09-08,"SSMH-BASE","SSMH","BASE","21350901",0.5,0,0.25,0.5
"30",2023-09-08,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"31",2023-09-08,"SSMH-SB","SSMH","SB","21206912",2,0,1,2
"32",2023-09-08,"SSMH-SI","SSMH","SI","21398711",4.4,0.7,2.55,3.7
"33",2023-09-09,"SSMH-BASE","SSMH","BASE","21350901",2.5,0,1.25,2.5
"34",2023-09-09,"SSMH-SA","SSMH","SA","21206911",2.3,0,1.15,2.3
"35",2023-09-09,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"36",2023-09-09,"SSMH-SI","SSMH","SI","21398711",4.7,0,2.35,4.7
"37",2023-09-10,"SSMH-BASE","SSMH","BASE","21350901",3.5,1,2.25,2.5
"38",2023-09-10,"SSMH-SA","SSMH","SA","21206911",3.4,0.7,2.05,2.7
"39",2023-09-10,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"40",2023-09-10,"SSMH-SI","SSMH","SI","21398711",6,2.3,4.15,3.7
"41",2023-09-11,"SSMH-BASE","SSMH","BASE","21350901",1.5,0,0.75,1.5
"42",2023-09-11,"SSMH-SA","SSMH","SA","21206911",2.7,0,1.35,2.7
"43",2023-09-11,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"44",2023-09-11,"SSMH-SI","SSMH","SI","21398711",4.4,0.7,2.55,3.7
"45",2023-09-12,"SSMH-BASE","SSMH","BASE","21350901",2,0,1,2
"46",2023-09-12,"SSMH-SA","SSMH","SA","21206911",2,0,1,2
"47",2023-09-12,"SSMH-SB","SSMH","SB","21206912",2.3,0,1.15,2.3
"48",2023-09-12,"SSMH-SI","SSMH","SI","21398711",5.7,0.3,3,5.4
"49",2023-09-13,"SSMH-BASE","SSMH","BASE","21350901",0.5,0,0.25,0.5
"50",2023-09-13,"SSMH-SA","SSMH","SA","21206911",1.3,0,0.65,1.3
"51",2023-09-13,"SSMH-SB","SSMH","SB","21206912",2.3,0.3,1.3,2
"52",2023-09-13,"SSMH-SI","SSMH","SI","21398711",6,0.7,3.35,5.3
"53",2023-09-14,"SSMH-BASE","SSMH","BASE","21350901",0.5,0,0.25,0.5
"54",2023-09-14,"SSMH-SA","SSMH","SA","21206911",2,0,1,2
"55",2023-09-14,"SSMH-SB","SSMH","SB","21206912",2,0,1,2
"56",2023-09-14,"SSMH-SI","SSMH","SI","21398711",4.7,0,2.35,4.7
"57",2023-09-15,"BEO-BASE","BEO","BASE","21350915",6,2.5,4.25,3.5
"58",2023-09-15,"SSMH-BASE","SSMH","BASE","21350901",2,0.5,1.25,1.5
"59",2023-09-15,"SSMH-SA","SSMH","SA","21206911",3,0.7,1.85,2.3
"60",2023-09-15,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"61",2023-09-15,"SSMH-SI","SSMH","SI","21398711",4.7,2,3.35,2.7
"62",2023-09-15,"TNHA-BASE","TNHA","BASE","21176861",4,2,3,2
"63",2023-09-15,"TNHA-SA","TNHA","SA","21398709",0.7,0.3,0.5,0.4
"64",2023-09-15,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"65",2023-09-15,"TNHA-SC","TNHA","SC","21206909",2,1.3,1.65,0.7
"66",2023-09-16,"BEO-BASE","BEO","BASE","21350915",6.5,4,5.25,2.5
"67",2023-09-16,"SSMH-BASE","SSMH","BASE","21350901",2.5,0.5,1.5,2
"68",2023-09-16,"SSMH-SA","SSMH","SA","21206911",2.3,0.7,1.5,1.6
"69",2023-09-16,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"70",2023-09-16,"SSMH-SI","SSMH","SI","21398711",4.4,2.3,3.35,2.1
"71",2023-09-16,"TNHA-BASE","TNHA","BASE","21176861",4.5,1.5,3,3
"72",2023-09-16,"TNHA-SA","TNHA","SA","21398709",0.7,0.3,0.5,0.4
"73",2023-09-16,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"74",2023-09-16,"TNHA-SC","TNHA","SC","21206909",2.3,1,1.65,1.3
"75",2023-09-17,"BEO-BASE","BEO","BASE","21350915",7,6,6.5,1
"76",2023-09-17,"SSMH-BASE","SSMH","BASE","21350901",3.5,1.5,2.5,2
"77",2023-09-17,"SSMH-SA","SSMH","SA","21206911",2.3,0.7,1.5,1.6
"78",2023-09-17,"SSMH-SB","SSMH","SB","21206912",1,0.3,0.65,0.7
"79",2023-09-17,"SSMH-SI","SSMH","SI","21398711",4.7,2.7,3.7,2
"80",2023-09-17,"TNHA-BASE","TNHA","BASE","21176861",4,2,3,2
"81",2023-09-17,"TNHA-SA","TNHA","SA","21398709",0.7,0.7,0.7,0
"82",2023-09-17,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"83",2023-09-17,"TNHA-SC","TNHA","SC","21206909",4.4,2.3,3.35,2.1
"84",2023-09-18,"BEO-BASE","BEO","BASE","21350915",8.1,6.5,7.3,1.6
"85",2023-09-18,"SSMH-BASE","SSMH","BASE","21350901",4,2,3,2
"86",2023-09-18,"SSMH-SA","SSMH","SA","21206911",2,1,1.5,1
"87",2023-09-18,"SSMH-SB","SSMH","SB","21206912",1.3,0.7,1,0.6
"88",2023-09-18,"SSMH-SI","SSMH","SI","21398711",4.7,3,3.85,1.7
"89",2023-09-18,"TNHA-BASE","TNHA","BASE","21176861",2.5,2.5,2.5,0
"90",2023-09-18,"TNHA-SA","TNHA","SA","21398709",0.7,0.7,0.7,0
"91",2023-09-18,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"92",2023-09-18,"TNHA-SC","TNHA","SC","21206909",4,4,4,0
"93",2023-09-19,"BEO-BASE","BEO","BASE","21350915",6.5,0,3.25,6.5
"94",2023-09-19,"SSMH-BASE","SSMH","BASE","21350901",0,0,0,0
"95",2023-09-19,"SSMH-SA","SSMH","SA","21206911",0.3,0,0.15,0.3
"96",2023-09-19,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"97",2023-09-19,"SSMH-SI","SSMH","SI","21398711",1,0,0.5,1
"98",2023-09-19,"TNHA-BASE","TNHA","BASE","21176861",0,0,0,0
"99",2023-09-19,"TNHA-SA","TNHA","SA","21398709",0,0,0,0
