"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2024-03-11,"TNHA-SA","TNHA","SA","21398709",0.3,0.3,0.3,0
"2",2024-03-11,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"3",2024-03-11,"TNHA-SC","TNHA","SC","21206909",0,0,0,0
"4",2024-03-11,"TNHA-SD","TNHA","SD","21398712",0.3,0.3,0.3,0
"5",2024-03-12,"SSMH-SA","SSMH","SA","21206911",0.7,0.3,0.5,0.4
"6",2024-03-12,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"7",2024-03-12,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"8",2024-03-12,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"9",2024-03-12,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"10",2024-03-12,"TNHA-SC","TNHA","SC","21206909",0.3,0,0.15,0.3
"11",2024-03-12,"TNHA-SD","TNHA","SD","21398712",1,0,0.5,1
"12",2024-03-13,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"13",2024-03-13,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"14",2024-03-13,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"15",2024-03-13,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"16",2024-03-13,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"17",2024-03-13,"TNHA-SC","TNHA","SC","21206909",0.3,0,0.15,0.3
"18",2024-03-13,"TNHA-SD","TNHA","SD","21398712",0.7,0,0.35,0.7
"19",2024-03-14,"SSMH-SA","SSMH","SA","21206911",0.3,0,0.15,0.3
"20",2024-03-14,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"21",2024-03-14,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"22",2024-03-14,"TNHA-SA","TNHA","SA","21398709",0,0,0,0
"23",2024-03-14,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"24",2024-03-14,"TNHA-SC","TNHA","SC","21206909",0,0,0,0
"25",2024-03-14,"TNHA-SD","TNHA","SD","21398712",0,0,0,0
"26",2024-03-15,"SSMH-SA","SSMH","SA","21206911",0.3,0,0.15,0.3
"27",2024-03-15,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"28",2024-03-15,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"29",2024-03-15,"TNHA-SA","TNHA","SA","21398709",0,0,0,0
"30",2024-03-15,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"31",2024-03-15,"TNHA-SC","TNHA","SC","21206909",1,0,0.5,1
"32",2024-03-15,"TNHA-SD","TNHA","SD","21398712",0.3,0,0.15,0.3
"33",2024-03-16,"SSMH-SA","SSMH","SA","21206911",1,0.3,0.65,0.7
"34",2024-03-16,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"35",2024-03-16,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"36",2024-03-16,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"37",2024-03-16,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"38",2024-03-16,"TNHA-SC","TNHA","SC","21206909",2.3,0,1.15,2.3
"39",2024-03-16,"TNHA-SD","TNHA","SD","21398712",0.3,0,0.15,0.3
"40",2024-03-17,"SSMH-SA","SSMH","SA","21206911",2.3,1,1.65,1.3
"41",2024-03-17,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"42",2024-03-17,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"43",2024-03-17,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"44",2024-03-17,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"45",2024-03-17,"TNHA-SC","TNHA","SC","21206909",4,2.3,3.15,1.7
"46",2024-03-17,"TNHA-SD","TNHA","SD","21398712",3.4,0.3,1.85,3.1
"47",2024-03-18,"SSMH-SA","SSMH","SA","21206911",4,2,3,2
"48",2024-03-18,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"49",2024-03-18,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"50",2024-03-18,"TNHA-SA","TNHA","SA","21398709",1,0,0.5,1
"51",2024-03-18,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"52",2024-03-18,"TNHA-SC","TNHA","SC","21206909",5,1,3,4
"53",2024-03-18,"TNHA-SD","TNHA","SD","21398712",4.7,1.7,3.2,3
"54",2024-03-19,"SSMH-SA","SSMH","SA","21206911",4.4,1,2.7,3.4
"55",2024-03-19,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"56",2024-03-19,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"57",2024-03-19,"TNHA-SA","TNHA","SA","21398709",1.3,0,0.65,1.3
"58",2024-03-19,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"59",2024-03-19,"TNHA-SC","TNHA","SC","21206909",0.7,0,0.35,0.7
"60",2024-03-19,"TNHA-SD","TNHA","SD","21398712",4,0,2,4
"61",2024-03-20,"SSMH-SA","SSMH","SA","21206911",6.7,2.7,4.7,4
"62",2024-03-20,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"63",2024-03-20,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"64",2024-03-20,"TNHA-SA","TNHA","SA","21398709",2.7,0.7,1.7,2
"65",2024-03-20,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"66",2024-03-20,"TNHA-SC","TNHA","SC","21206909",2,0.7,1.35,1.3
"67",2024-03-20,"TNHA-SD","TNHA","SD","21398712",6.7,2.3,4.5,4.4
"68",2024-03-21,"SSMH-SA","SSMH","SA","21206911",4.4,0,2.2,4.4
"69",2024-03-21,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"70",2024-03-21,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"71",2024-03-21,"TNHA-SA","TNHA","SA","21398709",2.7,0.3,1.5,2.4
"72",2024-03-21,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"73",2024-03-21,"TNHA-SC","TNHA","SC","21206909",1.7,0,0.85,1.7
"74",2024-03-21,"TNHA-SD","TNHA","SD","21398712",3.7,0.7,2.2,3
"75",2024-03-22,"SSMH-SA","SSMH","SA","21206911",3.4,0.7,2.05,2.7
"76",2024-03-22,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"77",2024-03-22,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"78",2024-03-22,"TNHA-SA","TNHA","SA","21398709",1.7,0,0.85,1.7
"79",2024-03-22,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"80",2024-03-22,"TNHA-SC","TNHA","SC","21206909",1,0,0.5,1
"81",2024-03-22,"TNHA-SD","TNHA","SD","21398712",3,0.7,1.85,2.3
"82",2024-03-23,"SSMH-SA","SSMH","SA","21206911",2.3,0,1.15,2.3
"83",2024-03-23,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"84",2024-03-23,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"85",2024-03-23,"TNHA-SA","TNHA","SA","21398709",1.3,0,0.65,1.3
"86",2024-03-23,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"87",2024-03-23,"TNHA-SC","TNHA","SC","21206909",5,0,2.5,5
"88",2024-03-23,"TNHA-SD","TNHA","SD","21398712",1.3,0,0.65,1.3
"89",2024-03-24,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"90",2024-03-24,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"91",2024-03-24,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"92",2024-03-24,"TNHA-SA","TNHA","SA","21398709",0.7,0,0.35,0.7
"93",2024-03-24,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"94",2024-03-24,"TNHA-SC","TNHA","SC","21206909",4,0,2,4
"95",2024-03-24,"TNHA-SD","TNHA","SD","21398712",1.7,0,0.85,1.7
"96",2024-03-25,"SSMH-SA","SSMH","SA","21206911",0.7,0.3,0.5,0.4
"97",2024-03-25,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"98",2024-03-25,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"99",2024-03-25,"TNHA-SA","TNHA","SA","21398709",0.7,0.3,0.5,0.4
"100",2024-03-25,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"101",2024-03-25,"TNHA-SC","TNHA","SC","21206909",4.7,3,3.85,1.7
"102",2024-03-25,"TNHA-SD","TNHA","SD","21398712",2,1.3,1.65,0.7
"103",2024-03-26,"SSMH-SA","SSMH","SA","21206911",2,0.7,1.35,1.3
"104",2024-03-26,"SSMH-SB","SSMH","SB","21206912",0.7,0.3,0.5,0.4
"105",2024-03-26,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"106",2024-03-26,"TNHA-SA","TNHA","SA","21398709",0.7,0.3,0.5,0.4
"107",2024-03-26,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"108",2024-03-26,"TNHA-SC","TNHA","SC","21206909",5,3.7,4.35,1.3
"109",2024-03-26,"TNHA-SD","TNHA","SD","21398712",4.7,1,2.85,3.7
"110",2024-03-27,"SSMH-SA","SSMH","SA","21206911",6.4,1.7,4.05,4.7
"111",2024-03-27,"SSMH-SB","SSMH","SB","21206912",1,0.3,0.65,0.7
"112",2024-03-27,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"113",2024-03-27,"TNHA-SA","TNHA","SA","21398709",1.3,0.3,0.8,1
"114",2024-03-27,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"115",2024-03-27,"TNHA-SC","TNHA","SC","21206909",4,1,2.5,3
"116",2024-03-27,"TNHA-SD","TNHA","SD","21398712",6,4,5,2
"117",2024-03-28,"SSMH-SA","SSMH","SA","21206911",6,0.3,3.15,5.7
"118",2024-03-28,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"119",2024-03-28,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"120",2024-03-28,"TNHA-SA","TNHA","SA","21398709",1.3,0,0.65,1.3
"121",2024-03-28,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"122",2024-03-28,"TNHA-SC","TNHA","SC","21206909",1.7,0,0.85,1.7
"123",2024-03-28,"TNHA-SD","TNHA","SD","21398712",5.7,0.7,3.2,5
"124",2024-03-29,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"125",2024-03-29,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"126",2024-03-29,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"127",2024-03-29,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"128",2024-03-29,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"129",2024-03-29,"TNHA-SC","TNHA","SC","21206909",0,0,0,0
"130",2024-03-29,"TNHA-SD","TNHA","SD","21398712",0.7,0,0.35,0.7
"131",2024-03-30,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"132",2024-03-30,"SSMH-SB","SSMH","SB","21206912",0,0,0,0
"133",2024-03-30,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"134",2024-03-30,"TNHA-SA","TNHA","SA","21398709",0,0,0,0
"135",2024-03-30,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"136",2024-03-30,"TNHA-SC","TNHA","SC","21206909",1,0,0.5,1
"137",2024-03-30,"TNHA-SD","TNHA","SD","21398712",1.3,0,0.65,1.3
"138",2024-03-31,"SSMH-SA","SSMH","SA","21206911",1.3,0.3,0.8,1
"139",2024-03-31,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"140",2024-03-31,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"141",2024-03-31,"TNHA-SA","TNHA","SA","21398709",0,0,0,0
"142",2024-03-31,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"143",2024-03-31,"TNHA-SC","TNHA","SC","21206909",4,1.3,2.65,2.7
"144",2024-03-31,"TNHA-SD","TNHA","SD","21398712",3,0.3,1.65,2.7
"145",2024-04-01,"SSMH-SA","SSMH","SA","21206911",1.3,0.7,1,0.6
"146",2024-04-01,"SSMH-SB","SSMH","SB","21206912",1.7,0,0.85,1.7
"147",2024-04-01,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"148",2024-04-01,"TNHA-SA","TNHA","SA","21398709",1.7,0,0.85,1.7
"149",2024-04-01,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"150",2024-04-01,"TNHA-SC","TNHA","SC","21206909",2.3,0,1.15,2.3
"151",2024-04-01,"TNHA-SD","TNHA","SD","21398712",3,0,1.5,3
"152",2024-04-02,"SSMH-SA","SSMH","SA","21206911",3,1,2,2
"153",2024-04-02,"SSMH-SB","SSMH","SB","21206912",2,0.7,1.35,1.3
"154",2024-04-02,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"155",2024-04-02,"TNHA-SA","TNHA","SA","21398709",2.3,0.7,1.5,1.6
"156",2024-04-02,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"157",2024-04-02,"TNHA-SC","TNHA","SC","21206909",3,0.3,1.65,2.7
"158",2024-04-02,"TNHA-SD","TNHA","SD","21398712",1.3,0,0.65,1.3
"159",2024-04-03,"SSMH-SA","SSMH","SA","21206911",3,0.3,1.65,2.7
"160",2024-04-03,"SSMH-SB","SSMH","SB","21206912",1.3,0,0.65,1.3
"161",2024-04-03,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"162",2024-04-03,"TNHA-SA","TNHA","SA","21398709",2.3,0,1.15,2.3
"163",2024-04-03,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"164",2024-04-03,"TNHA-SC","TNHA","SC","21206909",0.7,0,0.35,0.7
"165",2024-04-03,"TNHA-SD","TNHA","SD","21398712",1.7,0.3,1,1.4
"166",2024-04-04,"SSMH-SA","SSMH","SA","21206911",1.7,0.7,1.2,1
"167",2024-04-04,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"168",2024-04-04,"SSMH-SI","SSMH","SI","21398711",0.7,0.3,0.5,0.4
"169",2024-04-04,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"170",2024-04-04,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"171",2024-04-04,"TNHA-SC","TNHA","SC","21206909",3,0.7,1.85,2.3
"172",2024-04-04,"TNHA-SD","TNHA","SD","21398712",3.4,1.7,2.55,1.7
"173",2024-04-05,"SSMH-SA","SSMH","SA","21206911",3,1.3,2.15,1.7
"174",2024-04-05,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"175",2024-04-05,"SSMH-SI","SSMH","SI","21398711",4,0.3,2.15,3.7
"176",2024-04-05,"TNHA-SA","TNHA","SA","21398709",0.7,0.3,0.5,0.4
"177",2024-04-05,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"178",2024-04-05,"TNHA-SC","TNHA","SC","21206909",3,0.3,1.65,2.7
"179",2024-04-05,"TNHA-SD","TNHA","SD","21398712",3.7,2.3,3,1.4
"180",2024-04-06,"SSMH-SA","SSMH","SA","21206911",3.7,0,1.85,3.7
"181",2024-04-06,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"182",2024-04-06,"SSMH-SI","SSMH","SI","21398711",5,0,2.5,5
"183",2024-04-06,"TNHA-SA","TNHA","SA","21398709",1,0,0.5,1
"184",2024-04-06,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"185",2024-04-06,"TNHA-SC","TNHA","SC","21206909",0.7,0,0.35,0.7
"186",2024-04-06,"TNHA-SD","TNHA","SD","21398712",3.4,0,1.7,3.4
"187",2024-04-07,"SSMH-SA","SSMH","SA","21206911",1,0.3,0.65,0.7
"188",2024-04-07,"SSMH-SB","SSMH","SB","21206912",1.3,0,0.65,1.3
"189",2024-04-07,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"190",2024-04-07,"TNHA-SA","TNHA","SA","21398709",1,0,0.5,1
"191",2024-04-07,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"192",2024-04-07,"TNHA-SC","TNHA","SC","21206909",3.7,0,1.85,3.7
