"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2024-06-01,"SSMH-SA","SSMH","SA","21206911",0.3,0,0.15,0.3
"2",2024-06-01,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"3",2024-06-01,"SSMH-SI","SSMH","SI","21398711",1,0.3,0.65,0.7
"4",2024-06-01,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"5",2024-06-01,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"6",2024-06-01,"TNHA-SC","TNHA","SC","21206909",2.3,0,1.15,2.3
"7",2024-06-02,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"8",2024-06-02,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"9",2024-06-02,"SSMH-SI","SSMH","SI","21398711",1,0.3,0.65,0.7
"10",2024-06-02,"TNHA-SA","TNHA","SA","21398709",0.7,0,0.35,0.7
"11",2024-06-02,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"12",2024-06-02,"TNHA-SC","TNHA","SC","21206909",2.7,0.7,1.7,2
"13",2024-06-03,"SSMH-SA","SSMH","SA","21206911",1,0.7,0.85,0.3
"14",2024-06-03,"SSMH-SB","SSMH","SB","21206912",1.3,0,0.65,1.3
"15",2024-06-03,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"16",2024-06-03,"TNHA-SA","TNHA","SA","21398709",1,0,0.5,1
"17",2024-06-03,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"18",2024-06-03,"TNHA-SC","TNHA","SC","21206909",4,1.7,2.85,2.3
"19",2024-06-04,"SSMH-SA","SSMH","SA","21206911",0.7,0,0.35,0.7
"20",2024-06-04,"SSMH-SB","SSMH","SB","21206912",1.7,1.3,1.5,0.4
"21",2024-06-04,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"22",2024-06-04,"TNHA-SA","TNHA","SA","21398709",1,0,0.5,1
"23",2024-06-04,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"24",2024-06-04,"TNHA-SC","TNHA","SC","21206909",4,1.7,2.85,2.3
"25",2024-06-05,"SSMH-SA","SSMH","SA","21206911",1.7,0,0.85,1.7
"26",2024-06-05,"SSMH-SB","SSMH","SB","21206912",1.3,0,0.65,1.3
"27",2024-06-05,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"28",2024-06-05,"TNHA-SA","TNHA","SA","21398709",0.7,0,0.35,0.7
"29",2024-06-05,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"30",2024-06-05,"TNHA-SC","TNHA","SC","21206909",2.7,0,1.35,2.7
"31",2024-06-06,"SSMH-SA","SSMH","SA","21206911",1.3,0.7,1,0.6
"32",2024-06-06,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"33",2024-06-06,"SSMH-SI","SSMH","SI","21398711",0.3,0.3,0.3,0
"34",2024-06-06,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"35",2024-06-06,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"36",2024-06-06,"TNHA-SC","TNHA","SC","21206909",4.4,0.7,2.55,3.7
"37",2024-06-07,"SSMH-SA","SSMH","SA","21206911",1.3,0,0.65,1.3
"38",2024-06-07,"SSMH-SB","SSMH","SB","21206912",0.7,0,0.35,0.7
"39",2024-06-07,"SSMH-SI","SSMH","SI","21398711",2.7,0.3,1.5,2.4
"40",2024-06-07,"TNHA-SA","TNHA","SA","21398709",0.3,0,0.15,0.3
"41",2024-06-07,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"42",2024-06-07,"TNHA-SC","TNHA","SC","21206909",3.7,0,1.85,3.7
"43",2024-06-08,"SSMH-SA","SSMH","SA","21206911",0.3,0,0.15,0.3
"44",2024-06-08,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"45",2024-06-08,"SSMH-SI","SSMH","SI","21398711",3.4,1,2.2,2.4
"46",2024-06-08,"TNHA-SA","TNHA","SA","21398709",0.7,0,0.35,0.7
"47",2024-06-08,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"48",2024-06-08,"TNHA-SC","TNHA","SC","21206909",2,0,1,2
"49",2024-06-09,"SSMH-SA","SSMH","SA","21206911",2.3,0,1.15,2.3
"50",2024-06-09,"SSMH-SB","SSMH","SB","21206912",0.3,0,0.15,0.3
"51",2024-06-09,"SSMH-SI","SSMH","SI","21398711",2,0,1,2
"52",2024-06-09,"TNHA-SA","TNHA","SA","21398709",0.7,0,0.35,0.7
"53",2024-06-09,"TNHA-SB","TNHA","SB","21181033",0,0,0,0
"54",2024-06-09,"TNHA-SC","TNHA","SC","21206909",2,0.3,1.15,1.7
"55",2024-06-10,"SSMH-SA","SSMH","SA","21206911",1.3,0.7,1,0.6
"56",2024-06-10,"SSMH-SB","SSMH","SB","21206912",0.7,0.3,0.5,0.4
"57",2024-06-10,"SSMH-SI","SSMH","SI","21398711",0.3,0,0.15,0.3
