"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2022-12-01,"BEO-BASE","BEO","BASE","21350915",5,0,2.5,5
"2",2022-12-01,"SSMH-BASE","SSMH","BASE","21350910",0,0,0,0
"3",2022-12-01,"SSMH-SA","SSMH","SA","21206911",1.7,0,0.85,1.7
"4",2022-12-01,"SSMH-SB","SSMH","SB","21206912",1,0,0.5,1
"5",2022-12-01,"TNHA-BASE","TNHA","BASE","21176861",1,0,0.5,1
"6",2022-12-01,"TNHA-SA","TNHA","SA","21398709",0.7,0,0.35,0.7
"7",2022-12-01,"TNHA-SB","TNHA","SB","21181033",4,0,2,4
"8",2022-12-01,"TNHA-SC","TNHA","SC","21206909",2.7,0,1.35,2.7
"9",2022-12-01,"TNHA-SD","TNHA","SD","21398712",1.3,0,0.65,1.3
"10",2022-12-02,"BEO-BASE","BEO","BASE","21350915",10.1,4.5,7.3,5.6
"11",2022-12-02,"SSMH-BASE","SSMH","BASE","21350910",1,0,0.5,1
"12",2022-12-02,"SSMH-SA","SSMH","SA","21206911",3,1,2,2
"13",2022-12-02,"SSMH-SB","SSMH","SB","21206912",2.7,0,1.35,2.7
"14",2022-12-02,"TNHA-BASE","TNHA","BASE","21176861",1.5,0.5,1,1
"15",2022-12-02,"TNHA-SA","TNHA","SA","21398709",3.7,0.3,2,3.4
"16",2022-12-02,"TNHA-SB","TNHA","SB","21181033",5.7,2.3,4,3.4
"17",2022-12-02,"TNHA-SC","TNHA","SC","21206909",2,0,1,2
"18",2022-12-02,"TNHA-SD","TNHA","SD","21398712",2,0.3,1.15,1.7
"19",2022-12-03,"BEO-BASE","BEO","BASE","21350915",9.6,0,4.8,9.6
"20",2022-12-03,"SSMH-BASE","SSMH","BASE","21350910",0.5,0,0.25,0.5
"21",2022-12-03,"SSMH-SA","SSMH","SA","21206911",1.7,0,0.85,1.7
"22",2022-12-03,"SSMH-SB","SSMH","SB","21206912",3.4,0,1.7,3.4
"23",2022-12-03,"TNHA-BASE","TNHA","BASE","21176861",1,0,0.5,1
"24",2022-12-03,"TNHA-SA","TNHA","SA","21398709",3.7,0,1.85,3.7
"25",2022-12-03,"TNHA-SB","TNHA","SB","21181033",6,0,3,6
"26",2022-12-03,"TNHA-SC","TNHA","SC","21206909",5.4,0,2.7,5.4
"27",2022-12-03,"TNHA-SD","TNHA","SD","21398712",1,0,0.5,1
"28",2022-12-04,"BEO-BASE","BEO","BASE","21350915",8.1,1.5,4.8,6.6
