"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-09-01,"2022-09-01","00","BEO-BASE","BEO","BASE","21397541",4.089,4.41,4.2495,0.321
"2",2022-09-01 01:00:00,"2022-09-01","01","BEO-BASE","BEO","BASE","21397541",3.96,4.389,4.1745,0.429
"3",2022-09-01 02:00:00,"2022-09-01","02","BEO-BASE","BEO","BASE","21397541",4.067,4.282,4.1745,0.215
"4",2022-09-01 03:00:00,"2022-09-01","03","BEO-BASE","BEO","BASE","21397541",3.767,3.81,3.7885,0.0430000000000001
"5",2022-09-01 04:00:00,"2022-09-01","04","BEO-BASE","BEO","BASE","21397541",3.488,3.617,3.5525,0.129
"6",2022-09-01 05:00:00,"2022-09-01","05","BEO-BASE","BEO","BASE","21397541",3.424,3.424,3.424,0
"7",2022-09-01 06:00:00,"2022-09-01","06","BEO-BASE","BEO","BASE","21397541",3.381,3.424,3.4025,0.0430000000000001
"8",2022-09-01 07:00:00,"2022-09-01","07","BEO-BASE","BEO","BASE","21397541",3.531,3.681,3.606,0.15
"9",2022-09-01 08:00:00,"2022-09-01","08","BEO-BASE","BEO","BASE","21397541",3.724,3.746,3.735,0.0219999999999998
"10",2022-09-01 09:00:00,"2022-09-01","09","BEO-BASE","BEO","BASE","21397541",3.467,3.638,3.5525,0.171
"11",2022-09-01 10:00:00,"2022-09-01","10","BEO-BASE","BEO","BASE","21397541",3.467,3.531,3.499,0.0640000000000001
"12",2022-09-01 11:00:00,"2022-09-01","11","BEO-BASE","BEO","BASE","21397541",3.574,3.66,3.617,0.0860000000000003
"13",2022-09-01 12:00:00,"2022-09-01","12","BEO-BASE","BEO","BASE","21397541",3.488,3.531,3.5095,0.0430000000000001
"14",2022-09-01 13:00:00,"2022-09-01","13","BEO-BASE","BEO","BASE","21397541",3.445,3.467,3.456,0.0220000000000002
"15",2022-09-01 14:00:00,"2022-09-01","14","BEO-BASE","BEO","BASE","21397541",3.295,3.402,3.3485,0.107
"16",2022-09-01 15:00:00,"2022-09-01","15","BEO-BASE","BEO","BASE","21397541",3.124,3.295,3.2095,0.171
"17",2022-09-01 16:00:00,"2022-09-01","16","BEO-BASE","BEO","BASE","21397541",3.252,3.252,3.252,0
"18",2022-09-01 17:00:00,"2022-09-01","17","BEO-BASE","BEO","BASE","21397541",3.274,3.381,3.3275,0.107
"19",2022-09-01 18:00:00,"2022-09-01","18","BEO-BASE","BEO","BASE","21397541",3.553,3.617,3.585,0.0640000000000001
"20",2022-09-01 19:00:00,"2022-09-01","19","BEO-BASE","BEO","BASE","21397541",3.767,3.853,3.81,0.0860000000000003
"21",2022-09-01 20:00:00,"2022-09-01","20","BEO-BASE","BEO","BASE","21397541",3.917,3.917,3.917,0
