"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2024-03-12 22:00:00,"2024-03-12","22","SSMH-SA","SSMH","SA","21398670",-26.21,-26.21,-26.21,0
"2",2024-03-12 23:00:00,"2024-03-12","23","SSMH-SA","SSMH","SA","21398670",-28.72,-28.72,-28.72,0
"3",2024-03-13,"2024-03-13","00","SSMH-SA","SSMH","SA","21398670",-28.4,-28.4,-28.4,0
"4",2024-03-13 01:00:00,"2024-03-13","01","SSMH-SA","SSMH","SA","21398670",-26.45,-26.45,-26.45,0
"5",2024-03-13 02:00:00,"2024-03-13","02","SSMH-SA","SSMH","SA","21398670",-28.66,-28.66,-28.66,0
"6",2024-03-13 03:00:00,"2024-03-13","03","SSMH-SA","SSMH","SA","21398670",-31.23,-31.23,-31.23,0
"7",2024-03-13 04:00:00,"2024-03-13","04","SSMH-SA","SSMH","SA","21398670",-32.95,-32.95,-32.95,0
"8",2024-03-13 05:00:00,"2024-03-13","05","SSMH-SA","SSMH","SA","21398670",-32.84,-32.84,-32.84,0
"9",2024-03-13 06:00:00,"2024-03-13","06","SSMH-SA","SSMH","SA","21398670",-33.83,-33.83,-33.83,0
"10",2024-03-13 07:00:00,"2024-03-13","07","SSMH-SA","SSMH","SA","21398670",-33.38,-33.38,-33.38,0
"11",2024-03-13 08:00:00,"2024-03-13","08","SSMH-SA","SSMH","SA","21398670",-33.31,-33.31,-33.31,0
"12",2024-03-13 09:00:00,"2024-03-13","09","SSMH-SA","SSMH","SA","21398670",-32.89,-32.89,-32.89,0
"13",2024-03-13 10:00:00,"2024-03-13","10","SSMH-SA","SSMH","SA","21398670",-32.33,-32.33,-32.33,0
"14",2024-03-13 11:00:00,"2024-03-13","11","SSMH-SA","SSMH","SA","21398670",-32.65,-32.65,-32.65,0
"15",2024-03-13 12:00:00,"2024-03-13","12","SSMH-SA","SSMH","SA","21398670",-33.87,-33.87,-33.87,0
"16",2024-03-13 13:00:00,"2024-03-13","13","SSMH-SA","SSMH","SA","21398670",-34.43,-34.43,-34.43,0
"17",2024-03-13 14:00:00,"2024-03-13","14","SSMH-SA","SSMH","SA","21398670",-35.33,-35.33,-35.33,0
"18",2024-03-13 15:00:00,"2024-03-13","15","SSMH-SA","SSMH","SA","21398670",-34.24,-34.24,-34.24,0
"19",2024-03-13 16:00:00,"2024-03-13","16","SSMH-SA","SSMH","SA","21398670",-34.28,-34.28,-34.28,0
"20",2024-03-13 17:00:00,"2024-03-13","17","SSMH-SA","SSMH","SA","21398670",-33.92,-33.92,-33.92,0
"21",2024-03-13 18:00:00,"2024-03-13","18","SSMH-SA","SSMH","SA","21398670",-31.38,-31.38,-31.38,0
"22",2024-03-13 19:00:00,"2024-03-13","19","SSMH-SA","SSMH","SA","21398670",-29.11,-29.11,-29.11,0
"23",2024-03-13 20:00:00,"2024-03-13","20","SSMH-SA","SSMH","SA","21398670",-28.64,-28.64,-28.64,0
"24",2024-03-13 21:00:00,"2024-03-13","21","SSMH-SA","SSMH","SA","21398670",-27.78,-27.78,-27.78,0
"25",2024-03-13 22:00:00,"2024-03-13","22","SSMH-SA","SSMH","SA","21398670",-26.97,-26.97,-26.97,0
"26",2024-03-13 23:00:00,"2024-03-13","23","SSMH-SA","SSMH","SA","21398670",-25.57,-25.57,-25.57,0
"27",2024-03-14,"2024-03-14","00","SSMH-SA","SSMH","SA","21398670",-25.53,-25.53,-25.53,0
"28",2024-03-14 01:00:00,"2024-03-14","01","SSMH-SA","SSMH","SA","21398670",-23.94,-23.94,-23.94,0
"29",2024-03-14 02:00:00,"2024-03-14","02","SSMH-SA","SSMH","SA","21398670",-24.95,-24.95,-24.95,0
"30",2024-03-14 03:00:00,"2024-03-14","03","SSMH-SA","SSMH","SA","21398670",-26.28,-26.28,-26.28,0
"31",2024-03-14 04:00:00,"2024-03-14","04","SSMH-SA","SSMH","SA","21398670",-28.08,-28.08,-28.08,0
"32",2024-03-14 05:00:00,"2024-03-14","05","SSMH-SA","SSMH","SA","21398670",-28.79,-28.79,-28.79,0
"33",2024-03-14 06:00:00,"2024-03-14","06","SSMH-SA","SSMH","SA","21398670",-28.83,-28.83,-28.83,0
"34",2024-03-14 07:00:00,"2024-03-14","07","SSMH-SA","SSMH","SA","21398670",-30.31,-30.31,-30.31,0
"35",2024-03-14 08:00:00,"2024-03-14","08","SSMH-SA","SSMH","SA","21398670",-31.86,-31.86,-31.86,0
"36",2024-03-14 09:00:00,"2024-03-14","09","SSMH-SA","SSMH","SA","21398670",-31.21,-31.21,-31.21,0
"37",2024-03-14 10:00:00,"2024-03-14","10","SSMH-SA","SSMH","SA","21398670",-32.46,-32.46,-32.46,0
"38",2024-03-14 11:00:00,"2024-03-14","11","SSMH-SA","SSMH","SA","21398670",-33.62,-33.62,-33.62,0
"39",2024-03-14 12:00:00,"2024-03-14","12","SSMH-SA","SSMH","SA","21398670",-32.99,-32.99,-32.99,0
"40",2024-03-14 13:00:00,"2024-03-14","13","SSMH-SA","SSMH","SA","21398670",-33.47,-33.47,-33.47,0
"41",2024-03-14 14:00:00,"2024-03-14","14","SSMH-SA","SSMH","SA","21398670",-33.23,-33.23,-33.23,0
"42",2024-03-14 15:00:00,"2024-03-14","15","SSMH-SA","SSMH","SA","21398670",-32.61,-32.61,-32.61,0
"43",2024-03-14 16:00:00,"2024-03-14","16","SSMH-SA","SSMH","SA","21398670",-33.36,-33.36,-33.36,0
"44",2024-03-14 17:00:00,"2024-03-14","17","SSMH-SA","SSMH","SA","21398670",-32.95,-32.95,-32.95,0
"45",2024-03-14 18:00:00,"2024-03-14","18","SSMH-SA","SSMH","SA","21398670",-30.48,-30.48,-30.48,0
"46",2024-03-14 19:00:00,"2024-03-14","19","SSMH-SA","SSMH","SA","21398670",-30.4,-30.4,-30.4,0
"47",2024-03-14 20:00:00,"2024-03-14","20","SSMH-SA","SSMH","SA","21398670",-28.34,-28.34,-28.34,0
"48",2024-03-14 21:00:00,"2024-03-14","21","SSMH-SA","SSMH","SA","21398670",-27.65,-27.65,-27.65,0
"49",2024-03-14 22:00:00,"2024-03-14","22","SSMH-SA","SSMH","SA","21398670",-26.88,-26.88,-26.88,0
"50",2024-03-14 23:00:00,"2024-03-14","23","SSMH-SA","SSMH","SA","21398670",-26,-26,-26,0
"51",2024-03-15,"2024-03-15","00","SSMH-SA","SSMH","SA","21398670",-24.93,-24.93,-24.93,0
"52",2024-03-15 01:00:00,"2024-03-15","01","SSMH-SA","SSMH","SA","21398670",-25.25,-25.25,-25.25,0
"53",2024-03-15 02:00:00,"2024-03-15","02","SSMH-SA","SSMH","SA","21398670",-25.61,-25.61,-25.61,0
"54",2024-03-15 03:00:00,"2024-03-15","03","SSMH-SA","SSMH","SA","21398670",-27.54,-27.54,-27.54,0
"55",2024-03-15 04:00:00,"2024-03-15","04","SSMH-SA","SSMH","SA","21398670",-29.9,-29.9,-29.9,0
"56",2024-03-15 05:00:00,"2024-03-15","05","SSMH-SA","SSMH","SA","21398670",-31.71,-31.71,-31.71,0
"57",2024-03-15 06:00:00,"2024-03-15","06","SSMH-SA","SSMH","SA","21398670",-32.61,-32.61,-32.61,0
"58",2024-03-15 07:00:00,"2024-03-15","07","SSMH-SA","SSMH","SA","21398670",-32.5,-32.5,-32.5,0
"59",2024-03-15 08:00:00,"2024-03-15","08","SSMH-SA","SSMH","SA","21398670",-33.29,-33.29,-33.29,0
"60",2024-03-15 09:00:00,"2024-03-15","09","SSMH-SA","SSMH","SA","21398670",-33.83,-33.83,-33.83,0
"61",2024-03-15 10:00:00,"2024-03-15","10","SSMH-SA","SSMH","SA","21398670",-33.16,-33.16,-33.16,0
"62",2024-03-15 11:00:00,"2024-03-15","11","SSMH-SA","SSMH","SA","21398670",-32.84,-32.84,-32.84,0
"63",2024-03-15 12:00:00,"2024-03-15","12","SSMH-SA","SSMH","SA","21398670",-32.09,-32.09,-32.09,0
"64",2024-03-15 13:00:00,"2024-03-15","13","SSMH-SA","SSMH","SA","21398670",-32.61,-32.61,-32.61,0
"65",2024-03-15 14:00:00,"2024-03-15","14","SSMH-SA","SSMH","SA","21398670",-32.56,-32.56,-32.56,0
"66",2024-03-15 15:00:00,"2024-03-15","15","SSMH-SA","SSMH","SA","21398670",-32.46,-32.46,-32.46,0
"67",2024-03-15 16:00:00,"2024-03-15","16","SSMH-SA","SSMH","SA","21398670",-33.12,-33.12,-33.12,0
"68",2024-03-15 17:00:00,"2024-03-15","17","SSMH-SA","SSMH","SA","21398670",-32.11,-32.11,-32.11,0
"69",2024-03-15 18:00:00,"2024-03-15","18","SSMH-SA","SSMH","SA","21398670",-30.61,-30.61,-30.61,0
"70",2024-03-15 19:00:00,"2024-03-15","19","SSMH-SA","SSMH","SA","21398670",-27.22,-27.22,-27.22,0
"71",2024-03-15 20:00:00,"2024-03-15","20","SSMH-SA","SSMH","SA","21398670",-25.76,-25.76,-25.76,0
"72",2024-03-15 21:00:00,"2024-03-15","21","SSMH-SA","SSMH","SA","21398670",-24.22,-24.22,-24.22,0
"73",2024-03-15 22:00:00,"2024-03-15","22","SSMH-SA","SSMH","SA","21398670",-23.45,-23.45,-23.45,0
"74",2024-03-15 23:00:00,"2024-03-15","23","SSMH-SA","SSMH","SA","21398670",-21.92,-21.92,-21.92,0
"75",2024-03-16,"2024-03-16","00","SSMH-SA","SSMH","SA","21398670",-22.5,-22.5,-22.5,0
"76",2024-03-16 01:00:00,"2024-03-16","01","SSMH-SA","SSMH","SA","21398670",-23.6,-23.6,-23.6,0
"77",2024-03-16 02:00:00,"2024-03-16","02","SSMH-SA","SSMH","SA","21398670",-25.85,-25.85,-25.85,0
"78",2024-03-16 03:00:00,"2024-03-16","03","SSMH-SA","SSMH","SA","21398670",-27.12,-27.12,-27.12,0
"79",2024-03-16 04:00:00,"2024-03-16","04","SSMH-SA","SSMH","SA","21398670",-27.54,-27.54,-27.54,0
"80",2024-03-16 05:00:00,"2024-03-16","05","SSMH-SA","SSMH","SA","21398670",-29.52,-29.52,-29.52,0
"81",2024-03-16 06:00:00,"2024-03-16","06","SSMH-SA","SSMH","SA","21398670",-29.95,-29.95,-29.95,0
"82",2024-03-16 07:00:00,"2024-03-16","07","SSMH-SA","SSMH","SA","21398670",-30.27,-30.27,-30.27,0
"83",2024-03-16 08:00:00,"2024-03-16","08","SSMH-SA","SSMH","SA","21398670",-30.53,-30.53,-30.53,0
"84",2024-03-16 09:00:00,"2024-03-16","09","SSMH-SA","SSMH","SA","21398670",-30.72,-30.72,-30.72,0
"85",2024-03-16 10:00:00,"2024-03-16","10","SSMH-SA","SSMH","SA","21398670",-30.7,-30.7,-30.7,0
"86",2024-03-16 11:00:00,"2024-03-16","11","SSMH-SA","SSMH","SA","21398670",-31.19,-31.19,-31.19,0
"87",2024-03-16 12:00:00,"2024-03-16","12","SSMH-SA","SSMH","SA","21398670",-31.62,-31.62,-31.62,0
"88",2024-03-16 13:00:00,"2024-03-16","13","SSMH-SA","SSMH","SA","21398670",-31.45,-31.45,-31.45,0
"89",2024-03-16 14:00:00,"2024-03-16","14","SSMH-SA","SSMH","SA","21398670",-31.66,-31.66,-31.66,0
"90",2024-03-16 15:00:00,"2024-03-16","15","SSMH-SA","SSMH","SA","21398670",-31.73,-31.73,-31.73,0
"91",2024-03-16 16:00:00,"2024-03-16","16","SSMH-SA","SSMH","SA","21398670",-31.77,-31.77,-31.77,0
"92",2024-03-16 17:00:00,"2024-03-16","17","SSMH-SA","SSMH","SA","21398670",-31.88,-31.88,-31.88,0
"93",2024-03-16 18:00:00,"2024-03-16","18","SSMH-SA","SSMH","SA","21398670",-28.96,-28.96,-28.96,0
"94",2024-03-16 19:00:00,"2024-03-16","19","SSMH-SA","SSMH","SA","21398670",-27.18,-27.18,-27.18,0
"95",2024-03-16 20:00:00,"2024-03-16","20","SSMH-SA","SSMH","SA","21398670",-25.16,-25.16,-25.16,0
"96",2024-03-16 21:00:00,"2024-03-16","21","SSMH-SA","SSMH","SA","21398670",-24.71,-24.71,-24.71,0
"97",2024-03-16 22:00:00,"2024-03-16","22","SSMH-SA","SSMH","SA","21398670",-23.56,-23.56,-23.56,0
"98",2024-03-16 23:00:00,"2024-03-16","23","SSMH-SA","SSMH","SA","21398670",-22.53,-22.53,-22.53,0
"99",2024-03-17,"2024-03-17","00","SSMH-SA","SSMH","SA","21398670",-22.85,-22.85,-22.85,0
"100",2024-03-17 01:00:00,"2024-03-17","01","SSMH-SA","SSMH","SA","21398670",-23.58,-23.58,-23.58,0
"101",2024-03-17 02:00:00,"2024-03-17","02","SSMH-SA","SSMH","SA","21398670",-24.26,-24.26,-24.26,0
"102",2024-03-17 03:00:00,"2024-03-17","03","SSMH-SA","SSMH","SA","21398670",-25.64,-25.64,-25.64,0
"103",2024-03-17 04:00:00,"2024-03-17","04","SSMH-SA","SSMH","SA","21398670",-27.22,-27.22,-27.22,0
"104",2024-03-17 05:00:00,"2024-03-17","05","SSMH-SA","SSMH","SA","21398670",-28.47,-28.47,-28.47,0
"105",2024-03-17 06:00:00,"2024-03-17","06","SSMH-SA","SSMH","SA","21398670",-28.85,-28.85,-28.85,0
"106",2024-03-17 07:00:00,"2024-03-17","07","SSMH-SA","SSMH","SA","21398670",-29.09,-29.09,-29.09,0
"107",2024-03-17 08:00:00,"2024-03-17","08","SSMH-SA","SSMH","SA","21398670",-28.92,-28.92,-28.92,0
"108",2024-03-17 09:00:00,"2024-03-17","09","SSMH-SA","SSMH","SA","21398670",-28.96,-28.96,-28.96,0
"109",2024-03-17 10:00:00,"2024-03-17","10","SSMH-SA","SSMH","SA","21398670",-28.68,-28.68,-28.68,0
"110",2024-03-17 11:00:00,"2024-03-17","11","SSMH-SA","SSMH","SA","21398670",-28.7,-28.7,-28.7,0
"111",2024-03-17 12:00:00,"2024-03-17","12","SSMH-SA","SSMH","SA","21398670",-28.23,-28.23,-28.23,0
"112",2024-03-17 13:00:00,"2024-03-17","13","SSMH-SA","SSMH","SA","21398670",-28.79,-28.79,-28.79,0
"113",2024-03-17 14:00:00,"2024-03-17","14","SSMH-SA","SSMH","SA","21398670",-29.2,-29.2,-29.2,0
"114",2024-03-17 15:00:00,"2024-03-17","15","SSMH-SA","SSMH","SA","21398670",-29.56,-29.56,-29.56,0
"115",2024-03-17 16:00:00,"2024-03-17","16","SSMH-SA","SSMH","SA","21398670",-29.37,-29.37,-29.37,0
"116",2024-03-17 17:00:00,"2024-03-17","17","SSMH-SA","SSMH","SA","21398670",-29.43,-29.43,-29.43,0
"117",2024-03-17 18:00:00,"2024-03-17","18","SSMH-SA","SSMH","SA","21398670",-27.24,-27.24,-27.24,0
