"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2024-07-19 03:00:00,"2024-07-19","03","BEO-BASE","BEO","BASE","21981318",3.746,3.746,3.746,0
"2",2024-07-19 04:00:00,"2024-07-19","04","BEO-BASE","BEO","BASE","21981318",3.681,3.681,3.681,0
"3",2024-07-19 05:00:00,"2024-07-19","05","BEO-BASE","BEO","BASE","21981318",3.445,3.445,3.445,0
"4",2024-07-19 06:00:00,"2024-07-19","06","BEO-BASE","BEO","BASE","21981318",5.14,5.14,5.14,0
"5",2024-07-19 07:00:00,"2024-07-19","07","BEO-BASE","BEO","BASE","21981318",6.577,6.577,6.577,0
"6",2024-07-19 08:00:00,"2024-07-19","08","BEO-BASE","BEO","BASE","21981318",7.435,7.435,7.435,0
"7",2024-07-19 09:00:00,"2024-07-19","09","BEO-BASE","BEO","BASE","21981318",6.813,6.813,6.813,0
"8",2024-07-19 10:00:00,"2024-07-19","10","BEO-BASE","BEO","BASE","21981318",7.928,7.928,7.928,0
"9",2024-07-19 11:00:00,"2024-07-19","11","BEO-BASE","BEO","BASE","21981318",8.657,8.657,8.657,0
"10",2024-07-19 12:00:00,"2024-07-19","12","BEO-BASE","BEO","BASE","21981318",10.502,10.502,10.502,0
"11",2024-07-19 13:00:00,"2024-07-19","13","BEO-BASE","BEO","BASE","21981318",11.295,11.295,11.295,0
"12",2024-07-19 14:00:00,"2024-07-19","14","BEO-BASE","BEO","BASE","21981318",12.239,12.239,12.239,0
"13",2024-07-19 15:00:00,"2024-07-19","15","BEO-BASE","BEO","BASE","21981318",13.483,13.483,13.483,0
"14",2024-07-19 16:00:00,"2024-07-19","16","BEO-BASE","BEO","BASE","21981318",14.427,14.427,14.427,0
"15",2024-07-19 17:00:00,"2024-07-19","17","BEO-BASE","BEO","BASE","21981318",14.512,14.512,14.512,0
"16",2024-07-19 18:00:00,"2024-07-19","18","BEO-BASE","BEO","BASE","21981318",11.145,11.145,11.145,0
"17",2024-07-19 19:00:00,"2024-07-19","19","BEO-BASE","BEO","BASE","21981318",11.059,11.059,11.059,0
"18",2024-07-19 20:00:00,"2024-07-19","20","BEO-BASE","BEO","BASE","21981318",9.665,9.665,9.665,0
"19",2024-07-19 21:00:00,"2024-07-19","21","BEO-BASE","BEO","BASE","21981318",8.872,8.872,8.872,0
"20",2024-07-19 22:00:00,"2024-07-19","22","BEO-BASE","BEO","BASE","21981318",9.172,9.172,9.172,0
"21",2024-07-19 23:00:00,"2024-07-19","23","BEO-BASE","BEO","BASE","21981318",8.764,8.764,8.764,0
"22",2024-07-20,"2024-07-20","00","BEO-BASE","BEO","BASE","21981318",7.842,7.842,7.842,0
"23",2024-07-20 01:00:00,"2024-07-20","01","BEO-BASE","BEO","BASE","21981318",7.799,7.799,7.799,0
"24",2024-07-20 02:00:00,"2024-07-20","02","BEO-BASE","BEO","BASE","21981318",6.555,6.555,6.555,0
"25",2024-07-20 03:00:00,"2024-07-20","03","BEO-BASE","BEO","BASE","21981318",5.612,5.612,5.612,0
"26",2024-07-20 04:00:00,"2024-07-20","04","BEO-BASE","BEO","BASE","21981318",5.161,5.161,5.161,0
"27",2024-07-20 05:00:00,"2024-07-20","05","BEO-BASE","BEO","BASE","21981318",3.209,3.209,3.209,0
"28",2024-07-20 06:00:00,"2024-07-20","06","BEO-BASE","BEO","BASE","21981318",2.394,2.394,2.394,0
"29",2024-07-20 07:00:00,"2024-07-20","07","BEO-BASE","BEO","BASE","21981318",2.116,2.116,2.116,0
"30",2024-07-20 08:00:00,"2024-07-20","08","BEO-BASE","BEO","BASE","21981318",2.18,2.18,2.18,0
"31",2024-07-20 09:00:00,"2024-07-20","09","BEO-BASE","BEO","BASE","21981318",2.394,2.394,2.394,0
"32",2024-07-20 10:00:00,"2024-07-20","10","BEO-BASE","BEO","BASE","21981318",3.102,3.102,3.102,0
"33",2024-07-20 11:00:00,"2024-07-20","11","BEO-BASE","BEO","BASE","21981318",3.016,3.016,3.016,0
"34",2024-07-20 12:00:00,"2024-07-20","12","BEO-BASE","BEO","BASE","21981318",3.059,3.059,3.059,0
"35",2024-07-20 13:00:00,"2024-07-20","13","BEO-BASE","BEO","BASE","21981318",3.66,3.66,3.66,0
"36",2024-07-20 14:00:00,"2024-07-20","14","BEO-BASE","BEO","BASE","21981318",2.845,2.845,2.845,0
"37",2024-07-20 15:00:00,"2024-07-20","15","BEO-BASE","BEO","BASE","21981318",3.488,3.488,3.488,0
"38",2024-07-20 16:00:00,"2024-07-20","16","BEO-BASE","BEO","BASE","21981318",4.217,4.217,4.217,0
"39",2024-07-20 17:00:00,"2024-07-20","17","BEO-BASE","BEO","BASE","21981318",4.518,4.518,4.518,0
"40",2024-07-20 18:00:00,"2024-07-20","18","BEO-BASE","BEO","BASE","21981318",5.075,5.075,5.075,0
"41",2024-07-20 19:00:00,"2024-07-20","19","BEO-BASE","BEO","BASE","21981318",5.633,5.633,5.633,0
"42",2024-07-20 20:00:00,"2024-07-20","20","BEO-BASE","BEO","BASE","21981318",6.212,6.212,6.212,0
"43",2024-07-20 21:00:00,"2024-07-20","21","BEO-BASE","BEO","BASE","21981318",7.413,7.413,7.413,0
"44",2024-07-20 22:00:00,"2024-07-20","22","BEO-BASE","BEO","BASE","21981318",7.478,7.478,7.478,0
"45",2024-07-20 23:00:00,"2024-07-20","23","BEO-BASE","BEO","BASE","21981318",7.156,7.156,7.156,0
"46",2024-07-21,"2024-07-21","00","BEO-BASE","BEO","BASE","21981318",7.22,7.22,7.22,0
"47",2024-07-21 01:00:00,"2024-07-21","01","BEO-BASE","BEO","BASE","21981318",8.057,8.057,8.057,0
"48",2024-07-21 02:00:00,"2024-07-21","02","BEO-BASE","BEO","BASE","21981318",9.837,9.837,9.837,0
"49",2024-07-21 03:00:00,"2024-07-21","03","BEO-BASE","BEO","BASE","21981318",12.26,12.26,12.26,0
"50",2024-07-21 04:00:00,"2024-07-21","04","BEO-BASE","BEO","BASE","21981318",13.247,13.247,13.247,0
"51",2024-07-21 05:00:00,"2024-07-21","05","BEO-BASE","BEO","BASE","21981318",12.925,12.925,12.925,0
"52",2024-07-21 06:00:00,"2024-07-21","06","BEO-BASE","BEO","BASE","21981318",11.81,11.81,11.81,0
"53",2024-07-21 07:00:00,"2024-07-21","07","BEO-BASE","BEO","BASE","21981318",8.979,8.979,8.979,0
"54",2024-07-21 08:00:00,"2024-07-21","08","BEO-BASE","BEO","BASE","21981318",10.33,10.33,10.33,0
