"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2023-12-01 17:00:00,"2023-12-01","17","BEO-BASE","BEO","BASE","21397541",-46.85,-46.85,-46.85,0
"2",2023-12-01 18:00:00,"2023-12-01","18","BEO-BASE","BEO","BASE","21397541",-46.85,-46.85,-46.85,0
"3",2023-12-01 22:00:00,"2023-12-01","22","BEO-BASE","BEO","BASE","21397541",-46.85,-46.85,-46.85,0
"4",2023-12-02,"2023-12-02","00","BEO-BASE","BEO","BASE","21397541",-46.85,-46.85,-46.85,0
"5",2023-12-02 01:00:00,"2023-12-02","01","BEO-BASE","BEO","BASE","21397541",-46.85,-46.85,-46.85,0
"6",2023-12-22 09:00:00,"2023-12-22","09","BEO-BASE","BEO","BASE","21397541",-46.166,-46.166,-46.166,0
"7",2023-12-22 19:00:00,"2023-12-22","19","BEO-BASE","BEO","BASE","21397541",-46.85,-46.85,-46.85,0
"8",2023-12-01,"2023-12-01","00","SSMH-BASE","SSMH","BASE","21390849",-10.431,-9.145,-9.788,1.286
"9",2023-12-01 01:00:00,"2023-12-01","01","SSMH-BASE","SSMH","BASE","21390849",-9.016,-8.222,-8.619,0.794
"10",2023-12-01 02:00:00,"2023-12-01","02","SSMH-BASE","SSMH","BASE","21390849",-8.115,-6.7,-7.4075,1.415
"11",2023-12-01 03:00:00,"2023-12-01","03","SSMH-BASE","SSMH","BASE","21390849",-7.493,-7.343,-7.418,0.15
"12",2023-12-01 04:00:00,"2023-12-01","04","SSMH-BASE","SSMH","BASE","21390849",-7.557,-7.407,-7.482,0.15
"13",2023-12-01 05:00:00,"2023-12-01","05","SSMH-BASE","SSMH","BASE","21390849",-7.45,-7.279,-7.3645,0.171
"14",2023-12-01 06:00:00,"2023-12-01","06","SSMH-BASE","SSMH","BASE","21390849",-8.158,-7.536,-7.847,0.622
"15",2023-12-01 07:00:00,"2023-12-01","07","SSMH-BASE","SSMH","BASE","21390849",-8.63,-8.179,-8.4045,0.451
"16",2023-12-01 08:00:00,"2023-12-01","08","SSMH-BASE","SSMH","BASE","21390849",-8.608,-8.437,-8.5225,0.171000000000001
"17",2023-12-01 09:00:00,"2023-12-01","09","SSMH-BASE","SSMH","BASE","21390849",-8.501,-8.351,-8.426,0.149999999999999
"18",2023-12-01 10:00:00,"2023-12-01","10","SSMH-BASE","SSMH","BASE","21390849",-8.587,-8.372,-8.4795,0.215
"19",2023-12-01 11:00:00,"2023-12-01","11","SSMH-BASE","SSMH","BASE","21390849",-8.501,-8.308,-8.4045,0.193
"20",2023-12-01 12:00:00,"2023-12-01","12","SSMH-BASE","SSMH","BASE","21390849",-8.372,-8.094,-8.233,0.278
"21",2023-12-01 13:00:00,"2023-12-01","13","SSMH-BASE","SSMH","BASE","21390849",-8.029,-7.943,-7.986,0.0860000000000003
"22",2023-12-02 03:00:00,"2023-12-02","03","SSMH-SA","SSMH","SA","21398670",-8.05,-8,-8.025,0.0500000000000007
"23",2023-12-02 04:00:00,"2023-12-02","04","SSMH-SA","SSMH","SA","21398670",-8.45,-8.28,-8.365,0.17
"24",2023-12-02 05:00:00,"2023-12-02","05","SSMH-SA","SSMH","SA","21398670",-9.01,-9.01,-9.01,0
"25",2023-12-02 06:00:00,"2023-12-02","06","SSMH-SA","SSMH","SA","21398670",-9.27,-9.27,-9.27,0
"26",2023-12-02 07:00:00,"2023-12-02","07","SSMH-SA","SSMH","SA","21398670",-9.53,-9.53,-9.53,0
"27",2023-12-02 08:00:00,"2023-12-02","08","SSMH-SA","SSMH","SA","21398670",-11.05,-11.05,-11.05,0
"28",2023-12-02 09:00:00,"2023-12-02","09","SSMH-SA","SSMH","SA","21398670",-12.85,-11.95,-12.4,0.9
"29",2023-12-02 11:00:00,"2023-12-02","11","SSMH-SA","SSMH","SA","21398670",-12.51,-12.51,-12.51,0
"30",2023-12-02 12:00:00,"2023-12-02","12","SSMH-SA","SSMH","SA","21398670",-14.07,-12.83,-13.45,1.24
"31",2023-12-02 13:00:00,"2023-12-02","13","SSMH-SA","SSMH","SA","21398670",-13.41,-13.26,-13.335,0.15
"32",2023-12-02 14:00:00,"2023-12-02","14","SSMH-SA","SSMH","SA","21398670",-14.01,-13.41,-13.71,0.6
"33",2023-12-02 19:00:00,"2023-12-02","19","SSMH-SA","SSMH","SA","21398670",-8.71,-8.71,-8.71,0
"34",2023-12-02 22:00:00,"2023-12-02","22","SSMH-SA","SSMH","SA","21398670",-9.23,-9.23,-9.23,0
"35",2023-12-03 01:00:00,"2023-12-03","01","SSMH-SA","SSMH","SA","21398670",-10.19,-10.19,-10.19,0
"36",2023-12-03 02:00:00,"2023-12-03","02","SSMH-SA","SSMH","SA","21398670",-10.28,-10.15,-10.215,0.129999999999999
"37",2023-12-03 03:00:00,"2023-12-03","03","SSMH-SA","SSMH","SA","21398670",-10.28,-10.15,-10.215,0.129999999999999
"38",2023-12-03 04:00:00,"2023-12-03","04","SSMH-SA","SSMH","SA","21398670",-10.21,-10.11,-10.16,0.100000000000001
"39",2023-12-03 05:00:00,"2023-12-03","05","SSMH-SA","SSMH","SA","21398670",-10.13,-9.85,-9.99,0.280000000000001
"40",2023-12-03 06:00:00,"2023-12-03","06","SSMH-SA","SSMH","SA","21398670",-8.9,-7.47,-8.185,1.43
"41",2023-12-03 07:00:00,"2023-12-03","07","SSMH-SA","SSMH","SA","21398670",-7.08,-6.63,-6.855,0.45
"42",2023-12-03 08:00:00,"2023-12-03","08","SSMH-SA","SSMH","SA","21398670",-7.12,-6.8,-6.96,0.32
