"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-09-01,"2022-09-01","00","BEO-BASE","BEO","BASE","21390415",161,243,202,82
"2",2022-09-01 01:00:00,"2022-09-01","01","BEO-BASE","BEO","BASE","21390415",103,247,175,144
"3",2022-09-01 02:00:00,"2022-09-01","02","BEO-BASE","BEO","BASE","21390415",141,169,155,28
"4",2022-09-01 03:00:00,"2022-09-01","03","BEO-BASE","BEO","BASE","21390415",68,117,92.5,49
"5",2022-09-01 04:00:00,"2022-09-01","04","BEO-BASE","BEO","BASE","21390415",54,64,59,10
"6",2022-09-01 05:00:00,"2022-09-01","05","BEO-BASE","BEO","BASE","21390415",21,34,27.5,13
"7",2022-09-01 06:00:00,"2022-09-01","06","BEO-BASE","BEO","BASE","21390415",2,11,6.5,9
"8",2022-09-01 07:00:00,"2022-09-01","07","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"9",2022-09-01 08:00:00,"2022-09-01","08","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"10",2022-09-01 09:00:00,"2022-09-01","09","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"11",2022-09-01 10:00:00,"2022-09-01","10","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"12",2022-09-01 11:00:00,"2022-09-01","11","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"13",2022-09-01 12:00:00,"2022-09-01","12","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"14",2022-09-01 13:00:00,"2022-09-01","13","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"15",2022-09-01 14:00:00,"2022-09-01","14","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"16",2022-09-01 15:00:00,"2022-09-01","15","BEO-BASE","BEO","BASE","21390415",1,4,2.5,3
"17",2022-09-01 16:00:00,"2022-09-01","16","BEO-BASE","BEO","BASE","21390415",13,22,17.5,9
"18",2022-09-01 17:00:00,"2022-09-01","17","BEO-BASE","BEO","BASE","21390415",29,38,33.5,9
"19",2022-09-01 18:00:00,"2022-09-01","18","BEO-BASE","BEO","BASE","21390415",56,83,69.5,27
"20",2022-09-01 19:00:00,"2022-09-01","19","BEO-BASE","BEO","BASE","21390415",99,99,99,0
"21",2022-09-01 20:00:00,"2022-09-01","20","BEO-BASE","BEO","BASE","21390415",136,139,137.5,3
"22",2022-09-01 21:00:00,"2022-09-01","21","BEO-BASE","BEO","BASE","21390415",171,207,189,36
"23",2022-09-01 22:00:00,"2022-09-01","22","BEO-BASE","BEO","BASE","21390415",134,157,145.5,23
"24",2022-09-01 23:00:00,"2022-09-01","23","BEO-BASE","BEO","BASE","21390415",137,167,152,30
"25",2022-09-02,"2022-09-02","00","BEO-BASE","BEO","BASE","21390415",107,123,115,16
"26",2022-09-02 01:00:00,"2022-09-02","01","BEO-BASE","BEO","BASE","21390415",78,82,80,4
"27",2022-09-02 02:00:00,"2022-09-02","02","BEO-BASE","BEO","BASE","21390415",102,113,107.5,11
