"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2024-03-12 22:00:00,"2024-03-12","22","SSMH-SA","SSMH","SA","21398622",304,304,304,0
"2",2024-03-12 23:00:00,"2024-03-12","23","SSMH-SA","SSMH","SA","21398622",306,306,306,0
"3",2024-03-13,"2024-03-13","00","SSMH-SA","SSMH","SA","21398622",284,284,284,0
"4",2024-03-13 01:00:00,"2024-03-13","01","SSMH-SA","SSMH","SA","21398622",247,247,247,0
"5",2024-03-13 02:00:00,"2024-03-13","02","SSMH-SA","SSMH","SA","21398622",177,177,177,0
"6",2024-03-13 03:00:00,"2024-03-13","03","SSMH-SA","SSMH","SA","21398622",89,89,89,0
"7",2024-03-13 04:00:00,"2024-03-13","04","SSMH-SA","SSMH","SA","21398622",19,19,19,0
"8",2024-03-13 05:00:00,"2024-03-13","05","SSMH-SA","SSMH","SA","21398622",2,2,2,0
"9",2024-03-13 06:00:00,"2024-03-13","06","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"10",2024-03-13 07:00:00,"2024-03-13","07","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"11",2024-03-13 08:00:00,"2024-03-13","08","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"12",2024-03-13 09:00:00,"2024-03-13","09","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"13",2024-03-13 10:00:00,"2024-03-13","10","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"14",2024-03-13 11:00:00,"2024-03-13","11","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"15",2024-03-13 12:00:00,"2024-03-13","12","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"16",2024-03-13 13:00:00,"2024-03-13","13","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"17",2024-03-13 14:00:00,"2024-03-13","14","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"18",2024-03-13 15:00:00,"2024-03-13","15","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"19",2024-03-13 16:00:00,"2024-03-13","16","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"20",2024-03-13 17:00:00,"2024-03-13","17","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"21",2024-03-13 18:00:00,"2024-03-13","18","SSMH-SA","SSMH","SA","21398622",39,39,39,0
"22",2024-03-13 19:00:00,"2024-03-13","19","SSMH-SA","SSMH","SA","21398622",121,121,121,0
"23",2024-03-13 20:00:00,"2024-03-13","20","SSMH-SA","SSMH","SA","21398622",182,182,182,0
"24",2024-03-13 21:00:00,"2024-03-13","21","SSMH-SA","SSMH","SA","21398622",261,261,261,0
"25",2024-03-13 22:00:00,"2024-03-13","22","SSMH-SA","SSMH","SA","21398622",307,307,307,0
"26",2024-03-13 23:00:00,"2024-03-13","23","SSMH-SA","SSMH","SA","21398622",297,297,297,0
"27",2024-03-14,"2024-03-14","00","SSMH-SA","SSMH","SA","21398622",252,252,252,0
"28",2024-03-14 01:00:00,"2024-03-14","01","SSMH-SA","SSMH","SA","21398622",229,229,229,0
"29",2024-03-14 02:00:00,"2024-03-14","02","SSMH-SA","SSMH","SA","21398622",187,187,187,0
"30",2024-03-14 03:00:00,"2024-03-14","03","SSMH-SA","SSMH","SA","21398622",108,108,108,0
"31",2024-03-14 04:00:00,"2024-03-14","04","SSMH-SA","SSMH","SA","21398622",32,32,32,0
"32",2024-03-14 05:00:00,"2024-03-14","05","SSMH-SA","SSMH","SA","21398622",2,2,2,0
"33",2024-03-14 06:00:00,"2024-03-14","06","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"34",2024-03-14 07:00:00,"2024-03-14","07","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"35",2024-03-14 08:00:00,"2024-03-14","08","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"36",2024-03-14 09:00:00,"2024-03-14","09","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"37",2024-03-14 10:00:00,"2024-03-14","10","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"38",2024-03-14 11:00:00,"2024-03-14","11","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"39",2024-03-14 12:00:00,"2024-03-14","12","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"40",2024-03-14 13:00:00,"2024-03-14","13","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"41",2024-03-14 14:00:00,"2024-03-14","14","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"42",2024-03-14 15:00:00,"2024-03-14","15","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"43",2024-03-14 16:00:00,"2024-03-14","16","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"44",2024-03-14 17:00:00,"2024-03-14","17","SSMH-SA","SSMH","SA","21398622",2,2,2,0
"45",2024-03-14 18:00:00,"2024-03-14","18","SSMH-SA","SSMH","SA","21398622",41,41,41,0
"46",2024-03-14 19:00:00,"2024-03-14","19","SSMH-SA","SSMH","SA","21398622",137,137,137,0
"47",2024-03-14 20:00:00,"2024-03-14","20","SSMH-SA","SSMH","SA","21398622",224,224,224,0
"48",2024-03-14 21:00:00,"2024-03-14","21","SSMH-SA","SSMH","SA","21398622",273,273,273,0
"49",2024-03-14 22:00:00,"2024-03-14","22","SSMH-SA","SSMH","SA","21398622",306,306,306,0
"50",2024-03-14 23:00:00,"2024-03-14","23","SSMH-SA","SSMH","SA","21398622",323,323,323,0
"51",2024-03-15,"2024-03-15","00","SSMH-SA","SSMH","SA","21398622",308,308,308,0
"52",2024-03-15 01:00:00,"2024-03-15","01","SSMH-SA","SSMH","SA","21398622",266,266,266,0
"53",2024-03-15 02:00:00,"2024-03-15","02","SSMH-SA","SSMH","SA","21398622",196,196,196,0
"54",2024-03-15 03:00:00,"2024-03-15","03","SSMH-SA","SSMH","SA","21398622",118,118,118,0
"55",2024-03-15 04:00:00,"2024-03-15","04","SSMH-SA","SSMH","SA","21398622",32,32,32,0
"56",2024-03-15 05:00:00,"2024-03-15","05","SSMH-SA","SSMH","SA","21398622",2,2,2,0
"57",2024-03-15 06:00:00,"2024-03-15","06","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"58",2024-03-15 07:00:00,"2024-03-15","07","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"59",2024-03-15 08:00:00,"2024-03-15","08","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"60",2024-03-15 09:00:00,"2024-03-15","09","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"61",2024-03-15 10:00:00,"2024-03-15","10","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"62",2024-03-15 11:00:00,"2024-03-15","11","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"63",2024-03-15 12:00:00,"2024-03-15","12","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"64",2024-03-15 13:00:00,"2024-03-15","13","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"65",2024-03-15 14:00:00,"2024-03-15","14","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"66",2024-03-15 15:00:00,"2024-03-15","15","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"67",2024-03-15 16:00:00,"2024-03-15","16","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"68",2024-03-15 17:00:00,"2024-03-15","17","SSMH-SA","SSMH","SA","21398622",2,2,2,0
"69",2024-03-15 18:00:00,"2024-03-15","18","SSMH-SA","SSMH","SA","21398622",38,38,38,0
"70",2024-03-15 19:00:00,"2024-03-15","19","SSMH-SA","SSMH","SA","21398622",122,122,122,0
"71",2024-03-15 20:00:00,"2024-03-15","20","SSMH-SA","SSMH","SA","21398622",186,186,186,0
"72",2024-03-15 21:00:00,"2024-03-15","21","SSMH-SA","SSMH","SA","21398622",267,267,267,0
"73",2024-03-15 22:00:00,"2024-03-15","22","SSMH-SA","SSMH","SA","21398622",319,319,319,0
"74",2024-03-15 23:00:00,"2024-03-15","23","SSMH-SA","SSMH","SA","21398622",323,323,323,0
"75",2024-03-16,"2024-03-16","00","SSMH-SA","SSMH","SA","21398622",319,319,319,0
"76",2024-03-16 01:00:00,"2024-03-16","01","SSMH-SA","SSMH","SA","21398622",274,274,274,0
"77",2024-03-16 02:00:00,"2024-03-16","02","SSMH-SA","SSMH","SA","21398622",202,202,202,0
"78",2024-03-16 03:00:00,"2024-03-16","03","SSMH-SA","SSMH","SA","21398622",127,127,127,0
"79",2024-03-16 04:00:00,"2024-03-16","04","SSMH-SA","SSMH","SA","21398622",37,37,37,0
"80",2024-03-16 05:00:00,"2024-03-16","05","SSMH-SA","SSMH","SA","21398622",3,3,3,0
"81",2024-03-16 06:00:00,"2024-03-16","06","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"82",2024-03-16 07:00:00,"2024-03-16","07","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"83",2024-03-16 08:00:00,"2024-03-16","08","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"84",2024-03-16 09:00:00,"2024-03-16","09","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"85",2024-03-16 10:00:00,"2024-03-16","10","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"86",2024-03-16 11:00:00,"2024-03-16","11","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"87",2024-03-16 12:00:00,"2024-03-16","12","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"88",2024-03-16 13:00:00,"2024-03-16","13","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"89",2024-03-16 14:00:00,"2024-03-16","14","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"90",2024-03-16 15:00:00,"2024-03-16","15","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"91",2024-03-16 16:00:00,"2024-03-16","16","SSMH-SA","SSMH","SA","21398622",1,1,1,0
"92",2024-03-16 17:00:00,"2024-03-16","17","SSMH-SA","SSMH","SA","21398622",4,4,4,0
"93",2024-03-16 18:00:00,"2024-03-16","18","SSMH-SA","SSMH","SA","21398622",56,56,56,0
"94",2024-03-16 19:00:00,"2024-03-16","19","SSMH-SA","SSMH","SA","21398622",157,157,157,0
"95",2024-03-16 20:00:00,"2024-03-16","20","SSMH-SA","SSMH","SA","21398622",241,241,241,0
"96",2024-03-16 21:00:00,"2024-03-16","21","SSMH-SA","SSMH","SA","21398622",291,291,291,0
"97",2024-03-16 22:00:00,"2024-03-16","22","SSMH-SA","SSMH","SA","21398622",329,329,329,0
"98",2024-03-16 23:00:00,"2024-03-16","23","SSMH-SA","SSMH","SA","21398622",343,343,343,0
"99",2024-03-17,"2024-03-17","00","SSMH-SA","SSMH","SA","21398622",328,328,328,0
"100",2024-03-17 01:00:00,"2024-03-17","01","SSMH-SA","SSMH","SA","21398622",283,283,283,0
"101",2024-03-17 02:00:00,"2024-03-17","02","SSMH-SA","SSMH","SA","21398622",213,213,213,0
"102",2024-03-17 03:00:00,"2024-03-17","03","SSMH-SA","SSMH","SA","21398622",133,133,133,0
