"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-07-04 05:00:00,"2022-07-04","05","BEO-BASE","BEO","BASE","21390415",106,142,124,36
"2",2022-07-04 06:00:00,"2022-07-04","06","BEO-BASE","BEO","BASE","21390415",91,93,92,2
"3",2022-07-04 07:00:00,"2022-07-04","07","BEO-BASE","BEO","BASE","21390415",74,76,75,2
"4",2022-07-04 08:00:00,"2022-07-04","08","BEO-BASE","BEO","BASE","21390415",42,66,54,24
"5",2022-07-04 09:00:00,"2022-07-04","09","BEO-BASE","BEO","BASE","21390415",7,19,13,12
"6",2022-07-04 10:00:00,"2022-07-04","10","BEO-BASE","BEO","BASE","21390415",4,6,5,2
"7",2022-07-04 11:00:00,"2022-07-04","11","BEO-BASE","BEO","BASE","21390415",4,11,7.5,7
"8",2022-07-04 12:00:00,"2022-07-04","12","BEO-BASE","BEO","BASE","21390415",11,11,11,0
"9",2022-07-04 13:00:00,"2022-07-04","13","BEO-BASE","BEO","BASE","21390415",19,57,38,38
"10",2022-07-04 14:00:00,"2022-07-04","14","BEO-BASE","BEO","BASE","21390415",87,96,91.5,9
"11",2022-07-04 15:00:00,"2022-07-04","15","BEO-BASE","BEO","BASE","21390415",92,97,94.5,5
"12",2022-07-04 16:00:00,"2022-07-04","16","BEO-BASE","BEO","BASE","21390415",87,139,113,52
"13",2022-07-04 17:00:00,"2022-07-04","17","BEO-BASE","BEO","BASE","21390415",113,188,150.5,75
"14",2022-07-04 18:00:00,"2022-07-04","18","BEO-BASE","BEO","BASE","21390415",158,192,175,34
"15",2022-07-04 19:00:00,"2022-07-04","19","BEO-BASE","BEO","BASE","21390415",156,239,197.5,83
"16",2022-07-04 20:00:00,"2022-07-04","20","BEO-BASE","BEO","BASE","21390415",567,676,621.5,109
"17",2022-07-04 21:00:00,"2022-07-04","21","BEO-BASE","BEO","BASE","21390415",363,557,460,194
"18",2022-07-04 22:00:00,"2022-07-04","22","BEO-BASE","BEO","BASE","21390415",187,269,228,82
"19",2022-07-04 23:00:00,"2022-07-04","23","BEO-BASE","BEO","BASE","21390415",324,458,391,134
"20",2022-07-05,"2022-07-05","00","BEO-BASE","BEO","BASE","21390415",442,488,465,46
