"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-12-01,"2022-12-01","00","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"2",2022-12-01 01:00:00,"2022-12-01","01","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"3",2022-12-01 02:00:00,"2022-12-01","02","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"4",2022-12-01 03:00:00,"2022-12-01","03","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"5",2022-12-01 04:00:00,"2022-12-01","04","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"6",2022-12-01 05:00:00,"2022-12-01","05","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"7",2022-12-01 06:00:00,"2022-12-01","06","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"8",2022-12-01 07:00:00,"2022-12-01","07","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"9",2022-12-01 08:00:00,"2022-12-01","08","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"10",2022-12-01 09:00:00,"2022-12-01","09","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"11",2022-12-01 10:00:00,"2022-12-01","10","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"12",2022-12-01 11:00:00,"2022-12-01","11","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"13",2022-12-01 12:00:00,"2022-12-01","12","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"14",2022-12-01 13:00:00,"2022-12-01","13","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"15",2022-12-01 14:00:00,"2022-12-01","14","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"16",2022-12-01 15:00:00,"2022-12-01","15","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"17",2022-12-01 16:00:00,"2022-12-01","16","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"18",2022-12-01 17:00:00,"2022-12-01","17","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"19",2022-12-01 18:00:00,"2022-12-01","18","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"20",2022-12-01 19:00:00,"2022-12-01","19","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"21",2022-12-01 20:00:00,"2022-12-01","20","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"22",2022-12-01 21:00:00,"2022-12-01","21","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"23",2022-12-01 22:00:00,"2022-12-01","22","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"24",2022-12-01 23:00:00,"2022-12-01","23","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"25",2022-12-02,"2022-12-02","00","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"26",2022-12-02 01:00:00,"2022-12-02","01","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"27",2022-12-02 02:00:00,"2022-12-02","02","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"28",2022-12-02 03:00:00,"2022-12-02","03","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"29",2022-12-02 04:00:00,"2022-12-02","04","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"30",2022-12-02 05:00:00,"2022-12-02","05","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"31",2022-12-02 06:00:00,"2022-12-02","06","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"32",2022-12-02 07:00:00,"2022-12-02","07","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"33",2022-12-02 08:00:00,"2022-12-02","08","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"34",2022-12-02 09:00:00,"2022-12-02","09","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"35",2022-12-02 10:00:00,"2022-12-02","10","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"36",2022-12-02 11:00:00,"2022-12-02","11","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"37",2022-12-02 12:00:00,"2022-12-02","12","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"38",2022-12-02 13:00:00,"2022-12-02","13","BEO-BASE","BEO","BASE","21390415",1,1,1,0
"39",2022-12-02 14:00:00,"2022-12-02","14","BEO-BASE","BEO","BASE","21390415",1,1,1,0
