"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-09-01,"2022-09-01","00","BEO-BASE","BEO","BASE","21350855",154,154,154,0
"2",2022-09-01 01:00:00,"2022-09-01","01","BEO-BASE","BEO","BASE","21350855",152,152,152,0
"3",2022-09-01 02:00:00,"2022-09-01","02","BEO-BASE","BEO","BASE","21350855",150,152,151,2
"4",2022-09-01 03:00:00,"2022-09-01","03","BEO-BASE","BEO","BASE","21350855",150,152,151,2
"5",2022-09-01 04:00:00,"2022-09-01","04","BEO-BASE","BEO","BASE","21350855",152,152,152,0
"6",2022-09-01 05:00:00,"2022-09-01","05","BEO-BASE","BEO","BASE","21350855",152,154,153,2
"7",2022-09-01 06:00:00,"2022-09-01","06","BEO-BASE","BEO","BASE","21350855",149,152,150.5,3
"8",2022-09-01 07:00:00,"2022-09-01","07","BEO-BASE","BEO","BASE","21350855",149,149,149,0
"9",2022-09-01 08:00:00,"2022-09-01","08","BEO-BASE","BEO","BASE","21350855",149,149,149,0
"10",2022-09-01 09:00:00,"2022-09-01","09","BEO-BASE","BEO","BASE","21350855",150,154,152,4
"11",2022-09-01 10:00:00,"2022-09-01","10","BEO-BASE","BEO","BASE","21350855",146,147,146.5,1
"12",2022-09-01 11:00:00,"2022-09-01","11","BEO-BASE","BEO","BASE","21350855",145,146,145.5,1
"13",2022-09-01 12:00:00,"2022-09-01","12","BEO-BASE","BEO","BASE","21350855",143,143,143,0
"14",2022-09-01 13:00:00,"2022-09-01","13","BEO-BASE","BEO","BASE","21350855",138,143,140.5,5
"15",2022-09-01 14:00:00,"2022-09-01","14","BEO-BASE","BEO","BASE","21350855",140,142,141,2
"16",2022-09-01 15:00:00,"2022-09-01","15","BEO-BASE","BEO","BASE","21350855",140,142,141,2
"17",2022-09-01 16:00:00,"2022-09-01","16","BEO-BASE","BEO","BASE","21350855",140,140,140,0
"18",2022-09-01 17:00:00,"2022-09-01","17","BEO-BASE","BEO","BASE","21350855",136,139,137.5,3
"19",2022-09-01 18:00:00,"2022-09-01","18","BEO-BASE","BEO","BASE","21350855",136,138,137,2
"20",2022-09-01 19:00:00,"2022-09-01","19","BEO-BASE","BEO","BASE","21350855",135,135,135,0
"21",2022-09-01 20:00:00,"2022-09-01","20","BEO-BASE","BEO","BASE","21350855",135,135,135,0
"22",2022-09-01 21:00:00,"2022-09-01","21","BEO-BASE","BEO","BASE","21350855",133,135,134,2
