"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2023-03-05 04:00:00,"2023-03-05","04","BEO-BASE","BEO","BASE","21350855",167,167,167,0
"2",2023-03-05 10:00:00,"2023-03-05","10","BEO-BASE","BEO","BASE","21350855",178,178,178,0
"3",2023-03-05 16:00:00,"2023-03-05","16","BEO-BASE","BEO","BASE","21350855",181,181,181,0
"4",2023-03-05 22:00:00,"2023-03-05","22","BEO-BASE","BEO","BASE","21350855",194,194,194,0
"5",2023-03-06 04:00:00,"2023-03-06","04","BEO-BASE","BEO","BASE","21350855",198,198,198,0
"6",2023-03-06 10:00:00,"2023-03-06","10","BEO-BASE","BEO","BASE","21350855",195,195,195,0
"7",2023-03-06 16:00:00,"2023-03-06","16","BEO-BASE","BEO","BASE","21350855",190,190,190,0
"8",2023-03-06 22:00:00,"2023-03-06","22","BEO-BASE","BEO","BASE","21350855",194,194,194,0
"9",2023-03-07 04:00:00,"2023-03-07","04","BEO-BASE","BEO","BASE","21350855",201,201,201,0
"10",2023-03-07 10:00:00,"2023-03-07","10","BEO-BASE","BEO","BASE","21350855",201,201,201,0
"11",2023-03-07 16:00:00,"2023-03-07","16","BEO-BASE","BEO","BASE","21350855",232,232,232,0
"12",2023-03-07 22:00:00,"2023-03-07","22","BEO-BASE","BEO","BASE","21350855",236,236,236,0
"13",2023-03-08 04:00:00,"2023-03-08","04","BEO-BASE","BEO","BASE","21350855",234,234,234,0
"14",2023-03-08 10:00:00,"2023-03-08","10","BEO-BASE","BEO","BASE","21350855",263,263,263,0
"15",2023-03-08 16:00:00,"2023-03-08","16","BEO-BASE","BEO","BASE","21350855",284,284,284,0
"16",2023-03-08 22:00:00,"2023-03-08","22","BEO-BASE","BEO","BASE","21350855",329,329,329,0
"17",2023-03-09 04:00:00,"2023-03-09","04","BEO-BASE","BEO","BASE","21350855",350,350,350,0
"18",2023-03-09 10:00:00,"2023-03-09","10","BEO-BASE","BEO","BASE","21350855",1,1,1,0
"19",2023-03-09 16:00:00,"2023-03-09","16","BEO-BASE","BEO","BASE","21350855",358,358,358,0
"20",2023-03-09 22:00:00,"2023-03-09","22","BEO-BASE","BEO","BASE","21350855",343,343,343,0
"21",2023-03-10 04:00:00,"2023-03-10","04","BEO-BASE","BEO","BASE","21350855",281,281,281,0
"22",2023-03-10 10:00:00,"2023-03-10","10","BEO-BASE","BEO","BASE","21350855",227,227,227,0
"23",2023-03-10 16:00:00,"2023-03-10","16","BEO-BASE","BEO","BASE","21350855",212,212,212,0
"24",2023-03-10 22:00:00,"2023-03-10","22","BEO-BASE","BEO","BASE","21350855",230,230,230,0
"25",2023-03-11 04:00:00,"2023-03-11","04","BEO-BASE","BEO","BASE","21350855",324,324,324,0
"26",2023-03-11 10:00:00,"2023-03-11","10","BEO-BASE","BEO","BASE","21350855",3,3,3,0
"27",2023-03-11 16:00:00,"2023-03-11","16","BEO-BASE","BEO","BASE","21350855",355,355,355,0
"28",2023-03-11 22:00:00,"2023-03-11","22","BEO-BASE","BEO","BASE","21350855",330,330,330,0
"29",2023-03-12 04:00:00,"2023-03-12","04","BEO-BASE","BEO","BASE","21350855",341,341,341,0
"30",2023-03-12 10:00:00,"2023-03-12","10","BEO-BASE","BEO","BASE","21350855",337,337,337,0
"31",2023-03-12 16:00:00,"2023-03-12","16","BEO-BASE","BEO","BASE","21350855",329,329,329,0
"32",2023-03-12 22:00:00,"2023-03-12","22","BEO-BASE","BEO","BASE","21350855",341,341,341,0
"33",2023-03-13 04:00:00,"2023-03-13","04","BEO-BASE","BEO","BASE","21350855",355,355,355,0
"34",2023-03-13 10:00:00,"2023-03-13","10","BEO-BASE","BEO","BASE","21350855",351,351,351,0
"35",2023-03-13 16:00:00,"2023-03-13","16","BEO-BASE","BEO","BASE","21350855",338,338,338,0
"36",2023-03-13 22:00:00,"2023-03-13","22","BEO-BASE","BEO","BASE","21350855",337,337,337,0
"37",2023-03-14 04:00:00,"2023-03-14","04","BEO-BASE","BEO","BASE","21350855",45,45,45,0
"38",2023-03-14 10:00:00,"2023-03-14","10","BEO-BASE","BEO","BASE","21350855",49,49,49,0
"39",2023-03-14 16:00:00,"2023-03-14","16","BEO-BASE","BEO","BASE","21350855",37,37,37,0
"40",2023-03-14 22:00:00,"2023-03-14","22","BEO-BASE","BEO","BASE","21350855",3,3,3,0
"41",2023-03-15 04:00:00,"2023-03-15","04","BEO-BASE","BEO","BASE","21350855",3,3,3,0
"42",2023-03-15 10:00:00,"2023-03-15","10","BEO-BASE","BEO","BASE","21350855",324,324,324,0
"43",2023-03-15 16:00:00,"2023-03-15","16","BEO-BASE","BEO","BASE","21350855",288,288,288,0
"44",2023-03-15 22:00:00,"2023-03-15","22","BEO-BASE","BEO","BASE","21350855",275,275,275,0
"45",2023-03-16 04:00:00,"2023-03-16","04","BEO-BASE","BEO","BASE","21350855",279,279,279,0
"46",2023-03-16 10:00:00,"2023-03-16","10","BEO-BASE","BEO","BASE","21350855",272,272,272,0
"47",2023-03-16 16:00:00,"2023-03-16","16","BEO-BASE","BEO","BASE","21350855",268,268,268,0
"48",2023-03-16 22:00:00,"2023-03-16","22","BEO-BASE","BEO","BASE","21350855",267,267,267,0
"49",2023-03-17 04:00:00,"2023-03-17","04","BEO-BASE","BEO","BASE","21350855",253,258,255.5,5
"50",2023-03-17 05:00:00,"2023-03-17","05","BEO-BASE","BEO","BASE","21350855",251,251,251,0
"51",2023-03-17 06:00:00,"2023-03-17","06","BEO-BASE","BEO","BASE","21350855",251,251,251,0
"52",2023-03-17 07:00:00,"2023-03-17","07","BEO-BASE","BEO","BASE","21350855",257,257,257,0
"53",2023-03-17 08:00:00,"2023-03-17","08","BEO-BASE","BEO","BASE","21350855",253,253,253,0
"54",2023-03-17 09:00:00,"2023-03-17","09","BEO-BASE","BEO","BASE","21350855",251,251,251,0
"55",2023-03-17 10:00:00,"2023-03-17","10","BEO-BASE","BEO","BASE","21350855",251,251,251,0
"56",2023-03-17 11:00:00,"2023-03-17","11","BEO-BASE","BEO","BASE","21350855",254,254,254,0
"57",2023-03-17 12:00:00,"2023-03-17","12","BEO-BASE","BEO","BASE","21350855",264,264,264,0
"58",2023-03-17 13:00:00,"2023-03-17","13","BEO-BASE","BEO","BASE","21350855",258,258,258,0
"59",2023-03-17 14:00:00,"2023-03-17","14","BEO-BASE","BEO","BASE","21350855",257,257,257,0
"60",2023-03-17 15:00:00,"2023-03-17","15","BEO-BASE","BEO","BASE","21350855",261,261,261,0
"61",2023-03-17 16:00:00,"2023-03-17","16","BEO-BASE","BEO","BASE","21350855",251,251,251,0
"62",2023-03-17 17:00:00,"2023-03-17","17","BEO-BASE","BEO","BASE","21350855",265,265,265,0
"63",2023-03-17 18:00:00,"2023-03-17","18","BEO-BASE","BEO","BASE","21350855",268,268,268,0
"64",2023-03-17 19:00:00,"2023-03-17","19","BEO-BASE","BEO","BASE","21350855",263,263,263,0
"65",2023-03-17 20:00:00,"2023-03-17","20","BEO-BASE","BEO","BASE","21350855",268,268,268,0
"66",2023-03-17 21:00:00,"2023-03-17","21","BEO-BASE","BEO","BASE","21350855",258,258,258,0
"67",2023-03-17 22:00:00,"2023-03-17","22","BEO-BASE","BEO","BASE","21350855",261,261,261,0
"68",2023-03-17 23:00:00,"2023-03-17","23","BEO-BASE","BEO","BASE","21350855",264,264,264,0
"69",2023-03-18,"2023-03-18","00","BEO-BASE","BEO","BASE","21350855",257,257,257,0
"70",2023-03-18 01:00:00,"2023-03-18","01","BEO-BASE","BEO","BASE","21350855",251,251,251,0
"71",2023-03-18 02:00:00,"2023-03-18","02","BEO-BASE","BEO","BASE","21350855",240,240,240,0
"72",2023-03-18 03:00:00,"2023-03-18","03","BEO-BASE","BEO","BASE","21350855",236,236,236,0
"73",2023-03-18 04:00:00,"2023-03-18","04","BEO-BASE","BEO","BASE","21350855",233,233,233,0
"74",2023-03-18 05:00:00,"2023-03-18","05","BEO-BASE","BEO","BASE","21350855",233,233,233,0
"75",2023-03-18 06:00:00,"2023-03-18","06","BEO-BASE","BEO","BASE","21350855",218,218,218,0
"76",2023-03-18 07:00:00,"2023-03-18","07","BEO-BASE","BEO","BASE","21350855",213,213,213,0
"77",2023-03-18 08:00:00,"2023-03-18","08","BEO-BASE","BEO","BASE","21350855",206,206,206,0
"78",2023-03-18 09:00:00,"2023-03-18","09","BEO-BASE","BEO","BASE","21350855",195,195,195,0
"79",2023-03-18 10:00:00,"2023-03-18","10","BEO-BASE","BEO","BASE","21350855",204,204,204,0
"80",2023-03-18 11:00:00,"2023-03-18","11","BEO-BASE","BEO","BASE","21350855",205,205,205,0
"81",2023-03-18 12:00:00,"2023-03-18","12","BEO-BASE","BEO","BASE","21350855",194,194,194,0
"82",2023-03-18 13:00:00,"2023-03-18","13","BEO-BASE","BEO","BASE","21350855",191,191,191,0
"83",2023-03-18 14:00:00,"2023-03-18","14","BEO-BASE","BEO","BASE","21350855",184,184,184,0
"84",2023-03-18 15:00:00,"2023-03-18","15","BEO-BASE","BEO","BASE","21350855",188,188,188,0
"85",2023-03-18 16:00:00,"2023-03-18","16","BEO-BASE","BEO","BASE","21350855",185,185,185,0
"86",2023-03-18 17:00:00,"2023-03-18","17","BEO-BASE","BEO","BASE","21350855",180,180,180,0
