"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-06-17,"2022-06-17","00","BEO-BASE","BEO","BASE","21350855",18,74,46,56
"2",2022-06-17 01:00:00,"2022-06-17","01","BEO-BASE","BEO","BASE","21350855",74,126,100,52
"3",2022-06-17 02:00:00,"2022-06-17","02","BEO-BASE","BEO","BASE","21350855",132,161,146.5,29
"4",2022-06-17 03:00:00,"2022-06-17","03","BEO-BASE","BEO","BASE","21350855",164,178,171,14
"5",2022-06-17 04:00:00,"2022-06-17","04","BEO-BASE","BEO","BASE","21350855",175,184,179.5,9
"6",2022-06-17 05:00:00,"2022-06-17","05","BEO-BASE","BEO","BASE","21350855",183,192,187.5,9
"7",2022-06-17 06:00:00,"2022-06-17","06","BEO-BASE","BEO","BASE","21350855",190,345,267.5,155
"8",2022-06-17 07:00:00,"2022-06-17","07","BEO-BASE","BEO","BASE","21350855",324,358,341,34
"9",2022-06-17 08:00:00,"2022-06-17","08","BEO-BASE","BEO","BASE","21350855",6,358,182,352
"10",2022-06-17 09:00:00,"2022-06-17","09","BEO-BASE","BEO","BASE","21350855",34,48,41,14
"11",2022-06-17 10:00:00,"2022-06-17","10","BEO-BASE","BEO","BASE","21350855",46,46,46,0
"12",2022-06-17 11:00:00,"2022-06-17","11","BEO-BASE","BEO","BASE","21350855",1,45,23,44
"13",2022-06-17 12:00:00,"2022-06-17","12","BEO-BASE","BEO","BASE","21350855",0,354,177,354
"14",2022-06-17 13:00:00,"2022-06-17","13","BEO-BASE","BEO","BASE","21350855",7,142,74.5,135
"15",2022-06-17 14:00:00,"2022-06-17","14","BEO-BASE","BEO","BASE","21350855",60,60,60,0
"16",2022-06-17 15:00:00,"2022-06-17","15","BEO-BASE","BEO","BASE","21350855",60,60,60,0
"17",2022-06-17 16:00:00,"2022-06-17","16","BEO-BASE","BEO","BASE","21350855",6,60,33,54
"18",2022-06-17 17:00:00,"2022-06-17","17","BEO-BASE","BEO","BASE","21350855",6,6,6,0
"19",2022-07-04 05:00:00,"2022-07-04","05","BEO-BASE","BEO","BASE","21350855",139,152,145.5,13
"20",2022-07-04 06:00:00,"2022-07-04","06","BEO-BASE","BEO","BASE","21350855",132,140,136,8
"21",2022-07-04 07:00:00,"2022-07-04","07","BEO-BASE","BEO","BASE","21350855",143,143,143,0
"22",2022-07-04 08:00:00,"2022-07-04","08","BEO-BASE","BEO","BASE","21350855",131,142,136.5,11
"23",2022-07-04 09:00:00,"2022-07-04","09","BEO-BASE","BEO","BASE","21350855",136,149,142.5,13
"24",2022-07-04 10:00:00,"2022-07-04","10","BEO-BASE","BEO","BASE","21350855",129,135,132,6
"25",2022-07-04 11:00:00,"2022-07-04","11","BEO-BASE","BEO","BASE","21350855",125,128,126.5,3
"26",2022-07-04 12:00:00,"2022-07-04","12","BEO-BASE","BEO","BASE","21350855",126,126,126,0
"27",2022-07-04 13:00:00,"2022-07-04","13","BEO-BASE","BEO","BASE","21350855",142,170,156,28
"28",2022-07-04 14:00:00,"2022-07-04","14","BEO-BASE","BEO","BASE","21350855",110,125,117.5,15
"29",2022-07-04 15:00:00,"2022-07-04","15","BEO-BASE","BEO","BASE","21350855",129,135,132,6
"30",2022-07-04 16:00:00,"2022-07-04","16","BEO-BASE","BEO","BASE","21350855",125,132,128.5,7
"31",2022-07-04 17:00:00,"2022-07-04","17","BEO-BASE","BEO","BASE","21350855",132,132,132,0
"32",2022-07-04 18:00:00,"2022-07-04","18","BEO-BASE","BEO","BASE","21350855",80,100,90,20
"33",2022-07-04 19:00:00,"2022-07-04","19","BEO-BASE","BEO","BASE","21350855",91,110,100.5,19
"34",2022-07-04 20:00:00,"2022-07-04","20","BEO-BASE","BEO","BASE","21350855",84,100,92,16
"35",2022-07-04 21:00:00,"2022-07-04","21","BEO-BASE","BEO","BASE","21350855",83,94,88.5,11
"36",2022-07-04 22:00:00,"2022-07-04","22","BEO-BASE","BEO","BASE","21350855",101,108,104.5,7
"37",2022-07-04 23:00:00,"2022-07-04","23","BEO-BASE","BEO","BASE","21350855",132,138,135,6
"38",2022-07-05,"2022-07-05","00","BEO-BASE","BEO","BASE","21350855",117,122,119.5,5
"39",2022-07-05 01:00:00,"2022-07-05","01","BEO-BASE","BEO","BASE","21350855",110,118,114,8
"40",2022-07-05 02:00:00,"2022-07-05","02","BEO-BASE","BEO","BASE","21350855",97,98,97.5,1
"41",2022-07-05 03:00:00,"2022-07-05","03","BEO-BASE","BEO","BASE","21350855",93,98,95.5,5
"42",2022-07-05 04:00:00,"2022-07-05","04","BEO-BASE","BEO","BASE","21350855",62,65,63.5,3
"43",2022-07-05 05:00:00,"2022-07-05","05","BEO-BASE","BEO","BASE","21350855",42,58,50,16
"44",2022-07-05 06:00:00,"2022-07-05","06","BEO-BASE","BEO","BASE","21350855",49,59,54,10
"45",2022-07-05 07:00:00,"2022-07-05","07","BEO-BASE","BEO","BASE","21350855",81,91,86,10
"46",2022-07-05 08:00:00,"2022-07-05","08","BEO-BASE","BEO","BASE","21350855",86,94,90,8
"47",2022-07-05 09:00:00,"2022-07-05","09","BEO-BASE","BEO","BASE","21350855",81,84,82.5,3
"48",2022-07-05 10:00:00,"2022-07-05","10","BEO-BASE","BEO","BASE","21350855",42,81,61.5,39
"49",2022-07-05 11:00:00,"2022-07-05","11","BEO-BASE","BEO","BASE","21350855",34,39,36.5,5
"50",2022-07-05 12:00:00,"2022-07-05","12","BEO-BASE","BEO","BASE","21350855",46,63,54.5,17
"51",2022-07-05 13:00:00,"2022-07-05","13","BEO-BASE","BEO","BASE","21350855",63,67,65,4
"52",2022-07-05 14:00:00,"2022-07-05","14","BEO-BASE","BEO","BASE","21350855",66,69,67.5,3
"53",2022-07-05 15:00:00,"2022-07-05","15","BEO-BASE","BEO","BASE","21350855",66,66,66,0
"54",2022-07-05 16:00:00,"2022-07-05","16","BEO-BASE","BEO","BASE","21350855",70,76,73,6
"55",2022-07-05 17:00:00,"2022-07-05","17","BEO-BASE","BEO","BASE","21350855",88,131,109.5,43
"56",2022-07-05 18:00:00,"2022-07-05","18","BEO-BASE","BEO","BASE","21350855",160,168,164,8
"57",2022-07-05 19:00:00,"2022-07-05","19","BEO-BASE","BEO","BASE","21350855",184,241,212.5,57
"58",2022-07-05 20:00:00,"2022-07-05","20","BEO-BASE","BEO","BASE","21350855",185,251,218,66
"59",2022-07-05 21:00:00,"2022-07-05","21","BEO-BASE","BEO","BASE","21350855",118,135,126.5,17
"60",2022-07-05 22:00:00,"2022-07-05","22","BEO-BASE","BEO","BASE","21350855",117,122,119.5,5
"61",2022-07-05 23:00:00,"2022-07-05","23","BEO-BASE","BEO","BASE","21350855",135,164,149.5,29
