"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-12-01,"2022-12-01","00","BEO-BASE","BEO","BASE","21350855",38,46,42,8
"2",2022-12-01 01:00:00,"2022-12-01","01","BEO-BASE","BEO","BASE","21350855",42,56,49,14
"3",2022-12-01 02:00:00,"2022-12-01","02","BEO-BASE","BEO","BASE","21350855",51,59,55,8
"4",2022-12-01 03:00:00,"2022-12-01","03","BEO-BASE","BEO","BASE","21350855",44,49,46.5,5
"5",2022-12-01 04:00:00,"2022-12-01","04","BEO-BASE","BEO","BASE","21350855",51,60,55.5,9
"6",2022-12-01 05:00:00,"2022-12-01","05","BEO-BASE","BEO","BASE","21350855",60,100,80,40
"7",2022-12-01 06:00:00,"2022-12-01","06","BEO-BASE","BEO","BASE","21350855",101,102,101.5,1
"8",2022-12-01 07:00:00,"2022-12-01","07","BEO-BASE","BEO","BASE","21350855",105,108,106.5,3
"9",2022-12-01 08:00:00,"2022-12-01","08","BEO-BASE","BEO","BASE","21350855",102,108,105,6
"10",2022-12-01 09:00:00,"2022-12-01","09","BEO-BASE","BEO","BASE","21350855",105,107,106,2
"11",2022-12-01 10:00:00,"2022-12-01","10","BEO-BASE","BEO","BASE","21350855",105,105,105,0
"12",2022-12-01 11:00:00,"2022-12-01","11","BEO-BASE","BEO","BASE","21350855",105,105,105,0
"13",2022-12-01 12:00:00,"2022-12-01","12","BEO-BASE","BEO","BASE","21350855",105,105,105,0
"14",2022-12-01 13:00:00,"2022-12-01","13","BEO-BASE","BEO","BASE","21350855",105,105,105,0
"15",2022-12-01 14:00:00,"2022-12-01","14","BEO-BASE","BEO","BASE","21350855",105,107,106,2
"16",2022-12-01 15:00:00,"2022-12-01","15","BEO-BASE","BEO","BASE","21350855",107,213,160,106
"17",2022-12-01 16:00:00,"2022-12-01","16","BEO-BASE","BEO","BASE","21350855",230,239,234.5,9
"18",2022-12-01 17:00:00,"2022-12-01","17","BEO-BASE","BEO","BASE","21350855",227,240,233.5,13
"19",2022-12-01 18:00:00,"2022-12-01","18","BEO-BASE","BEO","BASE","21350855",213,225,219,12
"20",2022-12-01 19:00:00,"2022-12-01","19","BEO-BASE","BEO","BASE","21350855",208,258,233,50
"21",2022-12-01 20:00:00,"2022-12-01","20","BEO-BASE","BEO","BASE","21350855",316,331,323.5,15
"22",2022-12-01 21:00:00,"2022-12-01","21","BEO-BASE","BEO","BASE","21350855",268,285,276.5,17
"23",2022-12-01 22:00:00,"2022-12-01","22","BEO-BASE","BEO","BASE","21350855",271,281,276,10
"24",2022-12-01 23:00:00,"2022-12-01","23","BEO-BASE","BEO","BASE","21350855",272,274,273,2
"25",2022-12-02,"2022-12-02","00","BEO-BASE","BEO","BASE","21350855",267,274,270.5,7
"26",2022-12-02 01:00:00,"2022-12-02","01","BEO-BASE","BEO","BASE","21350855",260,263,261.5,3
