"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-09-01,"2022-09-01","00","BEO-BASE","BEO","BASE","21350915",7,7,7,0
"2",2022-09-01 01:00:00,"2022-09-01","01","BEO-BASE","BEO","BASE","21350915",7.5,7.5,7.5,0
"3",2022-09-01 02:00:00,"2022-09-01","02","BEO-BASE","BEO","BASE","21350915",7.5,7.5,7.5,0
"4",2022-09-01 03:00:00,"2022-09-01","03","BEO-BASE","BEO","BASE","21350915",7.5,7.5,7.5,0
"5",2022-09-01 04:00:00,"2022-09-01","04","BEO-BASE","BEO","BASE","21350915",7,7.5,7.25,0.5
"6",2022-09-01 05:00:00,"2022-09-01","05","BEO-BASE","BEO","BASE","21350915",6.5,7,6.75,0.5
"7",2022-09-01 06:00:00,"2022-09-01","06","BEO-BASE","BEO","BASE","21350915",6,6.5,6.25,0.5
"8",2022-09-01 07:00:00,"2022-09-01","07","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"9",2022-09-01 08:00:00,"2022-09-01","08","BEO-BASE","BEO","BASE","21350915",6.5,6.5,6.5,0
"10",2022-09-01 09:00:00,"2022-09-01","09","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"11",2022-09-01 10:00:00,"2022-09-01","10","BEO-BASE","BEO","BASE","21350915",6,6.5,6.25,0.5
"12",2022-09-01 11:00:00,"2022-09-01","11","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"13",2022-09-01 12:00:00,"2022-09-01","12","BEO-BASE","BEO","BASE","21350915",6,6.5,6.25,0.5
"14",2022-09-01 13:00:00,"2022-09-01","13","BEO-BASE","BEO","BASE","21350915",6.5,6.5,6.5,0
"15",2022-09-01 14:00:00,"2022-09-01","14","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"16",2022-09-01 15:00:00,"2022-09-01","15","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"17",2022-09-01 16:00:00,"2022-09-01","16","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"18",2022-09-01 17:00:00,"2022-09-01","17","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"19",2022-09-01 18:00:00,"2022-09-01","18","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"20",2022-09-01 19:00:00,"2022-09-01","19","BEO-BASE","BEO","BASE","21350915",6,6.5,6.25,0.5
