"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2023-03-05 04:00:00,"2023-03-05","04","BEO-BASE","BEO","BASE","21350915",5.5,5.5,5.5,0
"2",2023-03-05 10:00:00,"2023-03-05","10","BEO-BASE","BEO","BASE","21350915",8.6,8.6,8.6,0
"3",2023-03-05 16:00:00,"2023-03-05","16","BEO-BASE","BEO","BASE","21350915",9.6,9.6,9.6,0
"4",2023-03-05 22:00:00,"2023-03-05","22","BEO-BASE","BEO","BASE","21350915",10.1,10.1,10.1,0
"5",2023-03-06 04:00:00,"2023-03-06","04","BEO-BASE","BEO","BASE","21350915",8.6,8.6,8.6,0
"6",2023-03-06 10:00:00,"2023-03-06","10","BEO-BASE","BEO","BASE","21350915",6.5,6.5,6.5,0
"7",2023-03-06 16:00:00,"2023-03-06","16","BEO-BASE","BEO","BASE","21350915",5.5,5.5,5.5,0
"8",2023-03-06 22:00:00,"2023-03-06","22","BEO-BASE","BEO","BASE","21350915",7,7,7,0
"9",2023-03-07 04:00:00,"2023-03-07","04","BEO-BASE","BEO","BASE","21350915",7,7,7,0
"10",2023-03-07 10:00:00,"2023-03-07","10","BEO-BASE","BEO","BASE","21350915",4,4,4,0
"11",2023-03-07 16:00:00,"2023-03-07","16","BEO-BASE","BEO","BASE","21350915",1,1,1,0
"12",2023-03-07 22:00:00,"2023-03-07","22","BEO-BASE","BEO","BASE","21350915",1.5,1.5,1.5,0
"13",2023-03-08 04:00:00,"2023-03-08","04","BEO-BASE","BEO","BASE","21350915",3.5,3.5,3.5,0
"14",2023-03-08 10:00:00,"2023-03-08","10","BEO-BASE","BEO","BASE","21350915",3.5,3.5,3.5,0
"15",2023-03-08 16:00:00,"2023-03-08","16","BEO-BASE","BEO","BASE","21350915",3,3,3,0
"16",2023-03-08 22:00:00,"2023-03-08","22","BEO-BASE","BEO","BASE","21350915",7.5,7.5,7.5,0
"17",2023-03-09 04:00:00,"2023-03-09","04","BEO-BASE","BEO","BASE","21350915",8.6,8.6,8.6,0
"18",2023-03-09 10:00:00,"2023-03-09","10","BEO-BASE","BEO","BASE","21350915",8.1,8.1,8.1,0
"19",2023-03-09 16:00:00,"2023-03-09","16","BEO-BASE","BEO","BASE","21350915",4.5,4.5,4.5,0
