"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2023-06-01,"2023-06-01","00","BEO-BASE","BEO","BASE","21350915",6.5,6.5,6.5,0
"2",2023-06-01 01:00:00,"2023-06-01","01","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"3",2023-06-01 02:00:00,"2023-06-01","02","BEO-BASE","BEO","BASE","21350915",5,5,5,0
"4",2023-06-01 03:00:00,"2023-06-01","03","BEO-BASE","BEO","BASE","21350915",4,4,4,0
"5",2023-06-01 04:00:00,"2023-06-01","04","BEO-BASE","BEO","BASE","21350915",3.5,3.5,3.5,0
"6",2023-06-01 05:00:00,"2023-06-01","05","BEO-BASE","BEO","BASE","21350915",5,5,5,0
"7",2023-06-01 06:00:00,"2023-06-01","06","BEO-BASE","BEO","BASE","21350915",3.5,3.5,3.5,0
"8",2023-06-01 07:00:00,"2023-06-01","07","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"9",2023-06-01 08:00:00,"2023-06-01","08","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"10",2023-06-01 09:00:00,"2023-06-01","09","BEO-BASE","BEO","BASE","21350915",2,2,2,0
"11",2023-06-01 10:00:00,"2023-06-01","10","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"12",2023-06-01 11:00:00,"2023-06-01","11","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"13",2023-06-01 12:00:00,"2023-06-01","12","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"14",2023-06-01 13:00:00,"2023-06-01","13","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"15",2023-06-01 14:00:00,"2023-06-01","14","BEO-BASE","BEO","BASE","21350915",3,3,3,0
"16",2023-06-01 15:00:00,"2023-06-01","15","BEO-BASE","BEO","BASE","21350915",3,3,3,0
"17",2023-06-01 16:00:00,"2023-06-01","16","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"18",2023-06-01 17:00:00,"2023-06-01","17","BEO-BASE","BEO","BASE","21350915",2,2,2,0
"19",2023-06-01 18:00:00,"2023-06-01","18","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"20",2023-06-01 19:00:00,"2023-06-01","19","BEO-BASE","BEO","BASE","21350915",4,4,4,0
