"","Date","day","hour","fullname","site","station","sensor","min","max","avg","amp"
"1",2022-12-01,"2022-12-01","00","BEO-BASE","BEO","BASE","21350915",2,2.5,2.25,0.5
"2",2022-12-01 01:00:00,"2022-12-01","01","BEO-BASE","BEO","BASE","21350915",1,1.5,1.25,0.5
"3",2022-12-01 02:00:00,"2022-12-01","02","BEO-BASE","BEO","BASE","21350915",2,2.5,2.25,0.5
"4",2022-12-01 03:00:00,"2022-12-01","03","BEO-BASE","BEO","BASE","21350915",2,2,2,0
"5",2022-12-01 04:00:00,"2022-12-01","04","BEO-BASE","BEO","BASE","21350915",2.5,3,2.75,0.5
"6",2022-12-01 05:00:00,"2022-12-01","05","BEO-BASE","BEO","BASE","21350915",2,3,2.5,1
"7",2022-12-01 06:00:00,"2022-12-01","06","BEO-BASE","BEO","BASE","21350915",3,3.5,3.25,0.5
"8",2022-12-01 07:00:00,"2022-12-01","07","BEO-BASE","BEO","BASE","21350915",3,3.5,3.25,0.5
"9",2022-12-01 08:00:00,"2022-12-01","08","BEO-BASE","BEO","BASE","21350915",2,2.5,2.25,0.5
"10",2022-12-01 09:00:00,"2022-12-01","09","BEO-BASE","BEO","BASE","21350915",2,2.5,2.25,0.5
"11",2022-12-01 10:00:00,"2022-12-01","10","BEO-BASE","BEO","BASE","21350915",1,1.5,1.25,0.5
"12",2022-12-01 11:00:00,"2022-12-01","11","BEO-BASE","BEO","BASE","21350915",0.5,0.5,0.5,0
"13",2022-12-01 12:00:00,"2022-12-01","12","BEO-BASE","BEO","BASE","21350915",0,0,0,0
"14",2022-12-01 13:00:00,"2022-12-01","13","BEO-BASE","BEO","BASE","21350915",0,0,0,0
"15",2022-12-01 14:00:00,"2022-12-01","14","BEO-BASE","BEO","BASE","21350915",0,1,0.5,1
"16",2022-12-01 15:00:00,"2022-12-01","15","BEO-BASE","BEO","BASE","21350915",1,1.5,1.25,0.5
"17",2022-12-01 16:00:00,"2022-12-01","16","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"18",2022-12-01 17:00:00,"2022-12-01","17","BEO-BASE","BEO","BASE","21350915",3,3.5,3.25,0.5
"19",2022-12-01 18:00:00,"2022-12-01","18","BEO-BASE","BEO","BASE","21350915",2.5,2.5,2.5,0
"20",2022-12-01 19:00:00,"2022-12-01","19","BEO-BASE","BEO","BASE","21350915",1,2,1.5,1
"21",2022-12-01 20:00:00,"2022-12-01","20","BEO-BASE","BEO","BASE","21350915",2,4,3,2
"22",2022-12-01 21:00:00,"2022-12-01","21","BEO-BASE","BEO","BASE","21350915",0.5,3.5,2,3
"23",2022-12-01 22:00:00,"2022-12-01","22","BEO-BASE","BEO","BASE","21350915",4,5,4.5,1
"24",2022-12-01 23:00:00,"2022-12-01","23","BEO-BASE","BEO","BASE","21350915",5,5,5,0
"25",2022-12-02,"2022-12-02","00","BEO-BASE","BEO","BASE","21350915",5,5.5,5.25,0.5
"26",2022-12-02 01:00:00,"2022-12-02","01","BEO-BASE","BEO","BASE","21350915",4.5,4.5,4.5,0
"27",2022-12-02 02:00:00,"2022-12-02","02","BEO-BASE","BEO","BASE","21350915",5,5,5,0
"28",2022-12-02 03:00:00,"2022-12-02","03","BEO-BASE","BEO","BASE","21350915",5,5.5,5.25,0.5
"29",2022-12-02 04:00:00,"2022-12-02","04","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"30",2022-12-02 05:00:00,"2022-12-02","05","BEO-BASE","BEO","BASE","21350915",5.5,6,5.75,0.5
"31",2022-12-02 06:00:00,"2022-12-02","06","BEO-BASE","BEO","BASE","21350915",5.5,6.5,6,1
"32",2022-12-02 07:00:00,"2022-12-02","07","BEO-BASE","BEO","BASE","21350915",6,6,6,0
"33",2022-12-02 08:00:00,"2022-12-02","08","BEO-BASE","BEO","BASE","21350915",6.5,6.5,6.5,0
"34",2022-12-02 09:00:00,"2022-12-02","09","BEO-BASE","BEO","BASE","21350915",6,6.5,6.25,0.5
"35",2022-12-02 10:00:00,"2022-12-02","10","BEO-BASE","BEO","BASE","21350915",8.1,8.1,8.1,0
"36",2022-12-02 11:00:00,"2022-12-02","11","BEO-BASE","BEO","BASE","21350915",7.5,8.1,7.8,0.6
"37",2022-12-02 12:00:00,"2022-12-02","12","BEO-BASE","BEO","BASE","21350915",7.5,8.6,8.05,1.1
"38",2022-12-02 13:00:00,"2022-12-02","13","BEO-BASE","BEO","BASE","21350915",9.1,9.1,9.1,0
"39",2022-12-02 14:00:00,"2022-12-02","14","BEO-BASE","BEO","BASE","21350915",9.6,9.6,9.6,0
"40",2022-12-02 15:00:00,"2022-12-02","15","BEO-BASE","BEO","BASE","21350915",9.6,10.1,9.85,0.5
"41",2022-12-02 16:00:00,"2022-12-02","16","BEO-BASE","BEO","BASE","21350915",9.1,9.6,9.35,0.5
"42",2022-12-02 17:00:00,"2022-12-02","17","BEO-BASE","BEO","BASE","21350915",8.6,9.1,8.85,0.5
"43",2022-12-02 18:00:00,"2022-12-02","18","BEO-BASE","BEO","BASE","21350915",8.1,9.1,8.6,1
"44",2022-12-02 19:00:00,"2022-12-02","19","BEO-BASE","BEO","BASE","21350915",8.1,8.1,8.1,0
"45",2022-12-02 20:00:00,"2022-12-02","20","BEO-BASE","BEO","BASE","21350915",7.5,8.1,7.8,0.6
"46",2022-12-02 21:00:00,"2022-12-02","21","BEO-BASE","BEO","BASE","21350915",8.1,8.1,8.1,0
"47",2022-12-02 22:00:00,"2022-12-02","22","BEO-BASE","BEO","BASE","21350915",8.1,8.1,8.1,0
"48",2022-12-02 23:00:00,"2022-12-02","23","BEO-BASE","BEO","BASE","21350915",7.5,8.6,8.05,1.1
"49",2022-12-03,"2022-12-03","00","BEO-BASE","BEO","BASE","21350915",9.1,9.6,9.35,0.5
"50",2022-12-03 01:00:00,"2022-12-03","01","BEO-BASE","BEO","BASE","21350915",9.6,9.6,9.6,0
"51",2022-12-03 02:00:00,"2022-12-03","02","BEO-BASE","BEO","BASE","21350915",9.1,9.1,9.1,0
"52",2022-12-03 03:00:00,"2022-12-03","03","BEO-BASE","BEO","BASE","21350915",9.1,9.6,9.35,0.5
"53",2022-12-03 04:00:00,"2022-12-03","04","BEO-BASE","BEO","BASE","21350915",9.6,9.6,9.6,0
"54",2022-12-03 05:00:00,"2022-12-03","05","BEO-BASE","BEO","BASE","21350915",8.1,8.6,8.35,0.5
"55",2022-12-03 06:00:00,"2022-12-03","06","BEO-BASE","BEO","BASE","21350915",5.5,6.5,6,1
"56",2022-12-03 07:00:00,"2022-12-03","07","BEO-BASE","BEO","BASE","21350915",5,5.5,5.25,0.5
"57",2022-12-03 08:00:00,"2022-12-03","08","BEO-BASE","BEO","BASE","21350915",5,5,5,0
"58",2022-12-03 09:00:00,"2022-12-03","09","BEO-BASE","BEO","BASE","21350915",5,5,5,0
"59",2022-12-03 10:00:00,"2022-12-03","10","BEO-BASE","BEO","BASE","21350915",5,5.5,5.25,0.5
"60",2022-12-03 11:00:00,"2022-12-03","11","BEO-BASE","BEO","BASE","21350915",5.5,5.5,5.5,0
"61",2022-12-03 12:00:00,"2022-12-03","12","BEO-BASE","BEO","BASE","21350915",4.5,4.5,4.5,0
"62",2022-12-03 13:00:00,"2022-12-03","13","BEO-BASE","BEO","BASE","21350915",4.5,5,4.75,0.5
"63",2022-12-03 14:00:00,"2022-12-03","14","BEO-BASE","BEO","BASE","21350915",4.5,4.5,4.5,0
"64",2022-12-03 15:00:00,"2022-12-03","15","BEO-BASE","BEO","BASE","21350915",3.5,4,3.75,0.5
"65",2022-12-03 16:00:00,"2022-12-03","16","BEO-BASE","BEO","BASE","21350915",2.5,3,2.75,0.5
