"","date","hour","fullname","site","station","grounddepth","groundtemp","vwcdepth","vwc","airtemp","solar","windspeed","winddir"
"1","2022-05-17",23,"TNHA-BASE","TNHA","BASE",7,21.7663143433212,1,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"2","2022-05-17",23,"TNHA-BASE","TNHA","BASE",8,21.7646302415666,1,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"3","2022-05-17",23,"TNHA-BASE","TNHA","BASE",9,21.741776138752,2,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"4","2022-05-17",23,"TNHA-BASE","TNHA","BASE",10,22.5318181818182,3,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"5","2022-05-17",23,"TNHA-BASE","TNHA","BASE",11,22.5318181818182,3,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"6","2022-05-17",23,"TNHA-BASE","TNHA","BASE",12,21.697967824911,4,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"7","2022-05-17",23,"TNHA-BASE","TNHA","BASE",13,21.7013994224001,4,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"8","2022-05-17",23,"TNHA-BASE","TNHA","BASE",14,21.6842236132665,5,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"9","2022-05-17",23,"TNHA-BASE","TNHA","BASE",15,21.688237943049,6,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"10","2022-05-17",23,"TNHA-BASE","TNHA","BASE",16,21.6784527292959,6,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"11","2022-05-17",23,"TNHA-BASE","TNHA","BASE",17,21.67694005655,6,NA,21.8860943871796,1,0.882214936247723,248.264626593807
"12","2022-05-17",23,"TNHA-SA","TNHA","SA",7,21.7697431535939,1,NA,21.723676377991,1,0.408914643924484,179.098622348568
"13","2022-05-17",23,"TNHA-SA","TNHA","SA",8,21.759542002049,1,NA,21.723676377991,1,0.408914643924484,179.098622348568
"14","2022-05-17",23,"TNHA-SA","TNHA","SA",9,21.7561936086158,2,NA,21.723676377991,1,0.408914643924484,179.098622348568
"15","2022-05-17",23,"TNHA-SA","TNHA","SA",10,21.7481062264805,3,NA,21.723676377991,1,0.408914643924484,179.098622348568
"16","2022-05-17",23,"TNHA-SA","TNHA","SA",11,21.7352581982764,3,NA,21.723676377991,1,0.408914643924484,179.098622348568
"17","2022-05-17",23,"TNHA-SA","TNHA","SA",12,21.7346075872763,4,NA,21.723676377991,1,0.408914643924484,179.098622348568
"18","2022-05-17",23,"TNHA-SA","TNHA","SA",13,21.7171542721029,4,NA,21.723676377991,1,0.408914643924484,179.098622348568
"19","2022-05-17",23,"TNHA-SA","TNHA","SA",14,21.6984678090016,5,NA,21.723676377991,1,0.408914643924484,179.098622348568
"20","2022-05-17",23,"TNHA-SA","TNHA","SA",15,21.6962502787293,6,NA,21.723676377991,1,0.408914643924484,179.098622348568
"21","2022-05-17",23,"TNHA-SA","TNHA","SA",16,21.6729050180096,6,NA,21.723676377991,1,0.408914643924484,179.098622348568
"22","2022-05-17",23,"TNHA-SA","TNHA","SA",17,21.6531187548844,6,NA,21.723676377991,1,0.408914643924484,179.098622348568
"23","2022-05-17",23,"TNHA-SB","TNHA","SB",7,21.7322386775027,1,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"24","2022-05-17",23,"TNHA-SB","TNHA","SB",8,21.7466989432957,1,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"25","2022-05-17",23,"TNHA-SB","TNHA","SB",9,21.7511536474214,2,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"26","2022-05-17",23,"TNHA-SB","TNHA","SB",10,21.7303763981588,3,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"27","2022-05-17",23,"TNHA-SB","TNHA","SB",11,21.74168097007,3,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"28","2022-05-17",23,"TNHA-SB","TNHA","SB",12,21.730482008266,4,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"29","2022-05-17",23,"TNHA-SB","TNHA","SB",13,21.7212641790985,4,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"30","2022-05-17",23,"TNHA-SB","TNHA","SB",14,21.7227287918967,5,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"31","2022-05-17",23,"TNHA-SB","TNHA","SB",15,21.7120682944853,6,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"32","2022-05-17",23,"TNHA-SB","TNHA","SB",16,21.7066058277404,6,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"33","2022-05-17",23,"TNHA-SB","TNHA","SB",17,21.6994721403489,6,NA,21.7568477421669,1,0.224537540805223,259.044205658324
"34","2022-05-17",23,"TNHA-SC","TNHA","SC",7,21.7558514341609,1,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"35","2022-05-17",23,"TNHA-SC","TNHA","SC",8,21.7288793082107,1,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"36","2022-05-17",23,"TNHA-SC","TNHA","SC",9,21.728580001536,2,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"37","2022-05-17",23,"TNHA-SC","TNHA","SC",10,21.7038762441223,3,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"38","2022-05-17",23,"TNHA-SC","TNHA","SC",11,21.7071159078933,3,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"39","2022-05-17",23,"TNHA-SC","TNHA","SC",12,21.6894924726609,4,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"40","2022-05-17",23,"TNHA-SC","TNHA","SC",13,21.6988081576561,4,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"41","2022-05-17",23,"TNHA-SC","TNHA","SC",14,21.6798389787646,5,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"42","2022-05-17",23,"TNHA-SC","TNHA","SC",15,21.6694280956916,6,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"43","2022-05-17",23,"TNHA-SC","TNHA","SC",16,21.6766033330136,6,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"44","2022-05-17",23,"TNHA-SC","TNHA","SC",17,21.65817594646,6,NA,21.7099693854548,1,1.47489978864514,179.669411850448
"45","2022-05-17",23,"TNHA-SD","TNHA","SD",7,21.7444488043271,1,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"46","2022-05-17",23,"TNHA-SD","TNHA","SD",8,21.7528362934849,1,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"47","2022-05-17",23,"TNHA-SD","TNHA","SD",9,21.7313150423677,2,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"48","2022-05-17",23,"TNHA-SD","TNHA","SD",10,21.6821828454849,3,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"49","2022-05-17",23,"TNHA-SD","TNHA","SD",11,21.7087359666199,3,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"50","2022-05-17",23,"TNHA-SD","TNHA","SD",12,21.7018160287765,4,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"51","2022-05-17",23,"TNHA-SD","TNHA","SD",13,21.696609881753,4,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"52","2022-05-17",23,"TNHA-SD","TNHA","SD",14,21.6815560473858,5,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"53","2022-05-17",23,"TNHA-SD","TNHA","SD",15,21.6790973707903,6,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"54","2022-05-17",23,"TNHA-SD","TNHA","SD",16,21.6810077211526,6,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"55","2022-05-17",23,"TNHA-SD","TNHA","SD",17,21.6625188161293,6,NA,21.7811811215991,1,1.07165453970263,182.033196332596
"56","2022-05-17",23,"TNHA-SE","TNHA","SE",7,21.700876305281,1,NA,NA,NA,NA,NA
"57","2022-05-17",23,"TNHA-SE","TNHA","SE",8,21.6972999110273,1,NA,NA,NA,NA,NA
"58","2022-05-17",23,"TNHA-SE","TNHA","SE",9,21.6895840160077,2,NA,NA,NA,NA,NA
