"","date","hour","fullname","site","station","grounddepth","groundtemp","vwcdepth","vwc","airtemp","solar","windspeed","winddir"
"1","2024-12-01",0,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"2","2024-12-01",0,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"3","2024-12-01",0,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,323
"4","2024-12-01",0,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0.3,88
"5","2024-12-01",0,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.06,154
"6","2024-12-01",1,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"7","2024-12-01",1,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"8","2024-12-01",1,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,351.2
"9","2024-12-01",1,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,111
"10","2024-12-01",1,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,120
"11","2024-12-01",2,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"12","2024-12-01",2,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"13","2024-12-01",2,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,351.2
"14","2024-12-01",2,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,111
"15","2024-12-01",2,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,120
"16","2024-12-01",3,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"17","2024-12-01",3,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"18","2024-12-01",3,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,351.2
"19","2024-12-01",3,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,111
"20","2024-12-01",3,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,120
"21","2024-12-01",4,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"22","2024-12-01",4,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"23","2024-12-01",4,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"24","2024-12-01",4,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0.3,312
"25","2024-12-01",4,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.06,105.2
"26","2024-12-01",5,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"27","2024-12-01",5,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"28","2024-12-01",5,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"29","2024-12-01",5,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,312
"30","2024-12-01",5,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,105.2
"31","2024-12-01",6,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"32","2024-12-01",6,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"33","2024-12-01",6,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"34","2024-12-01",6,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,312
"35","2024-12-01",6,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,105.2
"36","2024-12-01",7,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"37","2024-12-01",7,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"38","2024-12-01",7,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"39","2024-12-01",7,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,312
"40","2024-12-01",7,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,105.2
"41","2024-12-01",8,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"42","2024-12-01",8,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"43","2024-12-01",8,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"44","2024-12-01",8,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,312
"45","2024-12-01",8,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,105.2
"46","2024-12-01",9,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
"47","2024-12-01",9,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,323
"48","2024-12-01",9,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,300
"49","2024-12-01",9,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,312
"50","2024-12-01",9,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,105.2
"51","2024-12-01",10,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,313
