Line#,Date,"Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1"
1,09/21/22 00:00:00,128.830,6.07,,,,,,,6.577,8.057,9.86,7.29,6.54,5.60
2,09/21/22 00:05:00,128.830,6.17,,,,,,,6.234,6.898,8.17,6.65,6.30,5.53
3,09/21/22 00:10:00,128.830,6.15,,,,,,,5.998,6.663,7.81,6.48,6.09,5.47
4,09/21/22 00:15:00,128.830,5.96,,,,,,,5.848,6.791,8.58,6.65,6.11,5.60
5,09/21/22 00:20:00,128.830,5.85,,,,,,,5.762,6.598,8.66,6.71,5.85,5.53
6,09/21/22 00:25:00,128.830,5.83,,,,,,,5.612,6.405,9.26,6.99,6.00,5.66
7,09/21/22 00:30:00,128.830,5.87,,,,,,,5.633,6.255,9.26,6.93,5.92,5.64
8,09/21/22 00:35:00,128.830,5.94,,,,,,,5.633,6.319,8.34,6.43,6.02,5.75
9,09/21/22 00:40:00,128.830,5.96,,,,,,,5.569,6.191,7.93,6.09,6.05,5.81
10,09/21/22 00:45:00,128.830,5.94,,,,,,,5.504,6.191,7.50,6.20,6.00,5.77
11,09/21/22 00:50:00,128.830,5.92,,,,,,,5.483,6.019,7.35,5.94,5.83,5.85
12,09/21/22 00:55:00,128.830,5.85,,,,,,,5.376,5.762,6.90,5.85,5.64,5.83
13,09/21/22 01:00:00,128.830,5.83,,,,,,,5.290,5.719,6.58,5.87,5.53,5.79
14,09/21/22 01:05:00,128.830,5.75,,,,,,,5.204,5.762,6.43,5.81,5.60,5.72
15,09/21/22 01:10:00,128.830,5.64,,,,,,,5.140,5.676,6.24,6.07,5.53,5.68
16,09/21/22 01:15:00,128.830,5.64,,,,,,,5.097,5.612,5.92,5.49,5.51,5.53
17,09/21/22 01:20:00,128.830,5.60,,,,,,,5.054,5.290,5.42,4.97,5.12,5.02
18,09/21/22 01:25:00,128.830,5.55,,,,,,,5.032,5.097,5.64,4.72,4.87,4.48
19,09/21/22 01:30:00,128.830,4.95,,,,,,,5.097,5.032,5.66,4.54,4.67,4.35
20,09/21/22 01:35:00,128.830,4.46,,,,,,,5.075,5.075,5.42,4.67,4.67,4.44
21,09/21/22 01:40:00,128.830,4.37,,,,,,,5.075,4.990,5.40,4.72,4.63,4.37
22,09/21/22 01:45:00,128.830,4.39,,,,,,,4.990,4.968,5.66,4.44,4.48,4.16
23,09/21/22 01:50:00,128.830,4.44,,,,,,,4.947,4.947,5.92,4.39,4.29,4.07
24,09/21/22 01:55:00,128.830,4.52,,,,,,,4.882,4.625,6.11,3.97,3.86,3.86
25,09/21/22 02:00:00,128.830,4.59,,,,,,,4.839,4.539,5.98,3.92,3.84,3.77
26,09/21/22 02:05:00,128.830,4.61,,,,,,,4.797,4.432,6.02,4.14,3.92,3.90
27,09/21/22 02:10:00,128.830,4.61,,,,,,,4.775,4.518,5.96,4.18,4.01,3.86
28,09/21/22 02:15:00,128.830,4.67,,,,,,,4.775,4.475,5.38,4.31,4.09,3.97
29,09/21/22 02:20:00,128.830,4.61,,,,,,,4.754,4.496,4.93,4.35,4.16,4.03
30,09/21/22 02:25:00,128.830,4.24,,,,,,,4.732,4.475,4.67,4.39,4.22,4.12
31,09/21/22 02:30:00,128.830,4.14,,,,,,,4.711,4.432,4.54,4.33,4.20,4.09
32,09/21/22 02:35:00,128.830,4.07,,,,,,,4.689,4.368,4.44,4.20,4.18,4.05
33,09/21/22 02:40:00,128.830,4.03,,,,,,,4.689,4.282,4.42,4.12,4.09,3.94
34,09/21/22 02:45:00,128.830,3.94,,,,,,,4.668,4.239,4.31,4.05,3.99,3.94
35,09/21/22 02:50:00,128.830,3.94,,,,,,,4.625,4.196,4.22,4.01,4.01,3.92
36,09/21/22 02:55:00,128.830,3.92,,,,,,,4.646,4.067,4.24,3.99,3.99,4.37
37,09/21/22 03:00:00,128.830,3.88,,,,,,,4.346,4.024,4.16,3.94,3.94,4.16
38,09/21/22 03:05:00,128.830,3.79,,,,,,,4.368,4.024,4.16,3.92,3.84,3.82
39,09/21/22 03:10:00,128.830,3.77,,,,,,,4.282,4.132,4.33,3.92,3.82,3.75
40,09/21/22 03:15:00,128.830,3.79,,,,,,,4.239,4.067,4.31,3.97,3.82,3.79
41,09/21/22 03:20:00,128.830,3.75,,,,,,,4.196,4.003,4.24,3.86,3.86,3.73
42,09/21/22 03:25:00,128.830,3.64,,,,,,,4.132,4.003,4.20,3.75,3.79,3.73
43,09/21/22 03:30:00,128.830,3.52,,,,,,,4.110,3.917,4.09,3.71,3.84,3.71
44,09/21/22 03:35:00,128.830,3.54,,,,,,,4.153,3.831,4.03,3.73,3.79,3.75
45,09/21/22 03:40:00,128.830,3.56,,,,,,,4.024,3.874,4.12,3.71,3.75,3.71
46,09/21/22 03:45:00,128.830,3.56,,,,,,,3.853,3.831,3.99,3.60,3.71,3.64
47,09/21/22 03:50:00,128.830,3.56,,,,,,,3.831,3.789,3.90,3.64,3.62,3.67
48,09/21/22 03:55:00,128.830,3.60,,,,,,,3.681,3.703,3.82,3.60,3.64,3.69
49,09/21/22 04:00:00,128.830,3.52,,,,,,,3.703,3.660,3.82,3.67,3.67,3.71
50,09/21/22 04:05:00,128.830,3.49,,,,,,,3.638,3.660,3.90,3.73,3.62,3.67
51,09/21/22 04:10:00,128.830,3.60,,,,,,,3.553,3.531,3.88,3.97,3.34,3.60
52,09/21/22 04:15:00,128.830,3.71,,,,,,,3.360,3.338,3.69,3.64,3.30,3.54
53,09/21/22 04:20:00,128.830,3.47,,,,,,,3.231,3.295,3.56,3.36,3.26,3.43
54,09/21/22 04:25:00,128.830,3.41,,,,,,,3.124,3.209,3.47,3.26,3.17,3.36
55,09/21/22 04:30:00,128.830,3.43,,,,,,,3.016,3.209,3.45,3.06,3.21,3.24
56,09/21/22 04:35:00,128.830,3.21,,,,,,,2.845,3.102,3.41,3.06,3.13,3.30
57,09/21/22 04:40:00,128.830,3.04,,,,,,,2.652,3.081,3.36,2.98,3.11,3.34
58,09/21/22 04:45:00,128.830,2.98,,,,,,,2.609,2.909,3.13,3.04,3.00,3.36
59,09/21/22 04:50:00,128.830,2.94,,,,,,,2.266,2.823,3.02,2.89,2.81,3.45
60,09/21/22 04:55:00,128.830,2.81,,,,,,,2.137,2.459,2.74,2.72,2.49,3.21
61,09/21/22 05:00:00,128.830,2.64,,,,,,,2.137,2.287,2.51,2.46,2.36,2.98
62,09/21/22 05:05:00,128.830,2.31,,,,,,,2.266,2.373,2.55,2.53,2.42,2.91
63,09/21/22 05:10:00,128.830,2.23,,,,,,,2.394,2.566,2.64,2.57,2.55,2.87
64,09/21/22 05:15:00,128.830,2.21,,,,,,,2.416,2.695,2.76,2.83,2.72,2.85
65,09/21/22 05:20:00,128.830,2.29,,,,,,,2.330,2.866,2.87,2.89,2.89,2.89
66,09/21/22 05:25:00,128.830,2.34,,,,,,,2.287,3.038,3.06,3.02,3.06,2.96
67,09/21/22 05:30:00,128.830,2.49,,,,,,,2.158,3.209,3.21,3.28,3.26,3.09
68,09/21/22 05:35:00,128.830,2.61,,,,,,,2.223,3.338,3.32,3.39,3.36,3.17
69,09/21/22 05:40:00,128.830,2.70,,,,,,,2.201,3.424,3.43,3.45,3.39,3.21
70,09/21/22 05:45:00,128.830,2.74,,,,,,,2.244,3.445,3.47,3.41,3.45,3.24
71,09/21/22 05:50:00,128.830,2.72,,,,,,,2.416,3.360,3.41,3.49,3.43,3.28
72,09/21/22 05:55:00,128.830,2.72,,,,,,,2.566,3.295,3.36,3.43,3.32,3.21
73,09/21/22 06:00:00,128.830,2.76,,,,,,,2.609,3.295,3.39,3.56,3.28,3.24
74,09/21/22 06:05:00,128.830,2.76,,,,,,,2.566,3.209,3.32,3.41,3.17,3.17
75,09/21/22 06:10:00,128.830,2.83,,,,,,,2.545,3.231,3.26,3.28,3.15,3.15
76,09/21/22 06:15:00,128.830,2.87,,,,,,,2.566,3.295,3.32,3.26,3.26,3.11
77,09/21/22 06:20:00,128.830,2.79,,,,,,,2.523,3.424,3.47,3.60,3.41,3.13
78,09/21/22 06:25:00,128.830,2.76,,,,,,,2.630,3.531,3.52,3.56,3.49,3.24
79,09/21/22 06:30:00,128.830,2.79,,,,,,,2.716,3.660,3.60,3.52,3.58,3.21
80,09/21/22 06:35:00,128.830,2.83,,,,,,,2.738,3.681,3.64,3.58,3.67,3.24
