Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
1,09/21/22 00:00:00,238,43,24,267,463,74,77,,,,,,,,296
2,09/21/22 00:05:00,131,36,22,149,234,64,63,,,,,,,,139
3,09/21/22 00:10:00,191,37,21,154,238,72,63,,,,,,,,144
4,09/21/22 00:15:00,158,43,24,188,281,81,64,,,,,,,,157
5,09/21/22 00:20:00,302,48,28,246,379,84,72,,,,,,,,157
6,09/21/22 00:25:00,362,53,37,281,413,89,77,,,,,,,,149
7,09/21/22 00:30:00,133,54,46,212,299,92,79,,,,,,,,144
8,09/21/22 00:35:00,113,52,47,129,132,86,77,,,,,,,,139
9,09/21/22 00:40:00,106,53,49,119,108,82,77,,,,,,,,131
10,09/21/22 00:45:00,104,53,52,117,97,81,76,,,,,,,,122
11,09/21/22 00:50:00,101,52,53,114,92,81,76,,,,,,,,116
12,09/21/22 00:55:00,93,49,52,107,79,77,71,,,,,,,,109
13,09/21/22 01:00:00,86,48,53,98,68,71,66,,,,,,,,101
14,09/21/22 01:05:00,76,46,52,87,56,63,62,,,,,,,,97
15,09/21/22 01:10:00,69,44,49,81,49,57,59,,,,,,,,91
16,09/21/22 01:15:00,64,42,47,76,44,53,56,,,,,,,,86
17,09/21/22 01:20:00,62,39,43,69,41,48,54,,,,,,,,82
18,09/21/22 01:25:00,58,38,39,66,39,46,52,,,,,,,,77
19,09/21/22 01:30:00,54,36,37,61,37,43,48,,,,,,,,71
20,09/21/22 01:35:00,53,34,34,58,37,39,46,,,,,,,,64
21,09/21/22 01:40:00,53,32,33,58,37,38,43,,,,,,,,61
22,09/21/22 01:45:00,52,32,33,57,36,38,42,,,,,,,,57
23,09/21/22 01:50:00,49,31,33,54,33,37,41,,,,,,,,56
24,09/21/22 01:55:00,47,29,33,52,31,36,39,,,,,,,,54
25,09/21/22 02:00:00,43,28,31,49,28,33,37,,,,,,,,52
26,09/21/22 02:05:00,41,26,28,47,28,32,34,,,,,,,,51
27,09/21/22 02:10:00,41,26,27,46,29,29,33,,,,,,,,52
28,09/21/22 02:15:00,39,24,26,43,29,28,31,,,,,,,,49
29,09/21/22 02:20:00,37,23,24,43,29,27,29,,,,,,,,48
30,09/21/22 02:25:00,37,22,23,42,31,27,29,,,,,,,,48
31,09/21/22 02:30:00,38,23,22,43,32,27,29,,,,,,,,46
32,09/21/22 02:35:00,38,23,23,43,32,28,29,,,,,,,,44
33,09/21/22 02:40:00,36,22,23,42,31,29,28,,,,,,,,43
34,09/21/22 02:45:00,33,21,22,39,29,27,27,,,,,,,,42
35,09/21/22 02:50:00,32,19,22,38,28,26,26,,,,,,,,41
36,09/21/22 02:55:00,29,18,21,36,26,24,24,,,,,,,,41
37,09/21/22 03:00:00,27,17,19,33,24,22,23,,,,,,,,47
