Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5"
1,09/01/22 00:00:00,116,68,59,,86,82,116,108,,,,,,,161,-888.88,
2,09/01/22 00:30:00,157,93,79,,168,151,147,193,,,,,,,243,-888.88,
3,09/01/22 01:00:00,163,82,81,,184,171,143,214,,,,,,,247,-888.88,
4,09/01/22 01:30:00,89,67,69,,114,111,66,138,,,,,,,103,-888.88,
5,09/01/22 02:00:00,51,34,41,,47,49,46,61,,,,,,,141,-888.88,
6,09/01/22 02:30:00,101,49,49,,53,67,97,87,,,,,,,169,-888.88,
7,09/01/22 03:00:00,57,49,57,,53,73,57,89,,,,,,,68,-888.88,
8,09/01/22 03:30:00,58,26,32,,33,41,46,51,,,,,,,117,-888.88,
9,09/01/22 04:00:00,78,37,52,,46,72,57,79,,,,,,,64,-888.88,
10,09/01/22 04:30:00,44,24,34,,31,36,33,42,,,,,,,54,-888.88,
11,09/01/22 05:00:00,27,21,28,,23,31,22,36,,,,,,,34,-888.88,
12,09/01/22 05:30:00,17,11,17,,12,17,13,19,,,,,,,21,-888.88,
13,09/01/22 06:00:00,8,6,11,,6,9,6,12,,,,,,,11,-888.88,
14,09/01/22 06:30:00,1,2,3,,2,3,1,4,,,,,,,2,-888.88,
15,09/01/22 07:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
16,09/01/22 07:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
17,09/01/22 08:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
18,09/01/22 08:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
19,09/01/22 09:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
20,09/01/22 09:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
21,09/01/22 10:00:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
22,09/01/22 10:30:00,1,1,1,,1,1,1,1,,,,,,,1,-888.88,
