"","Date","value","station","sensor","depth"
"1",2023-06-01,-1.98,"TNHA","TNHA-SA","1"
"2",2023-06-01,-2.45,"TNHA","TNHA-??","1"
"3",2023-06-01,-3.35,"TNHA","TNHA-SC","1"
"4",2023-06-01,128.83,"TNHA","TNHA-BASE","1"
"5",2023-06-01,-3.01,"SSMH","SSMH-SB","1_MH"
"6",2023-06-01,-2.32,"BUECI","BUECI-SE","1"
"7",2023-06-01,-2.431,"BUECI","BUECI-BASE??","1"
"8",2023-06-01,-0.77,"BUECI","BUECI-__","1"
"9",2023-06-01,-2.88,"BUECI","21398660","1"
"10",2023-06-01,-0.82,"BUECI","BUECI-__","1"
"11",2023-06-01,-2.86,"BUECI","BUECI-SC","1"
"12",2023-06-01,-1.98,"TNHA","TNHA-SA","1"
"13",2023-06-01 01:00:00,-0.71,"TNHA","TNHA-SA","1"
"14",2023-06-01 02:00:00,-1.46,"TNHA","TNHA-SA","1"
"15",2023-06-01 03:00:00,-1.78,"TNHA","TNHA-SA","1"
"16",2023-06-01 04:00:00,-1.87,"TNHA","TNHA-SA","1"
"17",2023-06-01 05:00:00,-1.57,"TNHA","TNHA-SA","1"
"18",2023-06-01 06:00:00,-3.09,"TNHA","TNHA-SA","1"
"19",2023-06-01 07:00:00,-3.65,"TNHA","TNHA-SA","1"
"20",2023-06-01 08:00:00,-4.34,"TNHA","TNHA-SA","1"
"21",2023-06-01 09:00:00,-4.06,"TNHA","TNHA-SA","1"
"22",2023-06-01 10:00:00,-4.85,"TNHA","TNHA-SA","1"
"23",2023-06-01 11:00:00,-4.85,"TNHA","TNHA-SA","1"
"24",2023-06-01 12:00:00,-6.27,"TNHA","TNHA-SA","1"
"25",2023-06-01 13:00:00,-7.15,"TNHA","TNHA-SA","1"
"26",2023-06-01 14:00:00,-7.94,"TNHA","TNHA-SA","1"
"27",2023-06-01 15:00:00,-7.77,"TNHA","TNHA-SA","1"
"28",2023-06-01 16:00:00,-7.62,"TNHA","TNHA-SA","1"
"29",2023-06-01 17:00:00,-7.04,"TNHA","TNHA-SA","1"
"30",2023-06-01 18:00:00,-4.83,"TNHA","TNHA-SA","1"
"31",2023-06-01 19:00:00,-3.86,"TNHA","TNHA-SA","1"
"32",2023-06-01 20:00:00,-3.03,"TNHA","TNHA-SA","1"
"33",2023-06-01 21:00:00,-1.89,"TNHA","TNHA-SA","1"
