"","Date","value","station","sensor","depth"
"1",2022-12-01,-2.34,"TNHA","TNHA-SC","1"
"2",2022-12-01,-2.474,"TNHA","TNHA-BASE","1"
"3",2022-12-01,-2.47,"TNHA","TNHA-SA","1"
"4",2022-12-01,-2.646,"BEO","BEO-BASE","1"
"5",2022-12-01,-2.34,"TNHA","TNHA-SC","1"
"6",2022-12-01 00:30:00,-2.45,"TNHA","TNHA-SC","1"
"7",2022-12-01 01:00:00,-2.3,"TNHA","TNHA-SC","1"
"8",2022-12-01 01:30:00,-2.43,"TNHA","TNHA-SC","1"
"9",2022-12-01 02:00:00,-2.56,"TNHA","TNHA-SC","1"
"10",2022-12-01 02:30:00,-2.64,"TNHA","TNHA-SC","1"
"11",2022-12-01 03:00:00,-2.64,"TNHA","TNHA-SC","1"
"12",2022-12-01 03:30:00,-2.68,"TNHA","TNHA-SC","1"
"13",2022-12-01 04:00:00,-2.86,"TNHA","TNHA-SC","1"
"14",2022-12-01 04:30:00,-3.05,"TNHA","TNHA-SC","1"
"15",2022-12-01 05:00:00,-3.05,"TNHA","TNHA-SC","1"
"16",2022-12-01 05:30:00,-3.78,"TNHA","TNHA-SC","1"
"17",2022-12-01 06:00:00,-4.1,"TNHA","TNHA-SC","1"
"18",2022-12-01 06:30:00,-4.4,"TNHA","TNHA-SC","1"
"19",2022-12-01 07:00:00,-4.81,"TNHA","TNHA-SC","1"
"20",2022-12-01 07:30:00,-5.13,"TNHA","TNHA-SC","1"
"21",2022-12-01 08:00:00,-5.32,"TNHA","TNHA-SC","1"
"22",2022-12-01 08:30:00,-5.45,"TNHA","TNHA-SC","1"
"23",2022-12-01 09:00:00,-5.71,"TNHA","TNHA-SC","1"
"24",2022-12-01 09:30:00,-5.88,"TNHA","TNHA-SC","1"
"25",2022-12-01 10:00:00,-6.05,"TNHA","TNHA-SC","1"
"26",2022-12-01 10:30:00,-6.37,"TNHA","TNHA-SC","1"
"27",2022-12-01 11:00:00,-6.5,"TNHA","TNHA-SC","1"
"28",2022-12-01 11:30:00,-6.78,"TNHA","TNHA-SC","1"
"29",2022-12-01 12:00:00,-6.93,"TNHA","TNHA-SC","1"
"30",2022-12-01 12:30:00,-7,"TNHA","TNHA-SC","1"
"31",2022-12-01 13:00:00,-6.97,"TNHA","TNHA-SC","1"
"32",2022-12-01 13:30:00,-6.97,"TNHA","TNHA-SC","1"
"33",2022-12-01 14:00:00,-6.89,"TNHA","TNHA-SC","1"
"34",2022-12-01 14:30:00,-7.25,"TNHA","TNHA-SC","1"
"35",2022-12-01 15:00:00,-7.3,"TNHA","TNHA-SC","1"
"36",2022-12-01 15:30:00,-7.1,"TNHA","TNHA-SC","1"
"37",2022-12-01 16:00:00,-6.72,"TNHA","TNHA-SC","1"
"38",2022-12-01 16:30:00,-6.55,"TNHA","TNHA-SC","1"
"39",2022-12-01 17:00:00,-6.42,"TNHA","TNHA-SC","1"
"40",2022-12-01 17:30:00,-6.07,"TNHA","TNHA-SC","1"
"41",2022-12-01 18:00:00,-5.84,"TNHA","TNHA-SC","1"
"42",2022-12-01 18:30:00,-5.49,"TNHA","TNHA-SC","1"
"43",2022-12-01 19:00:00,-5.24,"TNHA","TNHA-SC","1"
"44",2022-12-01 19:30:00,-4.23,"TNHA","TNHA-SC","1"
"45",2022-12-01 20:00:00,-3.78,"TNHA","TNHA-SC","1"
"46",2022-12-01 20:30:00,-3.86,"TNHA","TNHA-SC","1"
"47",2022-12-01 21:00:00,-4.01,"TNHA","TNHA-SC","1"
"48",2022-12-01 21:30:00,-3.89,"TNHA","TNHA-SC","1"
"49",2022-12-01 22:00:00,-4.66,"TNHA","TNHA-SC","1"
"50",2022-12-01 22:30:00,-5.6,"TNHA","TNHA-SC","1"
"51",2022-12-01 23:00:00,-5.73,"TNHA","TNHA-SC","1"
"52",2022-12-01 23:30:00,-5.94,"TNHA","TNHA-SC","1"
"53",2022-12-02,-5.92,"TNHA","TNHA-SC","1"
"54",2022-12-02 00:30:00,-6.03,"TNHA","TNHA-SC","1"
"55",2022-12-02 01:00:00,-6.03,"TNHA","TNHA-SC","1"
"56",2022-12-02 01:30:00,-5.9,"TNHA","TNHA-SC","1"
"57",2022-12-02 02:00:00,-5.77,"TNHA","TNHA-SC","1"
"58",2022-12-02 02:30:00,-5.75,"TNHA","TNHA-SC","1"
"59",2022-12-02 03:00:00,-5.71,"TNHA","TNHA-SC","1"
"60",2022-12-02 03:30:00,-5.62,"TNHA","TNHA-SC","1"
"61",2022-12-02 04:00:00,-5.6,"TNHA","TNHA-SC","1"
"62",2022-12-02 04:30:00,-5.71,"TNHA","TNHA-SC","1"
"63",2022-12-02 05:00:00,-5.54,"TNHA","TNHA-SC","1"
"64",2022-12-02 05:30:00,-4.96,"TNHA","TNHA-SC","1"
"65",2022-12-02 06:00:00,-4.68,"TNHA","TNHA-SC","1"
"66",2022-12-02 06:30:00,-3.99,"TNHA","TNHA-SC","1"
"67",2022-12-02 07:00:00,-3.78,"TNHA","TNHA-SC","1"
"68",2022-12-02 07:30:00,-3.31,"TNHA","TNHA-SC","1"
"69",2022-12-02 08:00:00,-3.2,"TNHA","TNHA-SC","1"
"70",2022-12-02 08:30:00,-2.6,"TNHA","TNHA-SC","1"
"71",2022-12-02 09:00:00,-2.28,"TNHA","TNHA-SC","1"
"72",2022-12-02 09:30:00,-1.65,"TNHA","TNHA-SC","1"
"73",2022-12-02 10:00:00,-1.38,"TNHA","TNHA-SC","1"
"74",2022-12-02 10:30:00,-1.16,"TNHA","TNHA-SC","1"
"75",2022-12-02 11:00:00,-0.93,"TNHA","TNHA-SC","1"
"76",2022-12-02 11:30:00,-0.93,"TNHA","TNHA-SC","1"
"77",2022-12-02 12:00:00,-0.75,"TNHA","TNHA-SC","1"
"78",2022-12-02 12:30:00,-0.65,"TNHA","TNHA-SC","1"
"79",2022-12-02 13:00:00,-0.69,"TNHA","TNHA-SC","1"
"80",2022-12-02 13:30:00,-0.71,"TNHA","TNHA-SC","1"
"81",2022-12-02 14:00:00,-0.73,"TNHA","TNHA-SC","1"
"82",2022-12-02 14:30:00,-0.62,"TNHA","TNHA-SC","1"
"83",2022-12-02 15:00:00,-0.62,"TNHA","TNHA-SC","1"
"84",2022-12-02 15:30:00,-0.58,"TNHA","TNHA-SC","1"
"85",2022-12-02 16:00:00,-0.45,"TNHA","TNHA-SC","1"
"86",2022-12-02 16:30:00,-0.39,"TNHA","TNHA-SC","1"
"87",2022-12-02 17:00:00,-0.32,"TNHA","TNHA-SC","1"
"88",2022-12-02 17:30:00,-0.26,"TNHA","TNHA-SC","1"
"89",2022-12-02 18:00:00,-0.26,"TNHA","TNHA-SC","1"
"90",2022-12-02 18:30:00,-0.24,"TNHA","TNHA-SC","1"
"91",2022-12-02 19:00:00,-0.15,"TNHA","TNHA-SC","1"
"92",2022-12-02 19:30:00,-0.11,"TNHA","TNHA-SC","1"
"93",2022-12-02 20:00:00,-0.13,"TNHA","TNHA-SC","1"
"94",2022-12-02 20:30:00,-0.05,"TNHA","TNHA-SC","1"
"95",2022-12-02 21:00:00,0,"TNHA","TNHA-SC","1"
"96",2022-12-02 21:30:00,-0.11,"TNHA","TNHA-SC","1"
"97",2022-12-02 22:00:00,-0.26,"TNHA","TNHA-SC","1"
"98",2022-12-02 22:30:00,-0.22,"TNHA","TNHA-SC","1"
"99",2022-12-02 23:00:00,-0.09,"TNHA","TNHA-SC","1"
"100",2022-12-02 23:30:00,0.08,"TNHA","TNHA-SC","1"
"101",2022-12-03,0.13,"TNHA","TNHA-SC","1"
"102",2022-12-03 00:30:00,0.02,"TNHA","TNHA-SC","1"
"103",2022-12-03 01:00:00,-0.09,"TNHA","TNHA-SC","1"
"104",2022-12-03 01:30:00,-0.09,"TNHA","TNHA-SC","1"
"105",2022-12-03 02:00:00,-0.11,"TNHA","TNHA-SC","1"
"106",2022-12-03 02:30:00,-0.3,"TNHA","TNHA-SC","1"
"107",2022-12-03 03:00:00,-0.43,"TNHA","TNHA-SC","1"
"108",2022-12-03 03:30:00,-0.56,"TNHA","TNHA-SC","1"
"109",2022-12-03 04:00:00,-0.45,"TNHA","TNHA-SC","1"
"110",2022-12-03 04:30:00,-0.39,"TNHA","TNHA-SC","1"
"111",2022-12-03 05:00:00,-0.45,"TNHA","TNHA-SC","1"
"112",2022-12-03 05:30:00,-1.08,"TNHA","TNHA-SC","1"
"113",2022-12-03 06:00:00,-1.4,"TNHA","TNHA-SC","1"
"114",2022-12-03 06:30:00,-1.61,"TNHA","TNHA-SC","1"
"115",2022-12-03 07:00:00,-1.87,"TNHA","TNHA-SC","1"
"116",2022-12-03 07:30:00,-2.02,"TNHA","TNHA-SC","1"
"117",2022-12-03 08:00:00,-2.28,"TNHA","TNHA-SC","1"
"118",2022-12-03 08:30:00,-2.21,"TNHA","TNHA-SC","1"
"119",2022-12-03 09:00:00,-2.41,"TNHA","TNHA-SC","1"
"120",2022-12-03 09:30:00,-2.47,"TNHA","TNHA-SC","1"
"121",2022-12-03 10:00:00,-3.01,"TNHA","TNHA-SC","1"
"122",2022-12-03 10:30:00,-3.09,"TNHA","TNHA-SC","1"
