"","Date","value","station","sensor","depth"
"1",2023-09-01,223,"SSMH","SSMH-SB",1
"2",2023-09-01,157,"SSMH","SSMH-BASE",1
"3",2023-09-01,131,"SSMH","SSMH-SG",1
"4",2023-09-01,298,"SSMH","SSMH-SA",1
"5",2023-09-01,223,"SSMH","SSMH-SB",1
"6",2023-09-01 00:05:00,224,"SSMH","SSMH-SB",1
"7",2023-09-01 00:10:00,358,"SSMH","SSMH-SB",1
"8",2023-09-01 00:15:00,293,"SSMH","SSMH-SB",1
"9",2023-09-01 00:20:00,318,"SSMH","SSMH-SB",1
"10",2023-09-01 00:25:00,354,"SSMH","SSMH-SB",1
"11",2023-09-01 00:30:00,306,"SSMH","SSMH-SB",1
"12",2023-09-01 00:35:00,343,"SSMH","SSMH-SB",1
"13",2023-09-01 00:40:00,276,"SSMH","SSMH-SB",1
"14",2023-09-01 00:45:00,288,"SSMH","SSMH-SB",1
"15",2023-09-01 00:50:00,323,"SSMH","SSMH-SB",1
"16",2023-09-01 00:55:00,282,"SSMH","SSMH-SB",1
"17",2023-09-01 01:00:00,197,"SSMH","SSMH-SB",1
"18",2023-09-01 01:05:00,157,"SSMH","SSMH-SB",1
"19",2023-09-01 01:10:00,131,"SSMH","SSMH-SB",1
"20",2023-09-01 01:15:00,132,"SSMH","SSMH-SB",1
"21",2023-09-01 01:20:00,129,"SSMH","SSMH-SB",1
"22",2023-09-01 01:25:00,121,"SSMH","SSMH-SB",1
"23",2023-09-01 01:30:00,152,"SSMH","SSMH-SB",1
"24",2023-09-01 01:35:00,129,"SSMH","SSMH-SB",1
"25",2023-09-01 01:40:00,147,"SSMH","SSMH-SB",1
"26",2023-09-01 01:45:00,149,"SSMH","SSMH-SB",1
"27",2023-09-01 01:50:00,137,"SSMH","SSMH-SB",1
"28",2023-09-01 01:55:00,128,"SSMH","SSMH-SB",1
"29",2023-09-01 02:00:00,111,"SSMH","SSMH-SB",1
"30",2023-09-01 02:05:00,69,"SSMH","SSMH-SB",1
"31",2023-09-01 02:10:00,193,"SSMH","SSMH-SB",1
"32",2023-09-01 02:15:00,268,"SSMH","SSMH-SB",1
"33",2023-09-01 02:20:00,267,"SSMH","SSMH-SB",1
"34",2023-09-01 02:25:00,258,"SSMH","SSMH-SB",1
"35",2023-09-01 02:30:00,252,"SSMH","SSMH-SB",1
"36",2023-09-01 02:35:00,249,"SSMH","SSMH-SB",1
"37",2023-09-01 02:40:00,248,"SSMH","SSMH-SB",1
"38",2023-09-01 02:45:00,247,"SSMH","SSMH-SB",1
"39",2023-09-01 02:50:00,242,"SSMH","SSMH-SB",1
"40",2023-09-01 02:55:00,237,"SSMH","SSMH-SB",1
"41",2023-09-01 03:00:00,231,"SSMH","SSMH-SB",1
"42",2023-09-01 03:05:00,224,"SSMH","SSMH-SB",1
"43",2023-09-01 03:10:00,219,"SSMH","SSMH-SB",1
"44",2023-09-01 03:15:00,212,"SSMH","SSMH-SB",1
"45",2023-09-01 03:20:00,167,"SSMH","SSMH-SB",1
"46",2023-09-01 03:25:00,73,"SSMH","SSMH-SB",1
"47",2023-09-01 03:30:00,87,"SSMH","SSMH-SB",1
"48",2023-09-01 03:35:00,102,"SSMH","SSMH-SB",1
"49",2023-09-01 03:40:00,98,"SSMH","SSMH-SB",1
"50",2023-09-01 03:45:00,111,"SSMH","SSMH-SB",1
"51",2023-09-01 03:50:00,102,"SSMH","SSMH-SB",1
"52",2023-09-01 03:55:00,123,"SSMH","SSMH-SB",1
"53",2023-09-01 04:00:00,149,"SSMH","SSMH-SB",1
"54",2023-09-01 04:05:00,143,"SSMH","SSMH-SB",1
"55",2023-09-01 04:10:00,137,"SSMH","SSMH-SB",1
"56",2023-09-01 04:15:00,129,"SSMH","SSMH-SB",1
"57",2023-09-01 04:20:00,124,"SSMH","SSMH-SB",1
"58",2023-09-01 04:25:00,118,"SSMH","SSMH-SB",1
"59",2023-09-01 04:30:00,112,"SSMH","SSMH-SB",1
