"","Date","value","station","sensor","depth"
"1",2023-11-01,0.188,"TNHA","TNHA-BASE",1
"2",2023-11-01 01:00:00,0.189,"TNHA","TNHA-BASE",1
"3",2023-11-01 02:00:00,0.189,"TNHA","TNHA-BASE",1
"4",2023-11-01 03:00:00,0.189,"TNHA","TNHA-BASE",1
"5",2023-11-01 04:00:00,0.19,"TNHA","TNHA-BASE",1
"6",2023-11-01 05:00:00,0.19,"TNHA","TNHA-BASE",1
"7",2023-11-01 06:00:00,0.19,"TNHA","TNHA-BASE",1
"8",2023-11-01 07:00:00,0.19,"TNHA","TNHA-BASE",1
"9",2023-11-01 08:00:00,0.191,"TNHA","TNHA-BASE",1
"10",2023-11-01 09:00:00,0.191,"TNHA","TNHA-BASE",1
"11",2023-11-01 10:00:00,0.191,"TNHA","TNHA-BASE",1
"12",2023-11-01 11:00:00,0.191,"TNHA","TNHA-BASE",1
"13",2023-11-01 12:00:00,0.191,"TNHA","TNHA-BASE",1
"14",2023-11-01 13:00:00,0.191,"TNHA","TNHA-BASE",1
"15",2023-11-01 14:00:00,0.191,"TNHA","TNHA-BASE",1
"16",2023-11-01 15:00:00,0.191,"TNHA","TNHA-BASE",1
"17",2023-11-01 16:00:00,0.191,"TNHA","TNHA-BASE",1
"18",2023-11-01 17:00:00,0.191,"TNHA","TNHA-BASE",1
"19",2023-11-01 18:00:00,0.191,"TNHA","TNHA-BASE",1
"20",2023-11-01 19:00:00,0.192,"TNHA","TNHA-BASE",1
"21",2023-11-01 20:00:00,0.192,"TNHA","TNHA-BASE",1
"22",2023-11-01 21:00:00,0.192,"TNHA","TNHA-BASE",1
"23",2023-11-01 22:00:00,0.192,"TNHA","TNHA-BASE",1
"24",2023-11-01 23:00:00,0.193,"TNHA","TNHA-BASE",1
"25",2023-11-02,0.193,"TNHA","TNHA-BASE",1
"26",2023-11-02 01:00:00,0.193,"TNHA","TNHA-BASE",1
"27",2023-11-02 02:00:00,0.193,"TNHA","TNHA-BASE",1
"28",2023-11-02 03:00:00,0.193,"TNHA","TNHA-BASE",1
"29",2023-11-02 04:00:00,0.192,"TNHA","TNHA-BASE",1
"30",2023-11-02 05:00:00,0.191,"TNHA","TNHA-BASE",1
"31",2023-11-02 06:00:00,0.19,"TNHA","TNHA-BASE",1
"32",2023-11-02 07:00:00,0.189,"TNHA","TNHA-BASE",1
"33",2023-11-02 08:00:00,0.188,"TNHA","TNHA-BASE",1
"34",2023-11-02 09:00:00,0.187,"TNHA","TNHA-BASE",1
"35",2023-11-02 10:00:00,0.186,"TNHA","TNHA-BASE",1
"36",2023-11-02 11:00:00,0.185,"TNHA","TNHA-BASE",1
"37",2023-11-02 12:00:00,0.184,"TNHA","TNHA-BASE",1
"38",2023-11-02 13:00:00,0.184,"TNHA","TNHA-BASE",1
"39",2023-11-02 14:00:00,0.183,"TNHA","TNHA-BASE",1
"40",2023-11-02 15:00:00,0.183,"TNHA","TNHA-BASE",1
"41",2023-11-02 16:00:00,0.182,"TNHA","TNHA-BASE",1
"42",2023-11-02 17:00:00,0.181,"TNHA","TNHA-BASE",1
"43",2023-11-02 18:00:00,0.181,"TNHA","TNHA-BASE",1
"44",2023-11-02 19:00:00,0.181,"TNHA","TNHA-BASE",1
"45",2023-11-02 20:00:00,0.18,"TNHA","TNHA-BASE",1
"46",2023-11-02 21:00:00,0.18,"TNHA","TNHA-BASE",1
"47",2023-11-02 22:00:00,0.179,"TNHA","TNHA-BASE",1
"48",2023-11-02 23:00:00,0.179,"TNHA","TNHA-BASE",1
"49",2023-11-03,0.179,"TNHA","TNHA-BASE",1
"50",2023-11-03 01:00:00,0.178,"TNHA","TNHA-BASE",1
"51",2023-11-03 02:00:00,0.178,"TNHA","TNHA-BASE",1
"52",2023-11-03 03:00:00,0.178,"TNHA","TNHA-BASE",1
"53",2023-11-03 04:00:00,0.178,"TNHA","TNHA-BASE",1
"54",2023-11-03 05:00:00,0.178,"TNHA","TNHA-BASE",1
"55",2023-11-03 06:00:00,0.178,"TNHA","TNHA-BASE",1
"56",2023-11-03 07:00:00,0.178,"TNHA","TNHA-BASE",1
"57",2023-11-03 08:00:00,0.178,"TNHA","TNHA-BASE",1
"58",2023-11-03 09:00:00,0.178,"TNHA","TNHA-BASE",1
"59",2023-11-03 10:00:00,0.178,"TNHA","TNHA-BASE",1
"60",2023-11-03 11:00:00,0.178,"TNHA","TNHA-BASE",1
"61",2023-11-03 12:00:00,0.178,"TNHA","TNHA-BASE",1
"62",2023-11-03 13:00:00,0.178,"TNHA","TNHA-BASE",1
"63",2023-11-03 14:00:00,0.177,"TNHA","TNHA-BASE",1
"64",2023-11-03 15:00:00,0.177,"TNHA","TNHA-BASE",1
"65",2023-11-03 16:00:00,0.177,"TNHA","TNHA-BASE",1
"66",2023-11-03 17:00:00,0.176,"TNHA","TNHA-BASE",1
"67",2023-11-03 18:00:00,0.176,"TNHA","TNHA-BASE",1
"68",2023-11-03 19:00:00,0.176,"TNHA","TNHA-BASE",1
"69",2023-11-03 20:00:00,0.176,"TNHA","TNHA-BASE",1
"70",2023-11-03 21:00:00,0.176,"TNHA","TNHA-BASE",1
"71",2023-11-03 22:00:00,0.176,"TNHA","TNHA-BASE",1
"72",2023-11-03 23:00:00,0.176,"TNHA","TNHA-BASE",1
"73",2023-11-04,0.176,"TNHA","TNHA-BASE",1
"74",2023-11-04 01:00:00,0.176,"TNHA","TNHA-BASE",1
"75",2023-11-04 02:00:00,0.176,"TNHA","TNHA-BASE",1
"76",2023-11-04 03:00:00,0.176,"TNHA","TNHA-BASE",1
"77",2023-11-04 04:00:00,0.175,"TNHA","TNHA-BASE",1
"78",2023-11-04 05:00:00,0.175,"TNHA","TNHA-BASE",1
"79",2023-11-04 06:00:00,0.175,"TNHA","TNHA-BASE",1
"80",2023-11-04 07:00:00,0.174,"TNHA","TNHA-BASE",1
"81",2023-11-04 08:00:00,0.174,"TNHA","TNHA-BASE",1
"82",2023-11-04 09:00:00,0.174,"TNHA","TNHA-BASE",1
"83",2023-11-04 10:00:00,0.174,"TNHA","TNHA-BASE",1
"84",2023-11-04 11:00:00,0.174,"TNHA","TNHA-BASE",1
"85",2023-11-04 12:00:00,0.173,"TNHA","TNHA-BASE",1
"86",2023-11-04 13:00:00,0.173,"TNHA","TNHA-BASE",1
"87",2023-11-04 14:00:00,0.172,"TNHA","TNHA-BASE",1
"88",2023-11-04 15:00:00,0.171,"TNHA","TNHA-BASE",1
"89",2023-11-04 16:00:00,0.171,"TNHA","TNHA-BASE",1
