"","Date","value","station","sensor","depth"
"1",2022-12-01,0.026,"TNHA","TNHA-SC",1
"2",2022-12-01,0,"TNHA","TNHA-SC",2
"3",2022-12-01,0.034,"TNHA","TNHA-SC",3
"4",2022-12-01,0.106,"TNHA","TNHA-SC",4
"5",2022-12-01,0.041,"TNHA","TNHA-SC",5
"6",2022-12-01,0,"TNHA","TNHA-SC",6
"7",2022-12-01,0,"BEO","BEO-BASE",1
"8",2022-12-01,0.017,"BEO","BEO-BASE",2
"9",2022-12-01,0,"BEO","BEO-BASE",3
"10",2022-12-01,0.085,"BEO","BEO-BASE",4
"11",2022-12-01,0.04,"BEO","BEO-BASE",5
"12",2022-12-01,0.03,"BEO","BEO-BASE",6
"13",2022-12-07 19:30:00,0,"TNHA","TNHA-BASE",1
"14",2022-12-07 20:00:00,0,"TNHA","TNHA-BASE",1
"15",2022-12-07 20:30:00,0,"TNHA","TNHA-BASE",1
"16",2022-12-07 21:00:00,0,"TNHA","TNHA-BASE",1
"17",2022-12-07 21:30:00,0,"TNHA","TNHA-BASE",1
"18",2022-12-07 22:00:00,0,"TNHA","TNHA-BASE",1
"19",2022-12-07 22:30:00,0,"TNHA","TNHA-BASE",1
"20",2022-12-07 23:00:00,0,"TNHA","TNHA-BASE",1
"21",2022-12-07 23:30:00,0,"TNHA","TNHA-BASE",1
"22",2022-12-08,0,"TNHA","TNHA-BASE",1
"23",2022-12-08 00:30:00,0,"TNHA","TNHA-BASE",1
"24",2022-12-08 01:00:00,0,"TNHA","TNHA-BASE",1
"25",2022-12-08 01:30:00,0,"TNHA","TNHA-BASE",1
"26",2022-12-08 02:00:00,0,"TNHA","TNHA-BASE",1
"27",2022-12-08 02:30:00,0,"TNHA","TNHA-BASE",1
"28",2022-12-08 03:00:00,0,"TNHA","TNHA-BASE",1
"29",2022-12-08 03:30:00,0,"TNHA","TNHA-BASE",1
"30",2022-12-08 04:00:00,0,"TNHA","TNHA-BASE",1
"31",2022-12-08 04:30:00,0,"TNHA","TNHA-BASE",1
"32",2022-12-08 05:00:00,0,"TNHA","TNHA-BASE",1
"33",2022-12-08 05:30:00,0,"TNHA","TNHA-BASE",1
"34",2022-12-08 06:00:00,0,"TNHA","TNHA-BASE",1
"35",2022-12-08 06:30:00,0,"TNHA","TNHA-BASE",1
"36",2022-12-08 07:00:00,0,"TNHA","TNHA-BASE",1
"37",2022-12-08 07:30:00,0,"TNHA","TNHA-BASE",1
"38",2022-12-08 08:00:00,0,"TNHA","TNHA-BASE",1
"39",2022-12-08 08:30:00,0,"TNHA","TNHA-BASE",1
"40",2022-12-08 09:00:00,0,"TNHA","TNHA-BASE",1
"41",2022-12-08 09:30:00,0,"TNHA","TNHA-BASE",1
"42",2022-12-08 10:00:00,0,"TNHA","TNHA-BASE",1
"43",2022-12-08 10:30:00,0,"TNHA","TNHA-BASE",1
"44",2022-12-08 11:00:00,0,"TNHA","TNHA-BASE",1
"45",2022-12-08 11:30:00,0,"TNHA","TNHA-BASE",1
"46",2022-12-08 12:00:00,0,"TNHA","TNHA-BASE",1
"47",2022-12-08 12:30:00,0,"TNHA","TNHA-BASE",1
"48",2022-12-08 13:00:00,0,"TNHA","TNHA-BASE",1
"49",2022-12-08 13:30:00,0,"TNHA","TNHA-BASE",1
"50",2022-12-08 14:00:00,0,"TNHA","TNHA-BASE",1
"51",2022-12-08 14:30:00,0,"TNHA","TNHA-BASE",1
