"","Date","value","station","sensor","depth"
"1",2022-12-01 00:05:00,80,"SSMH","SSMH-SA","3"
"2",2022-12-01 00:35:00,80,"SSMH","SSMH-SA","3"
"3",2022-12-01 01:05:00,80,"SSMH","SSMH-SA","3"
"4",2022-12-01 01:35:00,80,"SSMH","SSMH-SA","3"
"5",2022-12-01 02:05:00,80,"SSMH","SSMH-SA","3"
"6",2022-12-01 02:35:00,80,"SSMH","SSMH-SA","3"
"7",2022-12-01 03:05:00,80,"SSMH","SSMH-SA","3"
"8",2022-12-01 03:35:00,80,"SSMH","SSMH-SA","3"
"9",2022-12-01 04:05:00,80,"SSMH","SSMH-SA","3"
"10",2022-12-01 04:35:00,80,"SSMH","SSMH-SA","3"
"11",2022-12-01 05:05:00,60,"SSMH","SSMH-SA","3"
"12",2022-12-01 05:35:00,331,"SSMH","SSMH-SA","3"
"13",2022-12-01 06:05:00,326,"SSMH","SSMH-SA","3"
"14",2022-12-01 06:35:00,324,"SSMH","SSMH-SA","3"
"15",2022-12-01 07:05:00,326,"SSMH","SSMH-SA","3"
"16",2022-12-01 07:35:00,323,"SSMH","SSMH-SA","3"
"17",2022-12-01 08:05:00,321,"SSMH","SSMH-SA","3"
"18",2022-12-01 08:35:00,323,"SSMH","SSMH-SA","3"
"19",2022-12-01 09:05:00,321,"SSMH","SSMH-SA","3"
"20",2022-12-01 09:35:00,320,"SSMH","SSMH-SA","3"
"21",2022-12-01 10:05:00,319,"SSMH","SSMH-SA","3"
"22",2022-12-01 10:35:00,316,"SSMH","SSMH-SA","3"
"23",2022-12-01 11:05:00,312,"SSMH","SSMH-SA","3"
"24",2022-12-01 11:35:00,323,"SSMH","SSMH-SA","3"
"25",2022-12-01 12:05:00,320,"SSMH","SSMH-SA","3"
"26",2022-12-01 12:35:00,316,"SSMH","SSMH-SA","3"
"27",2022-12-01 13:05:00,305,"SSMH","SSMH-SA","3"
"28",2022-12-01 13:35:00,303,"SSMH","SSMH-SA","3"
"29",2022-12-01 14:05:00,303,"SSMH","SSMH-SA","3"
"30",2022-12-01 14:35:00,302,"SSMH","SSMH-SA","3"
"31",2022-12-01 15:05:00,300,"SSMH","SSMH-SA","3"
"32",2022-12-01 15:35:00,309,"SSMH","SSMH-SA","3"
"33",2022-12-01 16:05:00,321,"SSMH","SSMH-SA","3"
"34",2022-12-01 16:35:00,317,"SSMH","SSMH-SA","3"
"35",2022-12-01 17:05:00,358,"SSMH","SSMH-SA","3"
"36",2022-12-01 17:35:00,313,"SSMH","SSMH-SA","3"
"37",2022-12-01 18:05:00,316,"SSMH","SSMH-SA","3"
"38",2022-12-01 18:35:00,316,"SSMH","SSMH-SA","3"
"39",2022-12-01 19:05:00,316,"SSMH","SSMH-SA","3"
"40",2022-12-01 19:35:00,352,"SSMH","SSMH-SA","3"
"41",2022-12-01 20:05:00,86,"SSMH","SSMH-SA","3"
"42",2022-12-01 20:35:00,77,"SSMH","SSMH-SA","3"
"43",2022-12-01 21:05:00,87,"SSMH","SSMH-SA","3"
"44",2022-12-01 21:35:00,63,"SSMH","SSMH-SA","3"
"45",2022-12-01 22:05:00,97,"SSMH","SSMH-SA","3"
"46",2022-12-01 22:35:00,80,"SSMH","SSMH-SA","3"
"47",2022-12-01 23:05:00,91,"SSMH","SSMH-SA","3"
"48",2022-12-01 23:35:00,88,"SSMH","SSMH-SA","3"
"49",2022-12-02 00:05:00,79,"SSMH","SSMH-SA","3"
"50",2022-12-02 00:35:00,65,"SSMH","SSMH-SA","3"
"51",2022-12-02 01:05:00,38,"SSMH","SSMH-SA","3"
"52",2022-12-02 01:35:00,56,"SSMH","SSMH-SA","3"
"53",2022-12-02 02:05:00,27,"SSMH","SSMH-SA","3"
"54",2022-12-02 02:35:00,28,"SSMH","SSMH-SA","3"
"55",2022-12-02 03:05:00,32,"SSMH","SSMH-SA","3"
"56",2022-12-02 03:35:00,343,"SSMH","SSMH-SA","3"
"57",2022-12-02 04:05:00,27,"SSMH","SSMH-SA","3"
"58",2022-12-02 04:35:00,358,"SSMH","SSMH-SA","3"
"59",2022-12-02 05:05:00,327,"SSMH","SSMH-SA","3"
"60",2022-12-02 05:35:00,6,"SSMH","SSMH-SA","3"
"61",2022-12-02 06:05:00,22,"SSMH","SSMH-SA","3"
"62",2022-12-02 06:35:00,34,"SSMH","SSMH-SA","3"
"63",2022-12-02 07:05:00,25,"SSMH","SSMH-SA","3"
"64",2022-12-02 07:35:00,21,"SSMH","SSMH-SA","3"
"65",2022-12-02 08:05:00,15,"SSMH","SSMH-SA","3"
"66",2022-12-02 08:35:00,14,"SSMH","SSMH-SA","3"
"67",2022-12-02 09:05:00,45,"SSMH","SSMH-SA","3"
"68",2022-12-02 09:35:00,72,"SSMH","SSMH-SA","3"
"69",2022-12-02 10:05:00,87,"SSMH","SSMH-SA","3"
"70",2022-12-02 10:35:00,94,"SSMH","SSMH-SA","3"
"71",2022-12-02 11:05:00,97,"SSMH","SSMH-SA","3"
"72",2022-12-02 11:35:00,104,"SSMH","SSMH-SA","3"
"73",2022-12-02 12:05:00,105,"SSMH","SSMH-SA","3"
"74",2022-12-02 12:35:00,107,"SSMH","SSMH-SA","3"
"75",2022-12-02 13:05:00,95,"SSMH","SSMH-SA","3"
"76",2022-12-02 13:35:00,100,"SSMH","SSMH-SA","3"
"77",2022-12-02 14:05:00,94,"SSMH","SSMH-SA","3"
"78",2022-12-02 14:35:00,84,"SSMH","SSMH-SA","3"
"79",2022-12-02 15:05:00,81,"SSMH","SSMH-SA","3"
"80",2022-12-02 15:35:00,81,"SSMH","SSMH-SA","3"
"81",2022-12-02 16:05:00,83,"SSMH","SSMH-SA","3"
"82",2022-12-02 16:35:00,87,"SSMH","SSMH-SA","3"
"83",2022-12-02 17:05:00,74,"SSMH","SSMH-SA","3"
"84",2022-12-02 17:35:00,83,"SSMH","SSMH-SA","3"
"85",2022-12-02 18:05:00,84,"SSMH","SSMH-SA","3"
"86",2022-12-02 18:35:00,81,"SSMH","SSMH-SA","3"
"87",2022-12-02 19:05:00,81,"SSMH","SSMH-SA","3"
"88",2022-12-02 19:35:00,80,"SSMH","SSMH-SA","3"
"89",2022-12-02 20:05:00,81,"SSMH","SSMH-SA","3"
"90",2022-12-02 20:35:00,74,"SSMH","SSMH-SA","3"
"91",2022-12-02 21:05:00,79,"SSMH","SSMH-SA","3"
"92",2022-12-02 21:35:00,79,"SSMH","SSMH-SA","3"
"93",2022-12-02 22:05:00,83,"SSMH","SSMH-SA","3"
"94",2022-12-02 22:35:00,100,"SSMH","SSMH-SA","3"
