"","Date","value","station","sensor","depth"
"1",2022-09-01,5.5,"TNHA","TNHA-BASE","1"
"2",2022-09-01 00:30:00,5,"TNHA","TNHA-BASE","1"
"3",2022-09-01 01:00:00,5,"TNHA","TNHA-BASE","1"
"4",2022-09-01 01:30:00,5.5,"TNHA","TNHA-BASE","1"
"5",2022-09-01 02:00:00,5.5,"TNHA","TNHA-BASE","1"
"6",2022-09-01 02:30:00,5.5,"TNHA","TNHA-BASE","1"
"7",2022-09-01 03:00:00,5,"TNHA","TNHA-BASE","1"
"8",2022-09-01 03:30:00,4.5,"TNHA","TNHA-BASE","1"
"9",2022-09-01 04:00:00,5,"TNHA","TNHA-BASE","1"
"10",2022-09-01 04:30:00,5,"TNHA","TNHA-BASE","1"
"11",2022-09-01 05:00:00,4.5,"TNHA","TNHA-BASE","1"
"12",2022-09-01 05:30:00,4.5,"TNHA","TNHA-BASE","1"
"13",2022-09-01 06:00:00,4.5,"TNHA","TNHA-BASE","1"
"14",2022-09-01 06:30:00,4.5,"TNHA","TNHA-BASE","1"
"15",2022-09-01 07:00:00,4.5,"TNHA","TNHA-BASE","1"
"16",2022-09-01 07:30:00,5,"TNHA","TNHA-BASE","1"
"17",2022-09-01 08:00:00,4.5,"TNHA","TNHA-BASE","1"
"18",2022-09-01 08:30:00,4.5,"TNHA","TNHA-BASE","1"
"19",2022-09-01 09:00:00,4.5,"TNHA","TNHA-BASE","1"
"20",2022-09-01 09:30:00,4.5,"TNHA","TNHA-BASE","1"
"21",2022-09-01 10:00:00,4.5,"TNHA","TNHA-BASE","1"
"22",2022-09-01 10:30:00,4.5,"TNHA","TNHA-BASE","1"
"23",2022-09-01 11:00:00,4.5,"TNHA","TNHA-BASE","1"
"24",2022-09-01 11:30:00,4,"TNHA","TNHA-BASE","1"
"25",2022-09-01 12:00:00,3.5,"TNHA","TNHA-BASE","1"
"26",2022-09-01 12:30:00,3.5,"TNHA","TNHA-BASE","1"
"27",2022-09-01 13:00:00,4,"TNHA","TNHA-BASE","1"
"28",2022-09-01 13:30:00,3,"TNHA","TNHA-BASE","1"
"29",2022-09-01 14:00:00,3.5,"TNHA","TNHA-BASE","1"
"30",2022-09-01 14:30:00,3.5,"TNHA","TNHA-BASE","1"
"31",2022-09-01 15:00:00,4,"TNHA","TNHA-BASE","1"
"32",2022-09-01 15:30:00,3.5,"TNHA","TNHA-BASE","1"
"33",2022-09-01 16:00:00,3.5,"TNHA","TNHA-BASE","1"
"34",2022-09-01 16:30:00,3,"TNHA","TNHA-BASE","1"
"35",2022-09-01 17:00:00,3,"TNHA","TNHA-BASE","1"
"36",2022-09-01 17:30:00,2,"TNHA","TNHA-BASE","1"
"37",2022-09-01 18:00:00,2,"TNHA","TNHA-BASE","1"
"38",2022-09-01 18:30:00,2.5,"TNHA","TNHA-BASE","1"
"39",2022-09-01 19:00:00,1.5,"TNHA","TNHA-BASE","1"
"40",2022-09-01 19:30:00,2,"TNHA","TNHA-BASE","1"
"41",2022-09-01 20:00:00,2,"TNHA","TNHA-BASE","1"
"42",2022-09-01 20:30:00,2,"TNHA","TNHA-BASE","1"
"43",2022-09-01 21:00:00,1.5,"TNHA","TNHA-BASE","1"
"44",2022-09-01 21:30:00,2,"TNHA","TNHA-BASE","1"
