Line#,Date,"Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398676-1), *C, RX3000_BRW1","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4"
1,09/01/22 00:00:00,3.84,3.97,4.14,3.960,4.50,4.089,4.067,4.27,4.20
2,09/01/22 00:30:00,4.09,4.22,4.46,4.260,5.12,4.410,4.110,4.50,4.72
3,09/01/22 01:00:00,4.16,4.31,4.61,4.389,5.30,4.389,4.282,4.82,5.08
4,09/01/22 01:30:00,4.03,4.20,4.31,4.067,4.61,3.960,4.089,4.54,4.76
5,09/01/22 02:00:00,3.77,3.97,3.99,3.810,4.33,4.067,4.024,4.35,4.20
6,09/01/22 02:30:00,3.94,4.07,4.24,4.110,4.59,4.282,4.110,4.37,4.39
7,09/01/22 03:00:00,3.79,3.92,4.05,3.874,4.33,3.810,3.982,4.29,4.33
8,09/01/22 03:30:00,3.69,3.84,3.90,3.746,4.01,3.767,3.831,4.12,4.05
9,09/01/22 04:00:00,3.62,3.79,3.86,3.660,4.09,3.617,3.703,4.09,4.05
10,09/01/22 04:30:00,3.47,3.62,3.69,3.488,3.86,3.488,3.510,3.73,3.71
11,09/01/22 05:00:00,3.47,3.54,3.64,3.510,3.73,3.424,3.445,3.64,3.60
12,09/01/22 05:30:00,3.45,3.58,3.67,3.488,3.73,3.424,3.510,3.71,3.60
13,09/01/22 06:00:00,3.60,3.62,3.79,3.660,3.82,3.424,3.617,3.75,3.71
14,09/01/22 06:30:00,3.52,3.56,3.62,3.488,3.71,3.381,3.467,3.62,3.54
15,09/01/22 07:00:00,3.64,3.67,3.77,3.638,3.82,3.531,3.660,3.77,3.67
