Line#,Date,"Temperature (RXW-GP6 21198259:21206939-7), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-8), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-9), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-10), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-11), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-12), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-13), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-14), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-15), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-16), *C, RX3000_BRW1_TNHA","Temperature (RXW-GP6 21198259:21206939-17), *C, RX3000_BRW1_TNHA"
1,03/05/23 06:00:00,-20.1,-19.1,-18.6,-17.1,-16.2,-15.5,-14.6,-14.6,-13.5,-13.1,-13.0
2,03/05/23 12:00:00,-19.8,-19.1,-18.5,-17.2,-16.3,-15.6,-14.6,-14.6,-13.6,-13.1,-13.1
3,03/05/23 18:00:00,-19.5,-18.8,-18.5,-17.2,-16.3,-15.6,-14.6,-14.6,-13.6,-13.1,-13.1
4,03/06/23 00:00:00,-18.5,-18.1,-18.1,-17.1,-16.3,-15.6,-14.8,-14.8,-13.6,-13.3,-13.1
5,03/06/23 06:00:00,-17.3,-17.3,-17.5,-16.8,-16.2,-15.6,-14.8,-14.8,-13.6,-13.5,-13.1
6,03/06/23 12:00:00,-16.6,-16.5,-16.7,-16.3,-16.1,-15.6,-14.8,-14.8,-13.6,-13.5,-13.1
7,03/06/23 18:00:00,-16.0,-15.8,-16.2,-16.1,-15.7,-15.5,-14.6,-14.8,-13.6,-13.5,-13.3
8,03/07/23 00:00:00,-15.3,-15.3,-15.7,-15.6,-15.5,-15.3,-14.6,-14.6,-13.6,-13.5,-13.1
9,03/07/23 06:00:00,-14.8,-14.7,-15.2,-15.2,-15.2,-15.1,-14.3,-14.6,-13.6,-13.5,-13.1
10,03/07/23 12:00:00,-14.3,-14.3,-14.8,-14.8,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
11,03/07/23 18:00:00,-13.7,-13.7,-14.3,-14.5,-14.7,-14.6,-14.1,-14.3,-13.5,-13.3,-13.1
12,03/08/23 00:00:00,-13.1,-13.2,-13.8,-14.1,-14.5,-14.5,-13.8,-14.1,-13.3,-13.1,-13.1
13,03/08/23 06:00:00,-12.6,-12.7,-13.5,-13.8,-14.1,-14.1,-13.6,-14.1,-13.3,-13.1,-13.1
14,03/08/23 12:00:00,-12.1,-12.2,-13.0,-13.5,-13.8,-14.0,-13.5,-13.8,-13.1,-13.1,-13.0
15,03/08/23 18:00:00,-11.6,-11.7,-12.6,-13.1,-13.6,-13.6,-13.1,-13.6,-13.0,-13.0,-12.8
16,03/09/23 00:00:00,-11.7,-11.6,-12.2,-12.8,-13.2,-13.5,-13.0,-13.5,-12.8,-12.8,-12.6
17,03/09/23 06:00:00,-12.6,-12.1,-12.5,-12.6,-13.1,-13.1,-12.8,-13.3,-12.6,-12.6,-12.6
18,03/09/23 12:00:00,-13.3,-12.7,-12.8,-12.7,-13.0,-13.1,-12.6,-13.1,-12.6,-12.6,-12.5
19,03/09/23 18:00:00,-14.2,-13.5,-13.3,-13.0,-13.1,-13.1,-12.6,-13.1,-12.3,-12.5,-12.5
20,03/10/23 00:00:00,-14.2,-13.7,-13.7,-13.2,-13.2,-13.1,-12.6,-13.0,-12.3,-12.3,-12.3
21,03/10/23 06:00:00,-14.6,-14.0,-13.8,-13.5,-13.2,-13.1,-12.6,-13.0,-12.1,-12.1,-12.1
22,03/10/23 12:00:00,-15.5,-14.7,-14.3,-13.6,-13.3,-13.1,-12.6,-13.0,-12.1,-12.1,-12.1
23,03/10/23 18:00:00,-16.0,-15.2,-14.8,-14.0,-13.6,-13.1,-12.6,-13.0,-12.1,-12.1,-12.1
24,03/11/23 00:00:00,-15.6,-15.2,-15.0,-14.1,-13.7,-13.5,-12.6,-13.1,-12.1,-12.1,-12.1
25,03/11/23 06:00:00,-14.8,-14.6,-14.6,-14.2,-13.8,-13.5,-12.8,-13.1,-12.3,-12.1,-12.1
26,03/11/23 12:00:00,-14.6,-14.2,-14.3,-14.1,-13.8,-13.6,-12.8,-13.1,-12.3,-12.1,-12.1
