Line#,Date,"Wind Speed (RXW-WCF 21198259:21398712-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1),m/s,RX3000_BRW1_TNHA","Wind Speed (S-WSB 21198259:21176861-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398716-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21181033-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398715-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21398711-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350901-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_Hospital","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6_BEO","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6","Wind Speed (S-WSB 21401803:21350901-1),m/s,RX3000_BRW6","Wind Direction (S-WDA 21401803:21350855-1),°,RX3000_BRW6_BEO","Wind Direction (S-WDA 21401803:21350855-1),°,RX3000_BRW6","Wind Direction (S-WDA 21401803:21350819-1),°,RX3000_BRW6"
19,04/09/25 18:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,117,,
20,04/09/25 19:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,
21,04/09/25 19:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,119,,
22,04/09/25 20:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,
23,04/09/25 20:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,
24,04/09/25 21:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,
25,04/09/25 21:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,
26,04/09/25 22:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
27,04/09/25 22:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,
28,04/09/25 23:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
29,04/09/25 23:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,
30,04/10/25 00:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,
31,04/10/25 00:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,
32,04/10/25 01:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,
33,04/10/25 01:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,
34,04/10/25 02:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
35,04/10/25 02:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,161,,
36,04/10/25 03:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,
37,04/10/25 03:25:00 +0000,,,,,,,,,,,,,,,,,,,0.5,,,314,,
38,04/10/25 04:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
39,04/10/25 04:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
40,04/10/25 05:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
41,04/10/25 05:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
42,04/10/25 06:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
43,04/10/25 06:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
44,04/10/25 07:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
45,04/10/25 07:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
46,04/10/25 08:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
47,04/10/25 08:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
48,04/10/25 09:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
49,04/10/25 09:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
50,04/10/25 10:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
51,04/10/25 10:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
52,04/10/25 11:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
53,04/10/25 11:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,
54,04/10/25 12:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
55,04/10/25 12:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,343,,
56,04/10/25 13:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
57,04/10/25 13:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,25,,
58,04/10/25 14:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
59,04/10/25 14:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,25,,
60,04/10/25 15:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
61,04/10/25 15:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,25,,
62,04/10/25 16:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,
63,04/10/25 17:00:00 +0000,,,,,,,,0,,,,0,,,,,,,,,,,,
