Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO"
1,09/01/23 00:00:00,,,,,87,0,267,271,
2,09/01/23 00:05:00,,,,,87,0,267,267,
3,09/01/23 00:10:00,,,,,87,0,267,260,
4,09/01/23 00:15:00,,,,,87,1,267,251,
5,09/01/23 00:20:00,,,,,87,0,267,243,
6,09/01/23 00:25:00,,,,,87,0,267,225,
7,09/01/23 00:30:00,,,,,87,0,267,226,
8,09/01/23 00:35:00,,,,,87,4,267,248,
9,09/01/23 00:40:00,,,,,87,6,267,265,
10,09/01/23 00:45:00,,,,,87,6,267,246,
11,09/01/23 00:50:00,,,,,87,6,267,258,
12,09/01/23 00:55:00,,,,,87,7,265,253,
13,09/01/23 01:00:00,,,,,87,56,265,240,
14,09/01/23 01:05:00,,,,,87,55,265,241,
15,09/01/23 01:10:00,,,,,87,53,261,241,
16,09/01/23 01:15:00,,,,,87,53,260,251,
17,09/01/23 01:20:00,,,,,87,55,264,254,
18,09/01/23 01:25:00,,,,,44,145,74,248,
19,09/01/23 01:30:00,,,,,21,145,94,256,
20,09/01/23 01:35:00,,,,,13,146,295,256,
21,09/01/23 01:40:00,,,,,42,145,42,268,
22,09/01/23 01:45:00,,,,,41,139,51,319,
23,09/01/23 01:50:00,,,,,41,142,56,313,
24,09/01/23 01:55:00,,,,,41,159,65,307,
25,09/01/23 02:00:00,,,,,41,142,60,319,
26,09/01/23 02:05:00,,,,,41,156,58,319,
27,09/01/23 02:10:00,,,,,41,150,59,321,
28,09/01/23 02:15:00,,,,,41,145,59,314,
29,09/01/23 02:20:00,,,,,41,139,59,305,
30,09/01/23 02:25:00,,,,,41,145,59,299,
31,09/01/23 02:30:00,,,,,41,124,59,313,
32,09/01/23 02:35:00,,,,,41,132,59,310,
33,09/01/23 02:40:00,,,,,41,129,59,310,
34,09/01/23 02:45:00,,,,,41,135,59,281,
35,09/01/23 02:50:00,,,,,41,133,66,292,
36,09/01/23 02:55:00,,,,,41,126,67,296,
37,09/01/23 03:00:00,,,,,41,118,67,296,
38,09/01/23 03:05:00,,,,,41,126,67,306,
39,09/01/23 03:10:00,,,,,41,132,67,324,
40,09/01/23 03:15:00,,,,,41,135,66,307,
41,09/01/23 03:20:00,,,,,14,149,52,345,
42,09/01/23 03:25:00,,,,,307,133,267,52,
43,09/01/23 03:30:00,,,,,310,138,236,65,
44,09/01/23 03:35:00,,,,,309,153,270,48,
45,09/01/23 03:40:00,,,,,310,160,268,48,
46,09/01/23 03:45:00,,,,,310,163,271,42,
47,09/01/23 03:50:00,,,,,307,164,292,53,
48,09/01/23 03:55:00,,,,,306,164,277,51,
49,09/01/23 04:00:00,,,,,296,163,264,55,
50,09/01/23 04:05:00,,,,,305,163,344,44,
51,09/01/23 04:10:00,,,,,305,166,281,51,
52,09/01/23 04:15:00,,,,,289,161,250,52,
53,09/01/23 04:20:00,,,,,296,161,251,42,
54,09/01/23 04:25:00,,,,,298,161,258,37,
55,09/01/23 04:30:00,,,,,298,163,295,41,
56,09/01/23 04:35:00,,,,,312,178,305,39,
57,09/01/23 04:40:00,,,,,310,159,277,51,
58,09/01/23 04:45:00,,,,,309,184,263,44,
59,09/01/23 04:50:00,,,,,298,159,271,53,
60,09/01/23 04:55:00,,,,,307,163,264,65,
61,09/01/23 05:00:00,,,,,302,168,279,59,
62,09/01/23 05:05:00,,,,,305,185,272,53,
63,09/01/23 05:10:00,,,,,310,164,274,66,
64,09/01/23 05:15:00,,,,,309,145,274,65,
65,09/01/23 05:20:00,,,,,307,129,257,63,
66,09/01/23 05:25:00,,,,,309,110,264,62,
67,09/01/23 05:30:00,,,,,310,110,268,70,
68,09/01/23 05:35:00,,,,,309,108,274,60,
69,09/01/23 05:40:00,,,,,313,129,278,59,
70,09/01/23 05:45:00,,,,,298,156,271,52,
71,09/01/23 05:50:00,,,,,312,156,270,59,
72,09/01/23 05:55:00,,,,,316,139,265,70,
73,09/01/23 06:00:00,,,,,313,131,268,69,
74,09/01/23 06:05:00,,,,,306,122,233,72,
75,09/01/23 06:10:00,,,,,303,105,260,66,
76,09/01/23 06:15:00,,,,,306,101,267,62,
77,09/01/23 06:20:00,,,,,310,104,265,67,
78,09/01/23 06:25:00,,,,,305,101,277,74,
79,09/01/23 06:30:00,,,,,302,102,261,73,
80,09/01/23 06:35:00,,,,,305,102,251,72,
81,09/01/23 06:40:00,,,,,306,104,254,65,
82,09/01/23 06:45:00,,,,,306,102,264,65,
83,09/01/23 06:50:00,,,,,303,102,247,66,
84,09/01/23 06:55:00,,,,,310,102,268,51,
85,09/01/23 07:00:00,,,,,310,102,261,60,
86,09/01/23 07:05:00,,,,,309,102,261,59,
87,09/01/23 07:10:00,,,,,298,102,253,53,
88,09/01/23 07:15:00,,,,,303,102,257,65,
89,09/01/23 07:20:00,,,,,298,102,260,56,
90,09/01/23 07:25:00,,,,,300,102,264,55,
91,09/01/23 07:30:00,,,,,302,104,260,60,
92,09/01/23 07:35:00,,,,,303,105,260,55,
93,09/01/23 07:40:00,,,,,300,105,258,58,
94,09/01/23 07:45:00,,,,,299,105,251,60,
95,09/01/23 07:50:00,,,,,302,105,253,52,
96,09/01/23 07:55:00,,,,,300,105,263,49,
97,09/01/23 08:00:00,,,,,306,105,260,48,
98,09/01/23 08:05:00,,,,,316,105,260,62,
99,09/01/23 08:10:00,,,,,300,104,265,69,
100,09/01/23 08:15:00,,,,,302,98,257,74,
101,09/01/23 08:20:00,,,,,309,101,248,69,
102,09/01/23 08:25:00,,,,,303,104,278,72,
103,09/01/23 08:30:00,,,,,309,105,263,69,
104,09/01/23 08:35:00,,,,,307,104,265,65,
105,09/01/23 08:40:00,,,,,305,111,271,73,
106,09/01/23 08:45:00,,,,,303,125,279,67,
107,09/01/23 08:50:00,,,,,303,112,267,67,
108,09/01/23 08:55:00,,,,,302,112,295,70,
109,09/01/23 09:00:00,,,,,307,94,272,72,
110,09/01/23 09:05:00,,,,,309,95,320,76,
111,09/01/23 09:10:00,,,,,309,100,306,76,
112,09/01/23 09:15:00,,,,,299,115,268,73,
113,09/01/23 09:20:00,,,,,305,110,263,80,
114,09/01/23 09:25:00,,,,,306,101,274,73,
115,09/01/23 09:30:00,,,,,312,112,237,76,
116,09/01/23 09:35:00,,,,,309,115,286,74,
117,09/01/23 09:40:00,,,,,307,95,250,81,
118,09/01/23 09:45:00,,,,,303,129,257,80,
119,09/01/23 09:50:00,,,,,310,131,281,79,
120,09/01/23 09:55:00,,,,,306,100,250,81,
121,09/01/23 10:00:00,,,,,303,102,271,81,
122,09/01/23 10:05:00,,,,,300,105,256,81,
123,09/01/23 10:10:00,,,,,302,117,270,80,
124,09/01/23 10:15:00,,,,,302,108,247,79,
125,09/01/23 10:20:00,,,,,303,111,267,86,
126,09/01/23 10:25:00,,,,,303,114,288,88,
127,09/01/23 10:30:00,,,,,302,112,298,87,
128,09/01/23 10:35:00,,,,,302,111,260,86,
129,09/01/23 10:40:00,,,,,302,110,343,81,
130,09/01/23 10:45:00,,,,,307,114,277,79,
131,09/01/23 10:50:00,,,,,302,94,265,81,
132,09/01/23 10:55:00,,,,,305,97,267,74,
133,09/01/23 11:00:00,,,,,312,87,306,77,
134,09/01/23 11:05:00,,,,,310,77,246,77,
135,09/01/23 11:10:00,,,,,307,104,284,77,
136,09/01/23 11:15:00,,,,,313,136,316,77,
137,09/01/23 11:20:00,,,,,310,124,241,76,
138,09/01/23 11:25:00,,,,,305,105,258,69,
139,09/01/23 11:30:00,,,,,306,90,299,74,
140,09/01/23 11:35:00,,,,,309,135,281,74,
141,09/01/23 11:40:00,,,,,302,131,260,80,
142,09/01/23 11:45:00,,,,,306,111,274,77,
143,09/01/23 11:50:00,,,,,305,94,289,80,
144,09/01/23 11:55:00,,,,,306,69,267,81,
145,09/01/23 12:00:00,,,,,302,77,246,83,
146,09/01/23 12:05:00,,,,,306,84,251,80,
147,09/01/23 12:10:00,,,,,305,87,257,84,
148,09/01/23 12:15:00,,,,,302,73,258,81,
149,09/01/23 12:20:00,,,,,306,90,263,76,
150,09/01/23 12:25:00,,,,,309,100,292,76,
151,09/01/23 12:30:00,,,,,307,77,275,80,
152,09/01/23 12:35:00,,,,,309,77,263,81,
153,09/01/23 12:40:00,,,,,303,76,244,77,
154,09/01/23 12:45:00,,,,,306,104,260,73,
155,09/01/23 12:50:00,,,,,307,111,277,66,
156,09/01/23 12:55:00,,,,,307,110,258,65,
157,09/01/23 13:00:00,,,,,306,111,246,67,
158,09/01/23 13:05:00,,,,,314,111,258,59,
159,09/01/23 13:10:00,,,,,313,111,272,58,
160,09/01/23 13:15:00,,,,,305,131,222,51,
161,09/01/23 13:20:00,,,,,303,163,246,66,
162,09/01/23 13:25:00,,,,,303,164,264,60,
163,09/01/23 13:30:00,,,,,300,159,265,63,
164,09/01/23 13:35:00,,,,,303,159,264,63,
165,09/01/23 13:40:00,,,,,307,175,265,52,
