Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO"
1,03/01/23 00:00:00,,,,,,,,,,,,-27.976
2,03/01/23 00:05:00,,,,,,,,,,,,-27.976
3,03/01/23 00:10:00,,,,,,,,,,,,-28.040
4,03/01/23 00:15:00,,,,,,,,,,,,-28.105
5,03/01/23 00:20:00,,,,,,,,,,,,-28.147
6,03/01/23 00:25:00,,,,,,,,,,,,-28.147
7,03/01/23 00:30:00,,,,,,,,,,,,-28.169
8,03/01/23 00:35:00,,,,,,,,,,,,-28.212
9,03/01/23 00:40:00,,,,,,,,,,,,-28.190
10,03/01/23 00:45:00,,,,,,,,,,,,-28.169
11,03/01/23 00:50:00,,,,,,,,,,,,-28.169
12,03/01/23 00:55:00,,,,,,,,,,,,-28.169
13,03/01/23 01:00:00,,,,,,,,,,,,-28.126
14,03/01/23 01:05:00,,,,,,,,,,,,-28.126
15,03/01/23 01:10:00,,,,,,,,,,,,-28.083
16,03/01/23 01:15:00,,,,,,,,,,,,-28.083
17,03/01/23 01:20:00,,,,,,,,,,,,-28.105
18,03/01/23 01:25:00,,,,,,,,,,,,-28.126
19,03/01/23 01:30:00,,,,,,,,,,,,-28.126
20,03/01/23 01:35:00,,,,,,,,,,,,-28.147
21,03/01/23 01:40:00,,,,,,,,,,,,-28.169
22,03/01/23 01:45:00,,,,,,,,,,,,-28.190
23,03/01/23 01:50:00,,,,,,,,,,,,-28.212
24,03/01/23 01:55:00,,,,,,,,,,,,-28.255
