Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
1,03/01/23 00:00:00,,,,,,,,,,,,,,,141
2,03/01/23 00:05:00,,,,,,,,,,,,,,,146
3,03/01/23 00:10:00,,,,,,,,,,,,,,,129
4,03/01/23 00:15:00,,,,,,,,,,,,,,,122
5,03/01/23 00:20:00,,,,,,,,,,,,,,,113
6,03/01/23 00:25:00,,,,,,,,,,,,,,,126
7,03/01/23 00:30:00,,,,,,,,,,,,,,,116
8,03/01/23 00:35:00,,,,,,,,,,,,,,,114
9,03/01/23 00:40:00,,,,,,,,,,,,,,,114
10,03/01/23 00:45:00,,,,,,,,,,,,,,,97
11,03/01/23 00:50:00,,,,,,,,,,,,,,,117
12,03/01/23 00:55:00,,,,,,,,,,,,,,,116
13,03/01/23 01:00:00,,,,,,,,,,,,,,,96
14,03/01/23 01:05:00,,,,,,,,,,,,,,,101
15,03/01/23 01:10:00,,,,,,,,,,,,,,,99
16,03/01/23 01:15:00,,,,,,,,,,,,,,,86
17,03/01/23 01:20:00,,,,,,,,,,,,,,,78
18,03/01/23 01:25:00,,,,,,,,,,,,,,,82
19,03/01/23 01:30:00,,,,,,,,,,,,,,,78
20,03/01/23 01:35:00,,,,,,,,,,,,,,,73
21,03/01/23 01:40:00,,,,,,,,,,,,,,,69
22,03/01/23 01:45:00,,,,,,,,,,,,,,,64
23,03/01/23 01:50:00,,,,,,,,,,,,,,,59
24,03/01/23 01:55:00,,,,,,,,,,,,,,,54
25,03/01/23 02:00:00,,,,,,,,,,,,,,,51
26,03/01/23 02:05:00,,,,,,,,,,,,,,,46
27,03/01/23 02:10:00,,,,,,,,,,,,,,,41
28,03/01/23 02:15:00,,,,,,,,,,,,,,,34
29,03/01/23 02:20:00,,,,,,,,,,,,,,,31
30,03/01/23 02:25:00,,,,,,,,,,,,,,,27
31,03/01/23 02:30:00,,,,,,,,,,,,,,,24
32,03/01/23 02:35:00,,,,,,,,,,,,,,,22
33,03/01/23 02:40:00,,,,,,,,,,,,,,,18
34,03/01/23 02:45:00,,,,,,,,,,,,,,,16
35,03/01/23 02:50:00,,,,,,,,,,,,,,,13
36,03/01/23 02:55:00,,,,,,,,,,,,,,,11
37,03/01/23 03:00:00,,,,,,,,,,,,,,,8
38,03/01/23 03:05:00,,,,,,,,,,,,,,,7
39,03/01/23 03:10:00,,,,,,,,,,,,,,,6
40,03/01/23 03:15:00,,,,,,,,,,,,,,,3
41,03/01/23 03:20:00,,,,,,,,,,,,,,,3
42,03/01/23 03:25:00,,,,,,,,,,,,,,,2
43,03/01/23 03:30:00,,,,,,,,,,,,,,,2
44,03/01/23 03:35:00,,,,,,,,,,,,,,,1
45,03/01/23 03:40:00,,,,,,,,,,,,,,,1
46,03/01/23 03:45:00,,,,,,,,,,,,,,,1
47,03/01/23 03:50:00,,,,,,,,,,,,,,,1
48,03/01/23 03:55:00,,,,,,,,,,,,,,,1
49,03/01/23 04:00:00,,,,,,,,,,,,,,,1
50,03/01/23 04:05:00,,,,,,,,,,,,,,,1
51,03/01/23 04:10:00,,,,,,,,,,,,,,,1
52,03/01/23 04:15:00,,,,,,,,,,,,,,,1
53,03/01/23 04:20:00,,,,,,,,,,,,,,,1
54,03/01/23 04:25:00,,,,,,,,,,,,,,,1
55,03/01/23 04:30:00,,,,,,,,,,,,,,,1
56,03/01/23 04:35:00,,,,,,,,,,,,,,,1
57,03/01/23 04:40:00,,,,,,,,,,,,,,,1
58,03/01/23 04:45:00,,,,,,,,,,,,,,,1
59,03/01/23 04:50:00,,,,,,,,,,,,,,,1
60,03/01/23 04:55:00,,,,,,,,,,,,,,,1
61,03/01/23 05:00:00,,,,,,,,,,,,,,,1
62,03/01/23 05:05:00,,,,,,,,,,,,,,,1
63,03/01/23 05:10:00,,,,,,,,,,,,,,,1
64,03/01/23 05:15:00,,,,,,,,,,,,,,,1
65,03/01/23 05:20:00,,,,,,,,,,,,,,,1
66,03/01/23 05:25:00,,,,,,,,,,,,,,,1
67,03/01/23 05:30:00,,,,,,,,,,,,,,,1
68,03/01/23 05:35:00,,,,,,,,,,,,,,,1
69,03/01/23 05:40:00,,,,,,,,,,,,,,,1
70,03/01/23 05:45:00,,,,,,,,,,,,,,,1
71,03/01/23 05:50:00,,,,,,,,,,,,,,,1
72,03/01/23 05:55:00,,,,,,,,,,,,,,,1
73,03/01/23 06:00:00,,,,,,,,,,,,,,,1
74,03/01/23 06:05:00,,,,,,,,,,,,,,,1
75,03/01/23 06:10:00,,,,,,,,,,,,,,,1
76,03/01/23 06:15:00,,,,,,,,,,,,,,,1
77,03/01/23 06:20:00,,,,,,,,,,,,,,,1
78,03/01/23 06:25:00,,,,,,,,,,,,,,,1
79,03/01/23 06:30:00,,,,,,,,,,,,,,,1
80,03/01/23 06:35:00,,,,,,,,,,,,,,,1
81,03/01/23 06:40:00,,,,,,,,,,,,,,,1
82,03/01/23 06:45:00,,,,,,,,,,,,,,,1
83,03/01/23 06:50:00,,,,,,,,,,,,,,,1
84,03/01/23 06:55:00,,,,,,,,,,,,,,,1
85,03/01/23 07:00:00,,,,,,,,,,,,,,,1
86,03/01/23 07:05:00,,,,,,,,,,,,,,,1
87,03/01/23 07:10:00,,,,,,,,,,,,,,,1
88,03/01/23 07:15:00,,,,,,,,,,,,,,,1
89,03/01/23 07:20:00,,,,,,,,,,,,,,,1
90,03/01/23 07:25:00,,,,,,,,,,,,,,,1
91,03/01/23 07:30:00,,,,,,,,,,,,,,,1
92,03/01/23 07:35:00,,,,,,,,,,,,,,,1
