Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH"
1,06/01/23 00:00:00,-1.98,-2.45,-3.35,128.830,-3.01,-2.32,-2.431,-0.77,-2.88,-0.82,-2.86,,,,,,
2,06/01/23 00:05:00,,,,,-3.11,,,,,,,,,,,,
3,06/01/23 00:10:00,,,,,-2.98,,,,,,,,,,,,
4,06/01/23 00:15:00,,,,,-3.11,,,,,,,,,,,,
5,06/01/23 00:20:00,,,,,-3.07,,,,,,,,,,,,
6,06/01/23 00:25:00,,,,,-2.77,,,,,,,,,,,,
7,06/01/23 00:30:00,,,,,-2.79,,,,,,,,,,,,
8,06/01/23 00:35:00,,,,,-2.64,,,,,,,,,,,,
9,06/01/23 00:40:00,,,,,-2.66,,,,,,,-0.909,,,,,
10,06/01/23 00:45:00,,,,,-2.49,,,,,,,,,,,,
11,06/01/23 00:50:00,,,,,-2.49,,,,,,,,,,,,
12,06/01/23 00:55:00,,,,,-2.49,,,,,,,,,,,,
13,06/01/23 01:00:00,-0.71,-1.53,-2.98,128.830,-2.43,-1.98,-1.938,-0.39,-2.06,0.04,-2.32,,,,,,
14,06/01/23 01:05:00,,,,,-2.77,,,,,,,,,,,,
15,06/01/23 01:10:00,,,,,-2.68,,,,,,,,,,,,
16,06/01/23 01:15:00,,,,,-2.64,,,,,,,,,,,,
17,06/01/23 01:20:00,,,,,-2.73,,,,,,,,,,,,
18,06/01/23 01:25:00,,,,,-2.41,,,,,,,,,,,,
19,06/01/23 01:30:00,,,,,-2.49,,,,,,,,,,,,
20,06/01/23 01:35:00,,,,,-2.58,,,,,,,,,,,,
21,06/01/23 01:40:00,,,,,-2.17,,,,,,,-0.823,,,,,
22,06/01/23 01:45:00,,,,,-1.91,,,,,,,,,,,,
23,06/01/23 01:50:00,,,,,-1.85,,,,,,,,,,,,
24,06/01/23 01:55:00,,,,,-2.10,,,,,,,,,,,,
25,06/01/23 02:00:00,-1.46,-1.18,-1.78,128.830,-1.76,-1.74,-1.509,0.10,-1.38,-0.26,-1.46,,,,,,
26,06/01/23 02:05:00,,,,,-2.08,,,,,,,,,,,,
27,06/01/23 02:10:00,,,,,-1.74,,,,,,,,,,,,
28,06/01/23 02:15:00,,,,,-1.65,,,,,,,,,,,,
29,06/01/23 02:20:00,,,,,-1.29,,,,,,,,,,,,
30,06/01/23 02:25:00,,,,,-1.31,,,,,,,,,,,,
31,06/01/23 02:30:00,,,,,-1.80,,,,,,,,,,,,
32,06/01/23 02:35:00,,,,,-1.98,,,,,,,,,,,,
33,06/01/23 02:40:00,,,,,-2.13,,,,,,,-1.080,,,,,
34,06/01/23 02:45:00,,,,,-2.13,,,,,,,,,,,,
35,06/01/23 02:50:00,,,,,-2.02,,,,,,,,,,,,
36,06/01/23 02:55:00,,,,,-1.98,,,,,,,,,,,,
37,06/01/23 03:00:00,-1.78,-1.53,-1.42,128.830,-1.91,-1.78,-1.681,-0.47,-1.87,-0.43,-1.74,,,,,,
