Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398621-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5_BUECI","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
1,06/01/23 00:00:00,289,241,237,328,181,212,,,,248,232,238,141,328,,,1,
2,06/01/23 00:05:00,,,,,,213,,,,,,,,,,,,
3,06/01/23 00:10:00,,,,,,204,,,,,,,,,,,,
4,06/01/23 00:15:00,,,,,,201,,,,,,,,,,,,
5,06/01/23 00:20:00,,,,,,231,,,,,,,,,,,,
6,06/01/23 00:25:00,,,,,,261,,,,,,,,,,,,
7,06/01/23 00:30:00,,,,,,233,,,,,,,,,,,,
8,06/01/23 00:35:00,,,,,,236,,,,,,,,,,,,
9,06/01/23 00:40:00,,,,,,261,,,,,,,,,,,,453
10,06/01/23 00:45:00,,,,,,287,,,,,,,,,,,,
11,06/01/23 00:50:00,,,,,,306,,,,,,,,,,,,
12,06/01/23 00:55:00,,,,,,308,,,,,,,,,,,,
13,06/01/23 01:00:00,281,247,252,371,236,389,,,,296,258,298,147,336,,,1,
14,06/01/23 01:05:00,,,,,,266,,,,,,,,,,,,
15,06/01/23 01:10:00,,,,,,274,,,,,,,,,,,,
16,06/01/23 01:15:00,,,,,,277,,,,,,,,,,,,
17,06/01/23 01:20:00,,,,,,253,,,,,,,,,,,,
18,06/01/23 01:25:00,,,,,,327,,,,,,,,,,,,
19,06/01/23 01:30:00,,,,,,299,,,,,,,,,,,,
20,06/01/23 01:35:00,,,,,,267,,,,,,,,,,,,
21,06/01/23 01:40:00,,,,,,272,,,,,,,,,,,,504
22,06/01/23 01:45:00,,,,,,346,,,,,,,,,,,,
23,06/01/23 01:50:00,,,,,,327,,,,,,,,,,,,
24,06/01/23 01:55:00,,,,,,316,,,,,,,,,,,,
25,06/01/23 02:00:00,287,191,223,353,267,322,,,,279,218,307,118,281,,,1,
26,06/01/23 02:05:00,,,,,,251,,,,,,,,,,,,
27,06/01/23 02:10:00,,,,,,316,,,,,,,,,,,,
28,06/01/23 02:15:00,,,,,,329,,,,,,,,,,,,
29,06/01/23 02:20:00,,,,,,394,,,,,,,,,,,,
30,06/01/23 02:25:00,,,,,,346,,,,,,,,,,,,
31,06/01/23 02:30:00,,,,,,219,,,,,,,,,,,,
32,06/01/23 02:35:00,,,,,,188,,,,,,,,,,,,
33,06/01/23 02:40:00,,,,,,133,,,,,,,,,,,,257
34,06/01/23 02:45:00,,,,,,131,,,,,,,,,,,,
35,06/01/23 02:50:00,,,,,,143,,,,,,,,,,,,
36,06/01/23 02:55:00,,,,,,144,,,,,,,,,,,,
37,06/01/23 03:00:00,216,172,199,292,193,159,,,,228,181,244,108,247,,,1,
38,06/01/23 03:05:00,,,,,,179,,,,,,,,,,,,
39,06/01/23 03:10:00,,,,,,202,,,,,,,,,,,,
40,06/01/23 03:15:00,,,,,,236,,,,,,,,,,,,
41,06/01/23 03:20:00,,,,,,258,,,,,,,,,,,,
42,06/01/23 03:25:00,,,,,,233,,,,,,,,,,,,
43,06/01/23 03:30:00,,,,,,133,,,,,,,,,,,,
44,06/01/23 03:35:00,,,,,,103,,,,,,,,,,,,
45,06/01/23 03:40:00,,,,,,99,,,,,,,,,,,,186
46,06/01/23 03:45:00,,,,,,101,,,,,,,,,,,,
47,06/01/23 03:50:00,,,,,,101,,,,,,,,,,,,
48,06/01/23 03:55:00,,,,,,98,,,,,,,,,,,,
49,06/01/23 04:00:00,109,126,151,203,112,89,,,,148,131,157,83,128,,,1,
50,06/01/23 04:05:00,,,,,,77,,,,,,,,,,,,
51,06/01/23 04:10:00,,,,,,84,,,,,,,,,,,,
52,06/01/23 04:15:00,,,,,,103,,,,,,,,,,,,
53,06/01/23 04:20:00,,,,,,134,,,,,,,,,,,,
54,06/01/23 04:25:00,,,,,,191,,,,,,,,,,,,
55,06/01/23 04:30:00,,,,,,149,,,,,,,,,,,,
56,06/01/23 04:35:00,,,,,,273,,,,,,,,,,,,
57,06/01/23 04:40:00,,,,,,241,,,,,,,,,,,,267
58,06/01/23 04:45:00,,,,,,132,,,,,,,,,,,,
59,06/01/23 04:50:00,,,,,,171,,,,,,,,,,,,
60,06/01/23 04:55:00,,,,,,372,,,,,,,,,,,,
61,06/01/23 05:00:00,68,98,208,188,83,318,,,,111,94,194,64,246,,,1,
62,06/01/23 05:05:00,,,,,,264,,,,,,,,,,,,
63,06/01/23 05:10:00,,,,,,292,,,,,,,,,,,,
64,06/01/23 05:15:00,,,,,,288,,,,,,,,,,,,
65,06/01/23 05:20:00,,,,,,294,,,,,,,,,,,,
66,06/01/23 05:25:00,,,,,,273,,,,,,,,,,,,
67,06/01/23 05:30:00,,,,,,267,,,,,,,,,,,,
68,06/01/23 05:35:00,,,,,,259,,,,,,,,,,,,
69,06/01/23 05:40:00,,,,,,253,,,,,,,,,,,,194
70,06/01/23 05:45:00,,,,,,247,,,,,,,,,,,,
71,06/01/23 05:50:00,,,,,,243,,,,,,,,,,,,
72,06/01/23 05:55:00,,,,,,237,,,,,,,,,,,,
73,06/01/23 06:00:00,26,28,349,243,29,233,,,,24,19,238,21,172,,,1,
74,06/01/23 06:05:00,,,,,,232,,,,,,,,,,,,
75,06/01/23 06:10:00,,,,,,227,,,,,,,,,,,,
76,06/01/23 06:15:00,,,,,,222,,,,,,,,,,,,
77,06/01/23 06:20:00,,,,,,213,,,,,,,,,,,,
78,06/01/23 06:25:00,,,,,,204,,,,,,,,,,,,
79,06/01/23 06:30:00,,,,,,199,,,,,,,,,,,,
80,06/01/23 06:35:00,,,,,,191,,,,,,,,,,,,
81,06/01/23 06:40:00,,,,,,186,,,,,,,,,,,,122
82,06/01/23 06:45:00,,,,,,231,,,,,,,,,,,,
83,06/01/23 06:50:00,,,,,,217,,,,,,,,,,,,
84,06/01/23 06:55:00,,,,,,199,,,,,,,,,,,,
85,06/01/23 07:00:00,19,22,289,227,21,198,,,,17,14,168,16,126,,,1,
86,06/01/23 07:05:00,,,,,,194,,,,,,,,,,,,
87,06/01/23 07:10:00,,,,,,171,,,,,,,,,,,,
88,06/01/23 07:15:00,,,,,,146,,,,,,,,,,,,
89,06/01/23 07:20:00,,,,,,143,,,,,,,,,,,,
90,06/01/23 07:25:00,,,,,,134,,,,,,,,,,,,
91,06/01/23 07:30:00,,,,,,129,,,,,,,,,,,,
92,06/01/23 07:35:00,,,,,,128,,,,,,,,,,,,
93,06/01/23 07:40:00,,,,,,137,,,,,,,,,,,,69
94,06/01/23 07:45:00,,,,,,103,,,,,,,,,,,,
95,06/01/23 07:50:00,,,,,,56,,,,,,,,,,,,
96,06/01/23 07:55:00,,,,,,41,,,,,,,,,,,,
97,06/01/23 08:00:00,36,27,191,151,22,38,,,,21,19,96,19,51,,,1,
98,06/01/23 08:05:00,,,,,,46,,,,,,,,,,,,
99,06/01/23 08:10:00,,,,,,36,,,,,,,,,,,,
100,06/01/23 08:15:00,,,,,,29,,,,,,,,,,,,
101,06/01/23 08:20:00,,,,,,24,,,,,,,,,,,,
102,06/01/23 08:25:00,,,,,,21,,,,,,,,,,,,
103,06/01/23 08:30:00,,,,,,22,,,,,,,,,,,,
104,06/01/23 08:35:00,,,,,,31,,,,,,,,,,,,
105,06/01/23 08:40:00,,,,,,33,,,,,,,,,,,,34
106,06/01/23 08:45:00,,,,,,43,,,,,,,,,,,,
107,06/01/23 08:50:00,,,,,,33,,,,,,,,,,,,
108,06/01/23 08:55:00,,,,,,37,,,,,,,,,,,,
