Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4_SSMH"
1,03/11/24 21:00:00,,-26.410,,-27.46,,,,,
2,03/11/24 22:00:00,-24.16,-25.681,-28.32,-26.54,-28.02,,,,
3,03/11/24 23:00:00,-26.11,-26.153,-28.17,-27.97,-28.17,,,,
4,03/12/24 00:00:00,-23.68,-25.037,-25.96,-27.03,-27.46,,,,
5,03/12/24 01:00:00,-23.38,-29.155,-27.93,-29.13,-27.72,,,,
6,03/12/24 02:00:00,-26.56,-29.906,-29.37,-29.93,-28.60,,,,
7,03/12/24 03:00:00,-28.92,-29.799,-28.87,-29.71,-28.72,,,,
8,03/12/24 04:00:00,-31.13,-31.279,-31.43,-31.23,-30.23,,,,
9,03/12/24 05:00:00,-31.28,-31.343,-31.62,-31.19,-30.35,,,,
10,03/12/24 06:00:00,-32.29,-32.201,-32.65,-32.14,-31.23,,,,
11,03/12/24 07:00:00,-32.61,-32.587,-32.82,-32.52,-31.71,,,,
12,03/12/24 08:00:00,-31.94,-31.922,-31.92,-31.88,-30.70,,,,
13,03/12/24 09:00:00,-32.86,-32.716,-33.31,-32.69,-31.88,,,,
14,03/12/24 10:00:00,-32.50,-32.609,-33.57,-32.50,-31.86,,,,
15,03/12/24 11:00:00,-33.31,-33.295,-33.81,-33.27,-32.20,,,,
16,03/12/24 12:00:00,-32.46,-32.158,-33.42,-32.22,-31.86,,,,
17,03/12/24 13:00:00,-32.82,-33.445,-33.64,-33.12,-32.99,,,,
18,03/12/24 14:00:00,-33.49,-33.488,-33.98,-33.47,-32.69,,,,
19,03/12/24 15:00:00,-33.42,-33.488,-34.26,-33.47,-32.76,,,,
20,03/12/24 16:00:00,-34.73,-34.560,-35.14,-34.75,-33.72,,,,
21,03/12/24 17:00:00,-32.93,-32.759,-33.57,-32.78,-32.24,,,,
22,03/12/24 18:00:00,-33.72,-33.188,-34.22,-33.21,-32.86,,,,
23,03/12/24 19:00:00,-31.99,-30.056,-32.97,-31.04,-31.56,,,,
24,03/12/24 20:00:00,-30.91,-30.013,-32.29,-30.57,-31.64,,,,
25,03/12/24 21:00:00,-27.95,-28.255,-30.57,-28.96,-30.25,,,,
26,03/12/24 22:00:00,-23.81,-26.196,-28.57,-27.48,-28.70,,-31.23,,-26.21
27,03/12/24 23:00:00,-25.44,-28.834,-29.93,-30.16,-29.28,-24.69,-31.94,-30.16,-28.72
28,03/13/24 00:00:00,-23.34,-27.890,-28.92,-29.67,-29.33,-22.65,-31.04,-29.73,-28.40
29,03/13/24 01:00:00,-23.34,-29.670,-28.53,-29.71,-28.57,-22.42,-30.61,-28.47,-26.45
30,03/13/24 02:00:00,-26.45,-30.571,-29.48,-30.68,-29.24,-30.27,-31.34,-30.29,-28.66
31,03/13/24 03:00:00,-31.00,-31.922,-31.26,-31.96,-29.88,-30.44,-31.79,-32.41,-31.23
32,03/13/24 04:00:00,-32.31,-32.609,-32.69,-32.48,-31.30,-33.81,-33.01,-33.53,-32.95
33,03/13/24 05:00:00,-31.68,-31.708,-32.26,-31.68,-30.74,-33.96,-33.16,-33.74,-32.84
34,03/13/24 06:00:00,-33.04,-33.038,-33.31,-32.93,-31.58,-34.82,-33.96,-34.45,-33.83
35,03/13/24 07:00:00,-32.89,-32.866,-33.16,-32.80,-31.79,-34.58,-33.51,-34.00,-33.38
36,03/13/24 08:00:00,-32.11,-32.029,-32.50,-32.03,-31.56,-33.96,-33.08,-33.87,-33.31
37,03/13/24 09:00:00,-32.26,-32.223,-32.82,-32.05,-31.58,-33.06,-32.37,-32.91,-32.89
38,03/13/24 10:00:00,-31.15,-31.107,-31.56,-30.98,-30.83,-32.67,-31.00,-32.29,-32.33
39,03/13/24 11:00:00,-30.74,-30.657,-31.43,-30.72,-30.29,-33.42,-31.19,-32.82,-32.65
