Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH"
1,03/11/24 21:00:00,164,,,,437,,,
2,03/11/24 22:00:00,158,297,37,312,327,,,
3,03/11/24 23:00:00,174,109,34,333,379,,,
4,03/12/24 00:00:00,168,41,33,327,358,,,
5,03/12/24 01:00:00,39,29,31,294,404,,,
6,03/12/24 02:00:00,22,17,27,221,323,,,
7,03/12/24 03:00:00,9,11,24,92,202,,,
8,03/12/24 04:00:00,2,4,14,36,46,,,
9,03/12/24 05:00:00,1,1,1,2,1,,,
10,03/12/24 06:00:00,1,1,1,1,1,,,
11,03/12/24 07:00:00,1,1,1,1,1,,,
12,03/12/24 08:00:00,1,1,1,1,1,,,
13,03/12/24 09:00:00,1,1,1,1,1,,,
14,03/12/24 10:00:00,1,1,1,1,1,,,
15,03/12/24 11:00:00,1,1,1,1,1,,,
16,03/12/24 12:00:00,1,1,1,1,1,,,
17,03/12/24 13:00:00,1,1,1,1,1,,,
18,03/12/24 14:00:00,1,1,1,1,1,,,
19,03/12/24 15:00:00,1,1,1,1,1,,,
20,03/12/24 16:00:00,1,1,1,1,1,,,
21,03/12/24 17:00:00,3,1,1,1,1,,,
22,03/12/24 18:00:00,44,34,7,8,4,,,
23,03/12/24 19:00:00,128,177,18,24,28,,,
24,03/12/24 20:00:00,154,269,27,114,151,,,
25,03/12/24 21:00:00,153,303,32,177,294,,,
26,03/12/24 22:00:00,187,303,37,199,361,41,,304
27,03/12/24 23:00:00,191,113,34,214,447,36,,306
28,03/13/24 00:00:00,182,42,34,208,409,37,,284
29,03/13/24 01:00:00,44,32,32,191,422,38,,247
30,03/13/24 02:00:00,23,19,31,138,303,38,,177
31,03/13/24 03:00:00,12,13,27,81,168,56,,89
32,03/13/24 04:00:00,4,4,16,28,34,36,,19
33,03/13/24 05:00:00,1,1,2,2,1,2,,2
34,03/13/24 06:00:00,1,1,1,1,1,1,,1
35,03/13/24 07:00:00,1,1,1,1,1,1,,1
36,03/13/24 08:00:00,1,1,1,1,1,1,,1
37,03/13/24 09:00:00,1,1,1,1,1,1,,1
38,03/13/24 10:00:00,1,1,1,1,1,1,,1
39,03/13/24 11:00:00,1,1,1,1,1,1,,1
40,03/13/24 12:00:00,1,1,1,1,1,1,,1
41,03/13/24 13:00:00,1,1,1,1,1,1,,1
42,03/13/24 14:00:00,1,1,1,1,1,1,,1
43,03/13/24 15:00:00,1,1,1,1,1,1,,1
44,03/13/24 16:00:00,1,1,1,1,1,1,,1
45,03/13/24 17:00:00,3,1,1,1,1,1,,1
46,03/13/24 18:00:00,71,64,8,9,6,6,,39
47,03/13/24 19:00:00,89,169,18,26,27,14,,121
48,03/13/24 20:00:00,161,247,24,118,151,18,228,182
49,03/13/24 21:00:00,183,342,31,202,341,24,237,261
50,03/13/24 22:00:00,194,348,34,229,422,31,72,307
51,03/13/24 23:00:00,156,122,41,222,408,43,123,297
52,03/14/24 00:00:00,126,53,44,196,341,48,152,252
53,03/14/24 01:00:00,46,38,32,192,384,38,122,229
54,03/14/24 02:00:00,26,19,28,164,342,32,129,187
55,03/14/24 03:00:00,12,12,24,108,222,66,24,108
56,03/14/24 04:00:00,3,6,22,47,66,74,12,32
57,03/14/24 05:00:00,1,1,2,3,2,7,1,2
58,03/14/24 06:00:00,1,1,1,1,1,1,1,1
59,03/14/24 07:00:00,1,1,1,1,1,1,1,1
60,03/14/24 08:00:00,1,1,1,1,1,1,1,1
61,03/14/24 09:00:00,1,1,1,1,1,1,1,1
62,03/14/24 10:00:00,1,1,1,1,1,1,1,1
63,03/14/24 11:00:00,1,1,1,1,1,1,1,1
64,03/14/24 12:00:00,1,1,1,1,1,1,1,1
65,03/14/24 13:00:00,1,1,1,1,1,1,1,1
66,03/14/24 14:00:00,1,1,1,1,1,1,1,1
67,03/14/24 15:00:00,1,1,1,1,1,1,1,1
68,03/14/24 16:00:00,1,1,1,1,1,1,1,1
69,03/14/24 17:00:00,4,2,1,1,1,1,2,2
70,03/14/24 18:00:00,81,82,11,12,7,6,41,41
71,03/14/24 19:00:00,146,199,19,27,28,12,109,137
72,03/14/24 20:00:00,177,296,26,132,174,17,176,224
73,03/14/24 21:00:00,193,351,31,216,364,22,227,273
74,03/14/24 22:00:00,211,358,33,234,434,27,66,306
75,03/14/24 23:00:00,222,112,32,241,473,28,128,323
