Line#,Date,"Wind Speed (RXW-WCF 21198259:21181033-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21181033-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21206909-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398709-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398712-1), m/s, RX3000_BRW1_TNHA","Gust Speed (RXW-WCF 21198259:21398712-2), m/s, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398712-3), *, RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21206911-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21206912-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21398711-1), m/s, RX3000_BRW4_SSMH","Gust Speed (RXW-WCF 21401801:21398711-2), m/s, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH"
1,03/11/24 21:00:00,,,,0.0,0.3,83,,,,,,,,,,,,,,,
2,03/11/24 22:00:00,0.0,0.0,354,0.0,0.7,77,0.3,1.3,264,0.3,1.3,104,,,,,,,,,
3,03/11/24 23:00:00,0.0,0.0,352,0.0,0.7,84,0.3,1.7,236,0.3,1.3,94,,,,,,,,,
4,03/12/24 00:00:00,0.0,0.0,352,0.0,0.7,73,0.3,1.7,263,0.3,1.3,97,,,,,,,,,
5,03/12/24 01:00:00,0.0,0.0,352,0.0,0.7,72,0.0,1.3,190,0.3,1.3,87,,,,,,,,,
6,03/12/24 02:00:00,0.0,0.0,355,0.0,1.0,87,0.3,1.3,132,0.7,1.7,81,,,,,,,,,
7,03/12/24 03:00:00,0.0,0.0,357,0.3,1.0,111,0.3,1.7,279,0.7,1.7,83,,,,,,,,,
8,03/12/24 04:00:00,0.0,0.0,358,0.0,1.0,122,0.0,1.3,285,0.7,1.7,84,,,,,,,,,
9,03/12/24 05:00:00,0.0,0.0,358,0.3,1.0,122,0.0,1.3,267,0.7,1.7,80,,,,,,,,,
10,03/12/24 06:00:00,0.0,0.0,358,0.0,0.7,124,0.0,1.3,267,0.7,1.7,86,,,,,,,,,
11,03/12/24 07:00:00,0.0,0.0,358,0.3,1.0,125,0.0,1.3,264,1.0,2.0,80,,,,,,,,,
12,03/12/24 08:00:00,0.0,0.0,358,0.0,1.0,132,0.0,1.3,233,0.7,1.7,84,,,,,,,,,
13,03/12/24 09:00:00,0.0,0.0,358,0.0,0.7,132,0.0,1.7,188,0.3,1.3,81,,,,,,,,,
14,03/12/24 10:00:00,0.0,0.0,358,0.0,0.7,132,0.0,1.0,246,0.3,1.0,81,,,,,,,,,
