Line#,Date,"Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21398676-1), *C, RX3000_BRW1","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21362254-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21362256-1), *C, RX3000_BRW5","Temperature (S-THC 21401800:21390851-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5","Temperature (RXW-THC 21401800:21398671-1), *C, RX3000_BRW5","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6"
1,06/19/22 00:00:00,4.410,11.41,-0.77,-1.29,1.28,0.979,,,,,,,,
2,06/19/22 00:05:00,4.475,11.60,-0.80,-1.33,1.71,0.807,,,,,,,,
3,06/19/22 00:10:00,4.453,11.58,-0.75,-1.10,1.78,0.743,,,,,,,,
4,06/19/22 00:15:00,4.282,10.62,-0.88,-1.16,2.10,0.679,,,,,,,,
5,06/19/22 00:20:00,4.303,7.93,-0.86,-1.20,2.10,0.614,,,,,,,,
6,06/19/22 00:25:00,4.475,8.62,-0.82,-1.20,2.06,0.700,,,,,,,,
7,06/19/22 00:30:00,4.153,7.46,-1.01,-1.10,2.42,0.721,,,,,,,,
8,06/19/22 00:35:00,4.475,7.81,-0.95,-1.03,2.25,0.786,,,,,,,,
9,06/19/22 00:40:00,4.432,7.12,-0.93,-0.95,2.40,0.657,,,,,,,,
10,06/19/22 00:45:00,4.818,7.23,-0.93,-1.10,2.59,0.636,,,,,,,,
11,06/19/22 00:50:00,5.183,7.38,-0.93,-0.95,3.06,0.636,,,,,,,,
12,06/19/22 00:55:00,5.440,6.52,-0.86,-0.71,2.81,0.400,,,,,,,,
13,06/19/22 01:00:00,5.226,7.68,-0.60,-0.62,2.98,0.400,,,,,,,,
14,06/19/22 01:05:00,5.161,7.31,-0.58,-0.30,3.32,0.657,,,,,,,,
15,06/19/22 01:10:00,5.075,7.27,-0.39,-0.43,3.56,0.743,,,,,,,,
16,06/19/22 01:15:00,5.204,7.89,-0.47,-0.32,3.62,0.721,,,,,,,,
17,06/19/22 01:20:00,5.032,8.47,-0.09,0.00,3.88,1.000,,,,,,,,
18,06/19/22 01:25:00,5.011,9.05,0.32,0.30,4.67,1.472,,,,,,,,
19,06/19/22 01:30:00,4.861,9.46,0.75,0.55,5.90,1.365,,,,,,,,
20,06/19/22 01:35:00,4.475,9.65,0.83,0.64,6.84,1.558,,,,,,,,
21,06/19/22 01:40:00,4.754,9.18,0.98,1.03,6.60,1.665,,,,,,,,
