Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21981320-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401803:21981318-1), *C, RX3000_BRW6_BEO"
1,06/01/24 00:00:00,8.66,6.620,0.08,-1.50,-1.68,5.19,1.46,0.36,6.45,,
2,06/01/24 01:00:00,10.12,4.904,0.17,-1.29,-1.33,5.85,1.76,1.56,4.69,,
3,06/01/24 02:00:00,6.26,3.660,0.21,-1.27,-1.16,4.84,0.94,-0.07,3.60,,
4,06/01/24 03:00:00,4.24,4.153,0.66,-1.10,-0.56,6.90,2.21,0.96,2.59,,
5,06/01/24 04:00:00,2.16,1.536,0.62,-1.01,0.66,6.88,1.73,0.55,1.39,,
6,06/01/24 05:00:00,1.56,0.121,0.25,-0.95,0.94,6.00,1.58,-0.43,0.64,,
7,06/01/24 06:00:00,0.62,-0.544,1.39,-0.80,3.47,11.26,2.34,1.01,-0.20,,
8,06/01/24 07:00:00,-0.07,-1.338,-1.33,-1.46,-1.14,0.21,0.17,-0.39,-0.50,,
9,06/01/24 08:00:00,-0.17,-0.737,-1.44,-1.55,-1.50,-0.62,-0.75,-0.93,-0.15,,
10,06/01/24 09:00:00,-0.39,-1.531,-1.91,-2.06,-2.04,-1.29,-1.12,-1.46,-0.86,,
11,06/01/24 10:00:00,-1.16,-1.895,-2.30,-2.28,-2.26,-1.70,-1.50,-1.68,-0.88,,
12,06/01/24 11:00:00,-1.35,-2.024,-2.36,-2.36,-2.38,-1.76,-1.61,-1.80,-1.10,,
13,06/01/24 12:00:00,-1.01,-1.531,-1.80,-1.74,-1.74,-1.44,-1.42,-1.55,-1.05,,
14,06/01/24 13:00:00,-0.52,-0.930,-1.35,-1.42,-1.42,-0.88,-1.10,-1.23,-0.73,,
15,06/01/24 14:00:00,-0.30,-0.415,-1.03,-1.10,-1.12,-0.56,-0.99,-1.01,-0.50,,
16,06/01/24 15:00:00,0.02,-0.201,-0.22,-0.50,-0.73,0.96,-0.39,-0.50,0.10,,
17,06/01/24 16:00:00,-0.05,-0.094,-0.50,-0.65,-0.71,-0.09,-0.20,-0.41,0.71,,
18,06/01/24 17:00:00,-0.32,-0.351,-0.75,-1.05,-1.10,0.00,-0.69,-0.84,-0.05,,
19,06/01/24 18:00:00,-0.84,-0.630,-1.55,-1.72,-1.87,-0.43,-1.25,-1.65,0.36,,
20,06/01/24 19:00:00,-1.44,-1.509,-1.29,-2.17,-2.79,-0.37,-1.95,-2.04,-0.35,,
21,06/01/24 20:00:00,-0.05,-0.201,-1.44,-1.20,-2.32,0.58,-1.55,-1.74,0.64,,
22,06/01/24 21:00:00,0.40,0.335,-1.18,-1.55,-1.98,0.83,-0.95,-1.33,1.26,,
23,06/01/24 22:00:00,0.73,0.872,-0.60,-1.18,-1.48,0.96,-0.54,-0.90,2.85,,
24,06/01/24 23:00:00,0.79,0.400,0.51,-0.39,-0.93,2.03,0.13,-0.41,2.51,,
25,06/02/24 00:00:00,1.31,1.215,0.73,-0.05,-0.32,4.27,0.83,0.49,1.86,,
26,06/02/24 01:00:00,1.58,1.108,0.40,-0.24,-0.47,2.74,0.92,0.60,2.46,,
27,06/02/24 02:00:00,1.80,1.065,0.04,-0.07,-0.20,1.65,0.79,0.23,2.01,,
28,06/02/24 03:00:00,0.94,0.421,0.49,-0.52,-0.67,2.03,0.17,0.00,0.77,,
29,06/02/24 04:00:00,0.21,-0.287,-0.95,-1.20,-1.18,0.21,-0.65,-0.80,1.61,,
30,06/02/24 05:00:00,-0.58,-0.844,-0.82,-1.44,-1.48,-0.17,-0.67,-1.10,0.34,,
31,06/02/24 06:00:00,-1.18,-1.423,-1.59,-1.93,-2.00,-0.93,-1.44,-1.63,-0.73,,
