Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
1,06/01/24 00:00:00,648,46,,568,799,587,,49,698,
2,06/01/24 01:00:00,581,38,,563,772,557,,491,594,
3,06/01/24 02:00:00,502,34,,526,694,506,,47,533,
4,06/01/24 03:00:00,422,28,,474,564,448,,39,467,
5,06/01/24 04:00:00,34,24,,414,142,379,,228,44,
6,06/01/24 05:00:00,28,22,,319,34,307,,157,29,
7,06/01/24 06:00:00,23,19,,203,23,241,,153,23,
8,06/01/24 07:00:00,14,14,,129,14,117,,69,18,
9,06/01/24 08:00:00,32,19,,52,18,33,,39,32,
10,06/01/24 09:00:00,18,14,,36,12,22,,29,21,
11,06/01/24 10:00:00,18,9,,22,8,12,,19,16,
12,06/01/24 11:00:00,17,9,,18,7,9,,17,13,
13,06/01/24 12:00:00,23,12,,22,9,12,,21,18,
14,06/01/24 13:00:00,36,19,,32,14,19,,29,28,
15,06/01/24 14:00:00,57,31,,47,23,29,,44,43,
16,06/01/24 15:00:00,92,51,,77,34,46,,72,69,
17,06/01/24 16:00:00,93,71,,108,52,64,,97,97,
18,06/01/24 17:00:00,129,82,,134,66,82,,118,121,
19,06/01/24 18:00:00,253,117,,154,79,87,,139,142,
20,06/01/24 19:00:00,267,198,,211,118,114,,218,224,
21,06/01/24 20:00:00,334,373,,323,211,147,,336,353,
22,06/01/24 21:00:00,309,277,,349,232,219,,359,422,
23,06/01/24 22:00:00,447,284,,391,271,257,,336,409,
24,06/01/24 23:00:00,358,237,,371,246,258,,304,371,
25,06/02/24 00:00:00,371,202,,349,214,236,,278,328,
26,06/02/24 01:00:00,334,176,,384,303,277,,271,352,
27,06/02/24 02:00:00,191,123,,389,342,318,,203,372,
28,06/02/24 03:00:00,221,123,,307,213,222,,197,256,
29,06/02/24 04:00:00,166,101,,216,118,144,,158,173,
30,06/02/24 05:00:00,119,72,,149,77,101,,116,122,
31,06/02/24 06:00:00,73,54,,101,51,77,,89,93,
32,06/02/24 07:00:00,52,42,,73,37,51,,66,68,
33,06/02/24 08:00:00,24,19,,33,16,22,,29,31,
34,06/02/24 09:00:00,8,9,,18,8,11,,16,16,
35,06/02/24 10:00:00,3,3,,6,2,3,,6,6,
36,06/02/24 11:00:00,2,1,,2,1,1,,2,2,
